*Input current 	VF1
0	0
1E-6	0.1
2E-6	0.2
3E-6	0.3
4E-6	0.4
5E-6	0.5
6E-6	0.6
7E-6	0.7
8E-6	0.8
9E-6	0.9
1E-5	1
1.1E-5	1.1
1.2E-5	1.2
1.3E-5	1.3
1.4E-5	1.4
1.5E-5	1.5
1.6E-5	1.6
1.7E-5	1.7
1.8E-5	1.8
1.9E-5	1.9
2E-5	2
2.1E-5	2.1
2.2E-5	2.2
2.3E-5	2.3
2.4E-5	2.4
2.5E-5	2.5
2.6E-5	2.6
2.7E-5	2.7
2.8E-5	2.8
2.9E-5	2.9
3E-5	3
3.1E-5	3.1
3.2E-5	3.2
3.3E-5	3.3
3.4E-5	3.4
3.5E-5	3.5
3.6E-5	3.6
3.7E-5	3.7
3.8E-5	3.8
3.9E-5	3.9
4E-5	4
4.1E-5	4.1
4.2E-5	4.2
4.3E-5	4.3
4.4E-5	4.4
4.5E-5	4.5
4.6E-5	4.6
4.7E-5	4.7
4.8E-5	4.8
4.9E-5	4.9
5E-5	5
5.1E-5	5.1
5.19999999999999E-5	5.2
5.29999999999999E-5	5.3
5.39999999999999E-5	5.39999999999999
5.49999999999999E-5	5.49999999999999
5.59999999999999E-5	5.59999999999999
5.69999999999999E-5	5.69999999999999
5.79999999999999E-5	5.79999999999999
5.89999999999999E-5	5.89999999999999
5.99999999999999E-5	5.99999999999999
6.09999999999999E-5	6.09999999999999
6.19999999999999E-5	6.19999999999999
6.29999999999999E-5	6.29999999999999
6.39999999999999E-5	6.39999999999999
6.49999999999999E-5	6.49999999999999
6.59999999999999E-5	6.59999999999999
6.69999999999999E-5	6.69999999999999
6.79999999999999E-5	6.79999999999999
6.89999999999999E-5	6.89999999999999
6.99999999999999E-5	6.99999999999999
7.09999999999999E-5	7.09999999999999
7.19999999999999E-5	7.19999999999999
7.29999999999999E-5	7.29999999999999
7.39999999999999E-5	7.39999999999999
7.49999999999999E-5	7.49999999999999
7.59999999999999E-5	7.59999999999999
7.69999999999999E-5	7.69999999999999
7.79999999999999E-5	7.79999999999999
7.89999999999999E-5	7.89999999999999
7.99999999999999E-5	7.99999999999999
8.09999999999999E-5	8.09999999999999
8.19999999999999E-5	8.19999999999999
8.29999999999999E-5	8.29999999999999
8.39999999999999E-5	8.39999999999999
8.49999999999999E-5	8.49999999999999
8.59999999999999E-5	8.59999999999999
8.69999999999998E-5	8.69999999999998
8.79999999999998E-5	8.79999999999998
8.89999999999998E-5	8.89999999999998
8.99999999999998E-5	8.99999999999998
9.09999999999998E-5	9.09999999999998
9.19999999999998E-5	9.19999999999998
9.29999999999998E-5	9.29999999999998
9.39999999999998E-5	9.39999999999998
9.49999999999998E-5	9.49999999999998
9.59999999999998E-5	9.59999999999998
9.69999999999998E-5	9.69999999999998
9.79999999999998E-5	9.79999999999998
9.89999999999998E-5	9.89999999999998
9.99999999999998E-5	9.99999999999998
 
