*Input current 	VF1
0	0
1E-7	0.01
2E-7	0.02
3E-7	0.03
4E-7	0.04
5E-7	0.05
6E-7	0.06
7E-7	0.07
8E-7	0.08
9E-7	0.09
1E-6	0.1
1.1E-6	0.11
1.2E-6	0.12
1.3E-6	0.13
1.4E-6	0.14
1.5E-6	0.15
1.6E-6	0.16
1.7E-6	0.17
1.8E-6	0.18
1.9E-6	0.19
2E-6	0.2
2.1E-6	0.21
2.2E-6	0.22
2.3E-6	0.23
2.4E-6	0.24
2.5E-6	0.25
2.6E-6	0.26
2.7E-6	0.27
2.8E-6	0.28
2.9E-6	0.29
3E-6	0.3
3.1E-6	0.31
3.2E-6	0.32
3.3E-6	0.33
3.4E-6	0.34
3.5E-6	0.35
3.6E-6	0.36
3.7E-6	0.37
3.8E-6	0.38
3.9E-6	0.39
4E-6	0.4
4.1E-6	0.41
4.2E-6	0.42
4.3E-6	0.43
4.4E-6	0.44
4.5E-6	0.45
4.6E-6	0.46
4.7E-6	0.47
4.8E-6	0.48
4.9E-6	0.49
5E-6	0.5
5.1E-6	0.51
5.2E-6	0.52
5.3E-6	0.53
5.4E-6	0.54
5.5E-6	0.55
5.6E-6	0.56
5.7E-6	0.569999999999999
5.79999999999999E-6	0.58
5.89999999999999E-6	0.59
5.99999999999999E-6	0.599999999999999
6.09999999999999E-6	0.609999999999999
6.19999999999999E-6	0.619999999999999
6.29999999999999E-6	0.63
6.39999999999999E-6	0.64
6.49999999999999E-6	0.65
6.59999999999999E-6	0.659999999999999
6.69999999999999E-6	0.669999999999999
6.79999999999999E-6	0.679999999999999
6.89999999999999E-6	0.689999999999999
6.99999999999999E-6	0.699999999999999
7.09999999999999E-6	0.709999999999999
7.19999999999999E-6	0.719999999999999
7.29999999999999E-6	0.729999999999999
7.39999999999999E-6	0.739999999999999
7.49999999999999E-6	0.749999999999999
7.59999999999999E-6	0.759999999999999
7.69999999999999E-6	0.769999999999999
7.79999999999999E-6	0.78
7.89999999999999E-6	0.79
8E-6	0.8
8.1E-6	0.81
8.2E-6	0.82
8.3E-6	0.83
8.4E-6	0.84
8.5E-6	0.85
8.6E-6	0.86
8.7E-6	0.87
8.8E-6	0.88
8.9E-6	0.89
9E-6	0.9
9.1E-6	0.910000000000001
9.20000000000001E-6	0.920000000000001
9.30000000000001E-6	0.930000000000001
9.40000000000001E-6	0.940000000000001
9.50000000000001E-6	0.950000000000001
9.60000000000001E-6	0.960000000000001
9.70000000000001E-6	0.970000000000001
9.80000000000001E-6	0.980000000000001
9.90000000000001E-6	0.990000000000001
1E-5	1
 
