Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	0.0052002	0	0.00100098	
1	0.00510254	1	0.00100098	
2	0.0052002	2	0.000976562	
3	0.00510254	3	0.00100098	
4	0.00517578	4	0.000976562	
5	0.00510254	5	0.00100098	
6	0.0052002	6	0.000952148	
7	0.0052002	7	0.00100098	
8	0.00515137	8	0.000927734	
9	0.00515137	9	0.000976562	
10	0.00515137	10	0.00100098	
11	0.00515137	11	0.000952148	
12	0.00515137	12	0.000976562	
13	0.00515137	13	0.000976562	
14	0.00512695	14	0.00100098	
15	0.00515137	15	0.000976562	
16	0.00512695	16	0.00102539	
17	0.00517578	17	0.000952148	
18	0.00510254	18	0.0010498	
19	0.0052002	19	0.00100098	
20	0.00505371	20	0.00100098	
21	0.00517578	21	0.000976562	
22	0.00507813	22	0.000976562	
23	0.00515137	23	0.000976562	
24	0.00507813	24	0.000976562	
25	0.00517578	25	0.000952148	
26	0.00507813	26	0.000952148	
27	0.00517578	27	0.000952148	
28	0.00507813	28	0.00100098	
29	0.00515137	29	0.000976562	
30	0.00512695	30	0.000976562	
31	0.00515137	31	0.00100098	
32	0.0052002	32	0.00100098	
33	0.00515137	33	0.00100098	
34	0.00517578	34	0.00100098	
35	0.00517578	35	0.00102539	
36	0.00522461	36	0.00100098	
37	0.00515137	37	0.00102539	
38	0.00522461	38	0.000976562	
39	0.00512695	39	0.00102539	
40	0.0052002	40	0.000976562	
41	0.00510254	41	0.00100098	
42	0.0052002	42	0.000976562	
43	0.00510254	43	0.00102539	
44	0.0052002	44	0.000976562	
45	0.00507813	45	0.00102539	
46	0.00517578	46	0.000976562	
47	0.00507813	47	0.00102539	
48	0.00515137	48	0.00102539	
49	0.00510254	49	0.0010498	
50	0.00517578	50	0.00100098	
51	0.00510254	51	0.00100098	
52	0.00512695	52	0.00100098	
53	0.00512695	53	0.000976562	
54	0.00515137	54	0.000976562	
55	0.00517578	55	0.000976562	
56	0.00517578	56	0.000976562	
57	0.00517578	57	0.000952148	
58	0.00517578	58	0.000952148	
59	0.0052002	59	0.00100098	
60	0.00515137	60	0.000952148	
61	0.0052002	61	0.000927734	
62	0.00512695	62	0.000976562	
63	0.0052002	63	0.000927734	
64	0.00515137	64	0.000976562	
65	0.00517578	65	0.000952148	
66	0.00517578	66	0.000976562	
67	0.0052002	67	0.000952148	
68	0.00510254	68	0.000976562	
69	0.00512695	69	0.000976562	
70	0.00512695	70	0.000976562	
71	0.00515137	71	0.000976562	
72	0.00512695	72	0.000976562	
73	0.00510254	73	0.00100098	
74	0.00512695	74	0.000976562	
75	0.00510254	75	0.00100098	
76	0.00512695	76	0.00100098	
77	0.00510254	77	0.00100098	
78	0.00517578	78	0.000976562	
79	0.00512695	79	0.000976562	
80	0.00517578	80	0.00100098	
81	0.00512695	81	0.00102539	
82	0.00522461	82	0.000976562	
83	0.00515137	83	0.00102539	
84	0.00522461	84	0.000952148	
85	0.00512695	85	0.00100098	
86	0.00517578	86	0.000927734	
87	0.00515137	87	0.00100098	
88	0.00517578	88	0.000976562	
89	0.00510254	89	0.00102539	
90	0.00515137	90	0.000976562	
91	0.00512695	91	0.00102539	
92	0.00512695	92	0.00100098	
93	0.00512695	93	0.00100098	
94	0.00510254	94	0.0010498	
95	0.00512695	95	0.000976562	
96	0.00510254	96	0.00100098	
97	0.00510254	97	0.00102539	
98	0.00510254	98	0.00100098	
99	0.00515137	99	0.00100098	
100	0.00510254	100	0.00100098	
101	0.00512695	101	0.00100098	
102	0.00512695	102	0.00102539	
103	0.0052002	103	0.00100098	
104	0.00515137	104	0.00100098	
105	0.00517578	105	0.000976562	
106	0.00510254	106	0.00102539	
107	0.00522461	107	0.000976562	
108	0.00515137	108	0.00100098	
109	0.0052002	109	0.000952148	
110	0.00515137	110	0.00100098	
111	0.00522461	111	0.000976562	
112	0.00515137	112	0.00100098	
113	0.00515137	113	0.00100098	
114	0.00515137	114	0.000976562	
115	0.00515137	115	0.000976562	
116	0.00512695	116	0.00100098	
117	0.00512695	117	0.000952148	
118	0.00512695	118	0.000976562	
119	0.00507813	119	0.00102539	
120	0.00512695	120	0.000976562	
121	0.00510254	121	0.000976562	
122	0.00515137	122	0.000976562	
123	0.00510254	123	0.00102539	
124	0.00515137	124	0.000952148	
125	0.00510254	125	0.000976562	
126	0.00517578	126	0.000952148	
127	0.00512695	127	0.0010498	
128	0.00517578	128	0.000952148	
129	0.00512695	129	0.00102539	
130	0.0052002	130	0.00102539	
131	0.00515137	131	0.00102539	
132	0.0052002	132	0.00100098	
133	0.00515137	133	0.00102539	
134	0.00517578	134	0.00100098	
135	0.0052002	135	0.00100098	
136	0.00515137	136	0.000976562	
137	0.0052002	137	0.000976562	
138	0.00515137	138	0.000976562	
139	0.00517578	139	0.00100098	
140	0.00512695	140	0.00100098	
141	0.00517578	141	0.000976562	
142	0.00510254	142	0.00100098	
143	0.00515137	143	0.00100098	
144	0.00510254	144	0.00100098	
145	0.00517578	145	0.00100098	
146	0.00510254	146	0.00100098	
147	0.00512695	147	0.000976562	
148	0.00507813	148	0.00100098	
149	0.00512695	149	0.000976562	
150	0.00512695	150	0.000976562	
151	0.00517578	151	0.000976562	
152	0.00510254	152	0.000976562	
153	0.00515137	153	0.000952148	
154	0.00512695	154	0.000976562	
155	0.0052002	155	0.000952148	
156	0.00515137	156	0.00100098	
157	0.00515137	157	0.000976562	
158	0.00517578	158	0.00102539	
159	0.0052002	159	0.000976562	
160	0.00517578	160	0.00100098	
161	0.00512695	161	0.00100098	
162	0.00517578	162	0.00100098	
163	0.00512695	163	0.000976562	
164	0.00515137	164	0.000976562	
165	0.00507813	165	0.0010498	
166	0.00515137	166	0.000976562	
167	0.00510254	167	0.00100098	
168	0.00512695	168	0.000976562	
169	0.00507813	169	0.00100098	
170	0.00510254	170	0.000976562	
171	0.00510254	171	0.000976562	
172	0.00512695	172	0.000952148	
173	0.00510254	173	0.00100098	
174	0.00512695	174	0.000976562	
175	0.00510254	175	0.000976562	
176	0.00512695	176	0.000976562	
177	0.00510254	177	0.000976562	
178	0.00510254	178	0.000976562	
179	0.00517578	179	0.00100098	
180	0.00515137	180	0.000952148	
181	0.00515137	181	0.00100098	
182	0.00515137	182	0.000976562	
183	0.00522461	183	0.000976562	
184	0.00515137	184	0.00100098	
185	0.0052002	185	0.00100098	
186	0.00512695	186	0.00102539	
187	0.0052002	187	0.0010498	
