Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	0.0211182	0	0.0174561	
1	0.0210938	1	0.0173828	
2	0.0211182	2	0.0174072	
3	0.0211182	3	0.017334	
4	0.021167	4	0.017334	
5	0.0210449	5	0.0173828	
6	0.0211182	6	0.0174316	
7	0.0211182	7	0.017334	
8	0.0211914	8	0.0173584	
9	0.0210693	9	0.0173828	
10	0.0210938	10	0.0174072	
11	0.0211182	11	0.0174561	
12	0.0212158	12	0.0173096	
13	0.0210449	13	0.0173828	
14	0.021167	14	0.0174561	
15	0.0210693	15	0.0173584	
16	0.0212402	16	0.0173584	
17	0.0210693	17	0.0173828	
18	0.0211426	18	0.0174072	
19	0.0210693	19	0.0174072	
20	0.021167	20	0.017334	
21	0.0210205	21	0.017334	
22	0.021167	22	0.0174316	
23	0.0210449	23	0.0173584	
24	0.0211914	24	0.0174072	
25	0.0210693	25	0.0173828	
26	0.0211426	26	0.0174805	
27	0.0210938	27	0.0174072	
28	0.0211182	28	0.0173828	
29	0.0211182	29	0.0172852	
30	0.0211914	30	0.0174561	
31	0.0210449	31	0.0173828	
32	0.021167	32	0.0174561	
33	0.0211426	33	0.017334	
34	0.0211182	34	0.0174316	
35	0.0211182	35	0.0173828	
36	0.0210693	36	0.0174316	
37	0.0211182	37	0.0172852	
38	0.0211182	38	0.0174316	
39	0.0210938	39	0.0173828	
40	0.0211182	40	0.0174805	
41	0.0211182	41	0.0173096	
42	0.021167	42	0.0173828	
43	0.0211426	43	0.0173828	
44	0.0210449	44	0.0174072	
45	0.0211182	45	0.0173096	
46	0.0211914	46	0.0173584	
47	0.0210693	47	0.0174072	
48	0.0211182	48	0.0174316	
49	0.0211182	49	0.017334	
50	0.021167	50	0.0173584	
51	0.0211426	51	0.0174072	
52	0.0210938	52	0.0173584	
53	0.0210693	53	0.0173584	
54	0.0212158	54	0.0173584	
55	0.0210449	55	0.0173584	
56	0.021167	56	0.0173828	
57	0.0210205	57	0.0173584	
58	0.021167	58	0.017334	
59	0.0210938	59	0.0174072	
60	0.0211914	60	0.0173584	
61	0.0210449	61	0.0174072	
62	0.0211914	62	0.0173828	
63	0.0210693	63	0.017334	
64	0.0211914	64	0.0174072	
65	0.0210205	65	0.0173828	
66	0.021167	66	0.0173828	
67	0.0211426	67	0.0173828	
68	0.0211182	68	0.0174316	
69	0.0210449	69	0.0173584	
70	0.0211914	70	0.0174072	
71	0.0211426	71	0.017334	
72	0.0211914	72	0.0174316	
73	0.0210693	73	0.0174072	
74	0.0210938	74	0.0174561	
75	0.021167	75	0.017334	
76	0.0210938	76	0.0174072	
77	0.021167	77	0.0173584	
78	0.0210693	78	0.0174561	
79	0.0211426	79	0.017334	
80	0.021167	80	0.0174316	
81	0.0210938	81	0.0174072	
82	0.0210693	82	0.0174561	
83	0.0211426	83	0.0173584	
84	0.0211182	84	0.0173828	
85	0.0211426	85	0.0173584	
86	0.0211182	86	0.0174316	
87	0.0211182	87	0.0173584	
88	0.0212158	88	0.0173828	
89	0.0211426	89	0.0173828	
90	0.0210938	90	0.0174316	
91	0.0211426	91	0.0174072	
92	0.0211182	92	0.017334	
93	0.0210693	93	0.017334	
94	0.0211426	94	0.0174316	
95	0.0210938	95	0.0173828	
96	0.0211914	96	0.0173828	
97	0.0210938	97	0.0173584	
98	0.021167	98	0.0174316	
99	0.0210693	99	0.0173828	
100	0.0211426	100	0.0173828	
101	0.0210693	101	0.017334	
102	0.021167	102	0.0174316	
103	0.0210449	103	0.0173584	
104	0.0211914	104	0.0173584	
105	0.0211914	105	0.017334	
106	0.0211914	106	0.0173828	
107	0.0210693	107	0.0174316	
108	0.0211426	108	0.0173584	
109	0.0210693	109	0.017334	
110	0.0211914	110	0.0173096	
111	0.0210693	111	0.0173584	
112	0.021167	112	0.0174561	
113	0.0210938	113	0.017334	
114	0.0211914	114	0.0174072	
115	0.0211182	115	0.0174072	
116	0.0211426	116	0.0174072	
117	0.0210938	117	0.0173096	
118	0.0211426	118	0.0174072	
119	0.0211182	119	0.0173584	
120	0.0210938	120	0.0174316	
