#Volt (V)	#I (uA)
-0.00087	1.83886
0.00346	1.84439
0.00747	1.85219
0.02226	0.05308
0.02657	0.06712
0.03054	0.08201
0.03483	0.09331
0.03883	0.10083
0.04285	0.10450
0.04722	0.10911
0.05121	0.11914
0.05550	0.13236
0.05953	0.13592
0.06388	0.14516
0.06786	0.15899
0.07182	0.17327
0.07611	0.18598
0.08011	0.19264
0.08446	0.19763
0.08848	0.20194
0.09249	0.21138
0.09678	0.22619
0.10073	0.24170
0.10506	0.25346
0.10908	0.26153
0.11341	0.26608
0.11743	0.27097
0.12143	0.28165
0.12571	0.29703
0.12972	0.30478
0.13399	0.32118
0.13794	0.33649
0.14227	0.34851
0.14628	0.35583
0.15029	0.36066
0.15460	0.36999
0.15857	0.38365
0.16285	0.40155
0.16680	0.41915
0.17077	0.43254
0.17508	0.44117
0.17907	0.45252
0.18343	0.46156
0.18739	0.47490
0.19164	0.49413
0.19558	0.51494
0.19952	0.53291
0.20377	0.54966
0.20776	0.55967
0.21206	0.57342
0.21600	0.59102
0.21996	0.61126
0.22417	0.63828
0.22807	0.66482
0.23227	0.68855
0.23619	0.70796
0.24040	0.73199
0.24435	0.75153
0.24825	0.77732
0.25240	0.81018
0.25624	0.84504
0.26041	0.88423
0.26425	0.91781
0.26839	0.95091
0.27224	0.98300
0.27603	1.02248
0.28010	1.07235
0.28383	1.12344
0.28784	1.17941
0.29156	1.23011
0.29532	1.28011
0.29932	1.33813
0.30296	1.39944
0.30686	1.47495
0.31043	1.55112
0.31424	1.63462
0.31778	1.71614
0.32130	1.79809
0.32504	1.89228
0.32849	1.98779
0.33217	2.10193
0.33548	2.21629
0.33876	2.33626
0.34226	2.47001
0.34548	2.59571
0.34893	2.73977
0.35205	2.88496
0.35534	3.05200
0.35832	3.21768
0.36127	3.39329
0.36441	3.58619
0.36728	3.76488
0.37027	3.98123
0.37297	4.19047
0.37585	4.42323
0.37847	4.64622
0.38106	4.87536
0.38376	5.13376
0.38621	5.38738
0.38879	5.67420
0.39111	5.94796
0.39338	6.22720
0.39578	6.53433
0.39797	6.82804
0.40024	7.16404
0.40233	7.47920
0.40452	7.82417
0.40650	8.15577
0.40845	8.49903
0.41047	8.87183
0.41230	9.23149
0.41423	9.62508
0.41597	9.99226
0.41770	10.36862
0.41951	10.78124
0.42115	11.17167
0.42287	11.60378
0.42442	12.01129
0.42608	12.45707
0.42758	12.87291
0.42904	13.29444
0.43060	13.75393
0.43200	14.18545
0.43347	14.66152
0.43480	15.10895
0.43611	15.55653
0.43750	16.04434
0.43879	16.50660
0.44013	17.00254
0.44134	17.46897
0.44263	17.97909
0.44379	18.45641
0.44493	18.93809
0.44614	19.45734
0.44725	19.94326
0.44842	20.47016
0.44949	20.96377
0.45062	21.50556
0.45164	22.00918
0.45264	22.51149
0.45370	23.05507
0.45468	23.56413
0.45572	24.11510
0.45667	24.62872
0.45759	25.14994
0.45856	25.71003
0.45946	26.23239
0.46042	26.80410
0.46129	27.33117
0.46222	27.89955
0.46306	28.43084
0.46388	28.96159
0.46476	29.54032
0.46556	30.08201
0.46641	30.66465
0.46720	31.20613
0.46798	31.75384
0.46880	32.34218
0.46955	32.89280
0.47034	33.48486
0.47106	34.03582
0.47184	34.63368
0.47256	35.18692
0.47326	35.74247
0.47400	36.34506
0.47468	36.90356
0.47542	37.51551
0.47608	38.07925
0.47678	38.68431
0.47744	39.24977
0.47808	39.81458
0.47875	40.42878
0.47937	41.00100
0.48005	41.61427
0.48066	42.18448
0.48127	42.76331
0.48191	43.38233
0.48250	43.95770
0.48312	44.58097
0.48369	45.15746
0.48431	45.78038
0.48488	46.35802
0.48543	46.94050
0.48602	47.56772
0.48657	48.14790
0.48715	48.78404
0.48769	49.36998
0.48821	49.95551
0.48878	50.58553
0.48930	51.17369
0.48985	51.80764
0.49035	52.40014
0.49088	53.03663
0.49138	53.62653
0.49188	54.22253
0.49241	54.86124
0.49289	55.45380
0.49341	56.09324
0.49388	56.68906
0.49435	57.28631
0.49485	57.92974
0.49530	58.52769
0.49579	59.16887
0.49625	59.76684
0.49674	60.41845
0.49718	61.01823
0.49762	61.61954
0.49808	62.26712
0.49851	62.86827
0.49897	63.51879
0.49940	64.12244
0.49985	64.77176
0.50027	65.37649
0.50069	65.98815
0.50113	66.64146
0.50153	67.24730
0.50196	67.89802
0.50237	68.50572
0.50276	69.11512
0.50319	69.76975
0.50358	70.37946
0.50399	71.03582
0.50437	71.64605
0.50480	72.30976
0.50517	72.91770
0.50555	73.52869
0.50595	74.18868
0.50632	74.80316
0.50671	75.46271
0.50706	76.07502
0.50743	76.68796
0.50781	77.34868
0.50817	77.97080
0.50856	78.63150
0.50893	79.24918
0.50929	79.91226
0.50964	80.52907
0.50998	81.14674
0.51035	81.80876
0.51068	82.42645
0.51104	83.09371
0.51138	83.71169
0.51174	84.38604
0.51206	85.00513
0.51238	85.62609
0.51274	86.29328
0.51306	86.91222
0.51341	87.58053
0.51373	88.20231
0.51404	88.82438
0.51437	89.49582
0.51469	90.12293
0.51503	90.79117
0.51533	91.41474
0.51566	92.08775
0.51597	92.71047
0.51626	93.33513
0.51658	94.00708
0.51688	94.63158
0.51720	95.30285
0.51749	95.92724
0.51779	96.56058
0.51810	97.23691
0.51839	97.86379
0.51869	98.53701
0.51897	99.16276
0.51928	99.83765
0.51956	100.46491
0.51984	101.09333
0.52014	101.76983
0.52041	102.39744
0.52071	103.08083
0.52098	103.70794
0.52127	104.33567
0.52155	105.01339
0.52182	105.64587
0.52212	106.32497
0.52237	106.95336
0.52265	107.63160
0.52291	108.26346
0.52318	108.90064
0.52345	109.57893
0.52372	110.21296
0.52399	110.89251
0.52424	111.52427
0.52452	112.20301
0.52476	112.83491
0.52501	113.46782
0.52530	114.14815
0.52554	114.78129
0.52581	115.47011
0.52605	116.10166
0.52629	116.73710
0.52655	117.42085
0.52679	118.05410
0.52705	118.73613
0.52728	119.37386
0.52754	120.05650
0.52778	120.68905
0.52802	121.33207
