Time - Dev1/ai1	Amplitude - Dev1/ai1	
0	-3.7915	
1E-5	-3.7915	
2E-5	-3.7915	
3E-5	-3.79395	
4E-5	-3.7915	
5E-5	-3.7915	
6E-5	-3.7915	
7E-5	-3.7915	
8E-5	-3.7915	
9E-5	-3.7915	
1E-4	-3.7915	
0.00011	-3.79395	
0.00012	-3.79395	
0.00013	-3.79395	
0.00014	-3.79395	
0.00015	-3.79395	
0.00016	-3.79395	
0.00017	-3.79395	
0.00018	-3.79395	
0.00019	-3.79395	
0.0002	-3.79395	
0.00021	-3.79395	
0.00022	-3.79395	
0.00023	-3.79395	
0.00024	-3.79639	
0.00025	-3.79639	
0.00026	-3.79639	
0.00027	-3.79639	
0.00028	-3.79639	
0.00029	-3.79639	
0.0003	-3.79639	
0.00031	-3.79639	
0.00032	-3.79883	
0.00033	-3.79883	
0.00034	-3.79883	
0.00035	-3.79883	
0.00036	-3.80127	
0.00037	-3.80127	
0.00038	-3.80127	
0.00039	-3.80127	
0.0004	-3.80127	
0.00041	-3.80127	
0.00042	-3.80371	
0.00043	-3.80371	
0.00044	-3.80371	
0.00045	-3.80371	
0.00046	-3.80371	
0.00047	-3.80615	
0.00048	-3.80615	
0.00049	-3.80615	
0.0005	-3.80615	
0.00051	-3.80615	
0.00052	-3.80859	
0.00053	-3.80859	
0.00054	-3.81104	
0.00055	-3.81104	
0.00056	-3.80859	
0.00057	-3.81104	
0.00058	-3.81104	
0.00059	-3.81104	
0.0006	-3.81348	
0.00061	-3.81348	
0.00062	-3.81348	
0.00063	-3.81348	
0.00064	-3.81592	
0.00065	-3.81592	
0.00066	-3.81592	
0.00067	-3.81836	
0.00068	-3.81836	
0.00069	-3.81836	
0.0007	-3.81836	
0.00071	-3.8208	
0.00072	-3.8208	
0.00073	-3.8208	
0.00074	-3.8208	
0.00075	-3.82324	
0.00076	-3.82324	
0.00077	-3.82324	
0.00078	-3.82324	
0.00079	-3.82568	
0.0008	-3.82568	
0.00081	-3.82568	
0.00082	-3.82813	
0.00083	-3.82813	
0.00084	-3.82813	
0.00085	-3.82813	
0.00086	-3.83057	
0.00087	-3.83057	
0.00088	-3.83057	
0.00089	-3.83057	
0.0009	-3.83301	
0.00091	-3.83301	
0.00092	-3.83301	
0.00093	-3.83545	
0.00094	-3.83545	
0.00095	-3.83545	
0.00096	-3.83545	
0.00097	-3.83789	
0.00098	-3.83789	
0.00099	-3.83789	
0.001	-3.83789	
0.00101	-3.84033	
0.00102	-3.84033	
0.00103	-3.84033	
0.00104	-3.84277	
0.00105	-3.84277	
0.00106	-3.84277	
0.00107	-3.84277	
0.00108	-3.84277	
0.00109	-3.84521	
0.0011	-3.84521	
0.00111	-3.84521	
0.00112	-3.84521	
0.00113	-3.84766	
0.00114	-3.84766	
0.00115	-3.84766	
0.00116	-3.84766	
0.00117	-3.84766	
0.00118	-3.8501	
0.00119	-3.8501	
0.0012	-3.8501	
0.00121	-3.8501	
0.00122	-3.85254	
0.00123	-3.8501	
0.00124	-3.85254	
0.00125	-3.85254	
0.00126	-3.85254	
0.00127	-3.85254	
0.00128	-3.85498	
0.00129	-3.85498	
0.0013	-3.85498	
0.00131	-3.85498	
0.00132	-3.85498	
0.00133	-3.85498	
0.00134	-3.85742	
0.00135	-3.85742	
0.00136	-3.85742	
0.00137	-3.85742	
0.00138	-3.85742	
0.00139	-3.85742	
0.0014	-3.85742	
0.00141	-3.85742	
0.00142	-3.85986	
0.00143	-3.85986	
0.00144	-3.85986	
0.00145	-3.85986	
0.00146	-3.85986	
0.00147	-3.85986	
0.00148	-3.85986	
0.00149	-3.85986	
0.0015	-3.85986	
0.00151	-3.85986	
0.00152	-3.85986	
0.00153	-3.85986	
0.00154	-3.85986	
0.00155	-3.85986	
0.00156	-3.8623	
0.00157	-3.8623	
0.00158	-3.8623	
0.00159	-3.8623	
0.0016	-3.8623	
0.00161	-3.8623	
0.00162	-3.8623	
0.00163	-3.8623	
0.00164	-3.8623	
0.00165	-3.8623	
0.00166	-3.8623	
0.00167	-3.8623	
0.00168	-3.8623	
0.00169	-3.8623	
0.0017	-3.8623	
0.00171	-3.8623	
0.00172	-3.8623	
0.00173	-3.8623	
0.00174	-3.8623	
0.00175	-3.8623	
0.00176	-3.8623	
0.00177	-3.8623	
0.00178	-3.8623	
0.00179	-3.85986	
0.0018	-3.8623	
0.00181	-3.85986	
0.00182	-3.85986	
0.00183	-3.85986	
0.00184	-3.85986	
0.00185	-3.85986	
0.00186	-3.85986	
0.00187	-3.85986	
0.00188	-3.85986	
0.00189	-3.85986	
0.0019	-3.85986	
0.00191	-3.85986	
0.00192	-3.85986	
0.00193	-3.85986	
0.00194	-3.85986	
0.00195	-3.85742	
0.00196	-3.85742	
0.00197	-3.85742	
0.00198	-3.85742	
0.00199	-3.85498	
0.002	-3.85742	
0.00201	-3.85742	
0.00202	-3.85498	
0.00203	-3.85498	
0.00204	-3.85498	
0.00205	-3.85498	
0.00206	-3.85498	
0.00207	-3.85254	
0.00208	-3.85254	
0.00209	-3.85254	
0.0021	-3.85254	
0.00211	-3.85254	
0.00212	-3.85254	
0.00213	-3.8501	
0.00214	-3.8501	
0.00215	-3.8501	
0.00216	-3.84766	
0.00217	-3.8501	
0.00218	-3.84766	
0.00219	-3.84766	
0.0022	-3.84766	
0.00221	-3.84766	
0.00222	-3.84766	
0.00223	-3.84521	
0.00224	-3.84521	
0.00225	-3.84277	
0.00226	-3.84521	
0.00227	-3.84277	
0.00228	-3.84277	
0.00229	-3.84277	
0.0023	-3.84033	
0.00231	-3.84033	
0.00232	-3.84033	
0.00233	-3.84033	
0.00234	-3.83789	
0.00235	-3.83789	
0.00236	-3.83789	
0.00237	-3.83545	
0.00238	-3.83545	
0.00239	-3.83545	
0.0024	-3.83545	
0.00241	-3.83545	
0.00242	-3.83301	
0.00243	-3.83301	
0.00244	-3.83301	
0.00245	-3.83057	
0.00246	-3.83057	
0.00247	-3.83057	
0.00248	-3.83057	
0.00249	-3.83057	
0.0025	-3.82813	
0.00251	-3.82813	
0.00252	-3.82568	
0.00253	-3.82568	
0.00254	-3.82568	
0.00255	-3.82324	
0.00256	-3.82324	
0.00257	-3.82324	
0.00258	-3.82324	
0.00259	-3.8208	
0.0026	-3.8208	
0.00261	-3.8208	
0.00262	-3.8208	
0.00263	-3.8208	
0.00264	-3.81836	
0.00265	-3.81836	
0.00266	-3.81836	
0.00267	-3.81592	
0.00268	-3.81592	
0.00269	-3.81592	
0.0027	-3.81348	
0.00271	-3.81348	
0.00272	-3.81348	
0.00273	-3.81348	
0.00274	-3.81104	
0.00275	-3.81104	
0.00276	-3.81104	
0.00277	-3.81104	
0.00278	-3.80859	
0.00279	-3.80859	
0.0028	-3.80859	
0.00281	-3.80859	
0.00282	-3.80615	
