Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	-0.0634766	0	-0.124512	
1	-0.114746	1	-0.419922	
2	-0.153809	2	-0.717773	
3	-0.180664	3	-1.01563	
4	-0.202637	4	-1.27197	
5	-0.20752	5	-1.5332	
6	-0.202637	6	-1.75049	
7	-0.187988	7	-1.93604	
8	-0.161133	8	-2.11182	
9	-0.12207	9	-2.24365	
10	-0.078125	10	-2.34131	
11	-0.0292969	11	-2.39746	
12	0.0195312	12	-2.41943	
13	0.0708008	13	-2.39746	
14	0.109863	14	-2.34131	
15	0.148926	15	-2.24609	
16	0.170898	16	-2.13135	
17	0.185547	17	-1.95801	
18	0.180664	18	-1.76758	
19	0.175781	19	-1.54541	
20	0.153809	20	-1.30615	
21	0.119629	21	-1.02783	
22	0.0805664	22	-0.754395	
23	0.0317383	23	-0.45166	
24	-0.0146484	24	-0.153809	
25	-0.0610352	25	0.161133	
26	-0.102539	26	0.456543	
27	-0.144043	27	0.756836	
28	-0.168457	28	1.05225	
29	-0.185547	29	1.30859	
30	-0.183105	30	1.56982	
31	-0.183105	31	1.78955	
32	-0.15625	32	1.9751	
33	-0.131836	33	2.15088	
34	-0.0952148	34	2.28271	
35	-0.0439453	35	2.37793	
36	0	36	2.43652	
37	0.0512695	37	2.4585	
38	0.100098	38	2.43652	
39	0.141602	39	2.38037	
40	0.17334	40	2.28516	
41	0.195312	41	2.16797	
42	0.209961	42	1.99707	
43	0.20752	43	1.8042	
44	0.195312	44	1.57959	
45	0.170898	45	1.34521	
46	0.134277	46	1.06445	
47	0.0927734	47	0.788574	
48	0.0366211	48	0.490723	
49	-0.012207	49	0.192871	
50	-0.0610352	50	-0.124512	
51	-0.107422	51	-0.41748	
52	-0.153809	52	-0.720215	
53	-0.180664	53	-1.01318	
54	-0.200195	54	-1.27197	
55	-0.20752	55	-1.53076	
56	-0.202637	56	-1.75049	
57	-0.183105	57	-1.93604	
58	-0.163574	58	-2.10938	
59	-0.12207	59	-2.24121	
60	-0.0732422	60	-2.33887	
61	-0.0268555	61	-2.39746	
62	0.0219727	62	-2.41699	
63	0.0708008	63	-2.39746	
64	0.112305	64	-2.34131	
65	0.151367	65	-2.24365	
66	0.170898	66	-2.12891	
67	0.183105	67	-1.95801	
68	0.183105	68	-1.76758	
69	0.170898	69	-1.54297	
70	0.153809	70	-1.30615	
71	0.12207	71	-1.02539	
72	0.0805664	72	-0.751953	
73	0.0317383	73	-0.45166	
74	-0.00976562	74	-0.15625	
75	-0.0585937	75	0.161133	
76	-0.102539	76	0.456543	
77	-0.13916	77	0.756836	
78	-0.163574	78	1.05225	
79	-0.183105	79	1.31104	
80	-0.19043	80	1.56982	
81	-0.180664	81	1.78955	
82	-0.163574	82	1.97754	
83	-0.134277	83	2.146	
84	-0.0927734	84	2.28271	
85	-0.0488281	85	2.37793	
86	0.00488281	86	2.43652	
87	0.0512695	87	2.45605	
88	0.0976562	88	2.43896	
89	0.136719	89	2.38281	
90	0.175781	90	2.28516	
91	0.200195	91	2.16797	
92	0.20752	92	1.99707	
93	0.20752	93	1.8042	
94	0.195312	94	1.57959	
95	0.168457	95	1.34277	
96	0.131836	96	1.06445	
97	0.0878906	97	0.788574	
98	0.0415039	98	0.490723	
99	-0.00732422	99	0.192871	
100	-0.0610352	100	-0.124512	
101	-0.109863	101	-0.41748	
102	-0.151367	102	-0.717773	
103	-0.180664	103	-1.01563	
104	-0.202637	104	-1.27197	
105	-0.212402	105	-1.53076	
106	-0.202637	106	-1.74805	
107	-0.187988	107	-1.93604	
108	-0.158691	108	-2.11182	
109	-0.12207	109	-2.24365	
110	-0.078125	110	-2.34131	
111	-0.0268555	111	-2.3999	
112	0.0244141	112	-2.41943	
113	0.065918	113	-2.39746	
114	0.114746	114	-2.34131	
115	0.148926	115	-2.24365	
116	0.17334	116	-2.12891	
117	0.185547	117	-1.95801	
118	0.19043	118	-1.76758	
119	0.175781	119	-1.54053	
120	0.153809	120	-1.30371	
121	0.124512	121	-1.02539	
