Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	0.234375	0	2.43652	
1	0.34668	1	2.39746	
2	0.429687	2	2.30713	
3	0.500488	3	2.1875	
4	0.532227	4	2.03613	
5	0.539551	5	1.84326	
6	0.505371	6	1.6333	
7	0.446777	7	1.38184	
8	0.371094	8	1.11572	
9	0.263672	9	0.844727	
10	0.13916	10	0.541992	
11	0.00976562	11	0.251465	
12	-0.126953	12	-0.0708008	
13	-0.253906	13	-0.358887	
14	-0.358887	14	-0.664062	
15	-0.446777	15	-0.95459	
16	-0.50293	16	-1.22559	
17	-0.529785	17	-1.47461	
18	-0.532227	18	-1.70654	
19	-0.490723	19	-1.91406	
20	-0.424805	20	-2.08008	
21	-0.334473	21	-2.22168	
22	-0.224609	22	-2.32178	
23	-0.102539	23	-2.39502	
24	0.0292969	24	-2.41699	
25	0.153809	25	-2.3999	
26	0.266113	26	-2.36084	
27	0.366211	27	-2.26807	
28	0.43457	28	-2.15088	
29	0.476074	29	-1.99951	
30	0.48584	30	-1.80664	
31	0.461426	31	-1.59424	
32	0.415039	32	-1.34277	
33	0.339355	33	-1.08154	
34	0.234375	34	-0.805664	
35	0.126953	35	-0.507812	
36	0	36	-0.212402	
37	-0.12207	37	0.10498	
38	-0.244141	38	0.400391	
39	-0.339355	39	0.698242	
40	-0.407715	40	0.993652	
41	-0.466309	41	1.26465	
42	-0.488281	42	1.51367	
43	-0.46875	43	1.74316	
44	-0.432129	44	1.95313	
45	-0.354004	45	2.12158	
46	-0.268555	46	2.26074	
47	-0.146484	47	2.3584	
48	-0.0244141	48	2.43652	
49	0.109863	49	2.46094	
50	0.227051	50	2.43896	
51	0.341797	51	2.3999	
52	0.43457	52	2.30713	
53	0.50293	53	2.1875	
54	0.537109	54	2.03369	
55	0.541992	55	1.8457	
56	0.515137	56	1.63086	
57	0.456543	57	1.38184	
58	0.36377	58	1.11816	
59	0.26123	59	0.844727	
60	0.136719	60	0.541992	
61	0	61	0.249023	
62	-0.129395	62	-0.0683594	
63	-0.253906	63	-0.36377	
64	-0.358887	64	-0.661621	
65	-0.45166	65	-0.95459	
66	-0.505371	66	-1.22559	
67	-0.534668	67	-1.47705	
68	-0.52002	68	-1.7041	
69	-0.493164	69	-1.91406	
70	-0.429687	70	-2.08008	
71	-0.332031	71	-2.22412	
72	-0.217285	72	-2.31934	
73	-0.0976562	73	-2.39502	
74	0.0292969	74	-2.41699	
75	0.15625	75	-2.3999	
76	0.266113	76	-2.35596	
77	0.361328	77	-2.26807	
78	0.437012	78	-2.15088	
79	0.473633	79	-1.99707	
80	0.488281	80	-1.8042	
81	0.46875	81	-1.5918	
82	0.415039	82	-1.34521	
83	0.339355	83	-1.08154	
84	0.236816	84	-0.808105	
85	0.117187	85	-0.507812	
86	-0.00244141	86	-0.212402	
87	-0.126953	87	0.107422	
88	-0.246582	88	0.397949	
89	-0.336914	89	0.700684	
90	-0.415039	90	0.993652	
91	-0.471191	91	1.26465	
92	-0.48584	92	1.51367	
93	-0.478516	93	1.74316	
94	-0.429687	94	1.95557	
95	-0.358887	95	2.11914	
96	-0.266113	96	2.26074	
97	-0.151367	97	2.3584	
98	-0.0292969	98	2.43652	
99	0.102539	99	2.4585	
