# circuito per eliminare offset: 800Hz, freq campi 100kHz
Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	0.993652	0	-1.40869	
1	0.991211	1	-1.51123	
2	0.974121	2	-1.5918	
3	0.961914	3	-1.68945	
4	0.947266	4	-1.77002	
5	0.905762	5	-1.85059	
6	0.844727	6	-1.92383	
7	0.79834	7	-1.98975	
8	0.744629	8	-2.05078	
9	0.661621	9	-2.11182	
10	0.585937	10	-2.16309	
11	0.500488	11	-2.21436	
12	0.424805	12	-2.25586	
13	0.322266	13	-2.28027	
14	0.229492	14	-2.32422	
15	0.126953	15	-2.34863	
16	0.0317383	16	-2.36572	
17	-0.0537109	17	-2.37549	
18	-0.170898	18	-2.38037	
19	-0.263672	19	-2.38525	
20	-0.341797	20	-2.37061	
21	-0.45166	21	-2.35596	
22	-0.544434	22	-2.34131	
23	-0.612793	23	-2.32666	
24	-0.700684	24	-2.29492	
25	-0.766602	25	-2.2583	
26	-0.822754	26	-2.20947	
27	-0.88623	27	-2.16064	
28	-0.932617	28	-2.12402	
29	-0.95459	29	-2.05322	
30	-0.974121	30	-1.99707	
31	-1.00342	31	-1.92627	
32	-0.998535	32	-1.85547	
33	-0.98877	33	-1.76514	
34	-0.976562	34	-1.69434	
35	-0.942383	35	-1.60156	
36	-0.913086	36	-1.521	
37	-0.871582	37	-1.41846	
38	-0.817871	38	-1.32568	
39	-0.749512	39	-1.21582	
40	-0.686035	40	-1.12061	
41	-0.60791	41	-1.00586	
42	-0.524902	42	-0.900879	
43	-0.439453	43	-0.788574	
44	-0.349121	44	-0.67627	
45	-0.249023	45	-0.561523	
46	-0.151367	46	-0.437012	
47	-0.0488281	47	-0.310059	
48	0.0512695	48	-0.192871	
49	0.151367	49	-0.0805664	
50	0.251465	50	0.0366211	
51	0.351562	51	0.15625	
52	0.437012	52	0.285645	
53	0.529785	53	0.412598	
54	0.610352	54	0.527344	
55	0.686035	55	0.644531	
56	0.754395	56	0.761719	
57	0.820312	57	0.866699	
58	0.871582	58	0.986328	
59	0.915527	59	1.08643	
60	0.944824	60	1.20361	
61	0.979004	61	1.30127	
62	0.986328	62	1.40625	
63	0.998535	63	1.49414	
64	1.00098	64	1.5918	
65	0.991211	65	1.6748	
66	0.97168	66	1.77002	
67	0.9375	67	1.85059	
68	0.900879	68	1.92139	
69	0.83252	69	1.99219	
70	0.786133	70	2.06787	
71	0.712891	71	2.11182	
72	0.620117	72	2.17529	
73	0.544434	73	2.22656	
74	0.476074	74	2.27539	
75	0.380859	75	2.31934	
76	0.270996	76	2.34375	
77	0.19043	77	2.36816	
78	0.100098	78	2.39258	
79	-0.0366211	79	2.41211	
80	-0.114746	80	2.41943	
81	-0.224609	81	2.42432	
82	-0.310059	82	2.42432	
83	-0.424805	83	2.41455	
84	-0.500488	84	2.3999	
85	-0.595703	85	2.36816	
86	-0.664062	86	2.35352	
87	-0.737305	87	2.31934	
88	-0.805664	88	2.27539	
89	-0.866699	89	2.23389	
90	-0.913086	90	2.18018	
91	-0.952148	91	2.12646	
92	-0.97168	92	2.0752	
93	-0.991211	93	2.00439	
94	-1.00586	94	1.93115	
95	-1.00098	95	1.86035	
96	-0.996094	96	1.76758	
97	-0.969238	97	1.69678	
98	-0.944824	98	1.59912	
99	-0.900879	99	1.50146	
100	-0.859375	100	1.40625	
101	-0.79834	101	1.31104	
102	-0.72998	102	1.20117	
103	-0.654297	103	1.10352	
104	-0.578613	104	0.983887	
105	-0.490723	105	0.883789	
106	-0.402832	106	0.771484	
107	-0.307617	107	0.656738	
108	-0.212402	108	0.529785	
109	-0.119629	109	0.415039	
110	-0.00976562	110	0.288086	
111	0.0878906	111	0.175781	
112	0.187988	112	0.0610352	
113	0.283203	113	-0.0585937	
114	0.385742	114	-0.187988	
115	0.476074	115	-0.300293	
116	0.559082	116	-0.429687	
117	0.637207	117	-0.549316	
118	0.710449	118	-0.664062	
119	0.778809	119	-0.766602	
120	0.83252	120	-0.888672	
121	0.891113	121	-0.991211	
122	0.932617	122	-1.10596	
123	0.959473	123	-1.20361	
124	0.983887	124	-1.30371	
125	0.98877	125	-1.40869	
126	0.998535	126	-1.51123	
127	0.976562	127	-1.5918	
128	0.964355	128	-1.68945	
129	0.952148	129	-1.77002	
130	0.908203	130	-1.85059	
131	0.849609	131	-1.92383	
132	0.79834	132	-1.98975	
133	0.74707	133	-2.05078	
134	0.656738	134	-2.11182	
135	0.588379	135	-2.16309	
136	0.493164	136	-2.21436	
137	0.429687	137	-2.25586	
138	0.319824	138	-2.28027	
139	0.234375	139	-2.32178	
140	0.119629	140	-2.34619	
141	0.0219727	141	-2.36328	
142	-0.0561523	142	-2.37549	
143	-0.17334	143	-2.38037	
144	-0.268555	144	-2.38281	
145	-0.341797	145	-2.36816	
146	-0.45166	146	-2.3584	
147	-0.537109	147	-2.34375	
148	-0.615234	148	-2.3291	
149	-0.703125	149	-2.29736	
150	-0.766602	150	-2.2583	
151	-0.820312	151	-2.20947	
152	-0.888672	152	-2.16309	
153	-0.932617	153	-2.12402	
154	-0.959473	154	-2.05566	
155	-0.976562	155	-1.99951	
156	-1.00098	156	-1.92627	
157	-1.00586	157	-1.85547	
158	-0.991211	158	-1.77002	
159	-0.979004	159	-1.69189	
160	-0.95459	160	-1.60156	
161	-0.917969	161	-1.521	
162	-0.871582	162	-1.41846	
163	-0.820312	163	-1.32813	
164	-0.751953	164	-1.21826	
165	-0.690918	165	-1.12305	
166	-0.603027	166	-1.00342	
167	-0.517578	167	-0.90332	
168	-0.441895	168	-0.788574	
169	-0.344238	169	-0.67627	
170	-0.249023	170	-0.563965	
171	-0.153809	171	-0.43457	
172	-0.0488281	172	-0.307617	
173	0.0488281	173	-0.192871	
174	0.151367	174	-0.0756836	
175	0.241699	175	0.0390625	
176	0.349121	176	0.15625	
177	0.444336	177	0.285645	
178	0.522461	178	0.412598	
179	0.612793	179	0.529785	
180	0.688477	180	0.644531	
181	0.761719	181	0.759277	
182	0.810547	182	0.866699	
183	0.861816	183	0.986328	
184	0.913086	184	1.08887	
185	0.939941	185	1.20117	
186	0.983887	186	1.30127	
187	0.98877	187	1.40869	
188	0.996094	188	1.49414	
189	1.01074	189	1.58936	
190	0.986328	190	1.67236	
