#offset in uscita, sfasamento, prostaferesi, dallóffset s ricava la frequenza di taglio del circuito che confronti con r e c. R 1kOhm, C=100 nF. freq campionamento 100kHz, 800Hz
Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	-0.185547	0	0.100098	
1	-0.0683594	1	-0.0146484	
2	0.0634766	2	-0.131836	
3	0.200195	3	-0.263672	
4	0.32959	4	-0.390625	
5	0.473633	5	-0.507812	
6	0.60791	6	-0.625	
7	0.759277	7	-0.739746	
8	0.883789	8	-0.839844	
9	1.02295	9	-0.961914	
10	1.15967	10	-1.06689	
11	1.28906	11	-1.18408	
12	1.4209	12	-1.2793	
13	1.51123	13	-1.38184	
14	1.62109	14	-1.47461	
15	1.72119	15	-1.56494	
16	1.81396	16	-1.65283	
17	1.88477	17	-1.74805	
18	1.93359	18	-1.82861	
19	1.99707	19	-1.89697	
20	2.0166	20	-1.96777	
21	2.03613	21	-2.04346	
22	2.04102	22	-2.08984	
23	2.0166	23	-2.14844	
24	1.99219	24	-2.19727	
25	1.97021	25	-2.24854	
26	1.92139	26	-2.2876	
27	1.84082	27	-2.31445	
28	1.78467	28	-2.33887	
29	1.69678	29	-2.36328	
30	1.56738	30	-2.38281	
31	1.47949	31	-2.3877	
32	1.35254	32	-2.39258	
33	1.24023	33	-2.39502	
34	1.08887	34	-2.38037	
35	0.969238	35	-2.36572	
36	0.822754	36	-2.33643	
37	0.695801	37	-2.31689	
38	0.549316	38	-2.28271	
39	0.405273	39	-2.24609	
40	0.263672	40	-2.19482	
41	0.136719	41	-2.14355	
42	0.0146484	42	-2.0874	
43	-0.10498	43	-2.03369	
44	-0.227051	44	-1.96045	
45	-0.332031	45	-1.88965	
46	-0.41748	46	-1.81641	
47	-0.507812	47	-1.72607	
48	-0.583496	48	-1.65039	
49	-0.646973	49	-1.55762	
50	-0.693359	50	-1.45996	
51	-0.737305	51	-1.35986	
52	-0.74707	52	-1.26465	
53	-0.744629	53	-1.15234	
54	-0.742187	54	-1.05713	
55	-0.712891	55	-0.9375	
56	-0.683594	56	-0.83252	
57	-0.629883	57	-0.720215	
58	-0.566406	58	-0.60791	
59	-0.498047	59	-0.476074	
60	-0.402832	60	-0.361328	
61	-0.305176	61	-0.239258	
62	-0.200195	62	-0.119629	
63	-0.090332	63	-0.00488281	
64	0.0390625	64	0.112305	
65	0.170898	65	0.244141	
66	0.307617	66	0.358887	
67	0.444336	67	0.488281	
68	0.588379	68	0.60791	
69	0.734863	69	0.725098	
70	0.876465	70	0.822754	
71	1.01318	71	0.944824	
72	1.14502	72	1.05225	
73	1.2793	73	1.16455	
74	1.40625	74	1.26465	
75	1.521	75	1.3623	
76	1.62598	76	1.46729	
77	1.72852	77	1.56982	
78	1.80176	78	1.65527	
79	1.88477	79	1.75049	
80	1.96289	80	1.83105	
81	2.00928	81	1.90918	
82	2.03613	82	1.98242	
83	2.06543	83	2.05078	
84	2.08008	84	2.10938	
85	2.06787	85	2.17041	
86	2.05322	86	2.21436	
87	2.00928	87	2.27295	
88	1.97998	88	2.31445	
89	1.90186	89	2.33887	
90	1.85059	90	2.37793	
91	1.75781	91	2.40479	
92	1.65527	92	2.41455	
93	1.56738	93	2.4292	
94	1.43555	94	2.4292	
95	1.3208	95	2.43896	
96	1.20361	96	2.42188	
97	1.05225	97	2.40723	
98	0.913086	98	2.39258	
99	0.78125	99	2.37549	
100	0.622559	100	2.34131	
101	0.478516	101	2.30713	
102	0.344238	102	2.25342	
103	0.192871	103	2.20703	
104	0.0708008	104	2.16309	
105	-0.0610352	105	2.09473	
106	-0.170898	106	2.03857	
107	-0.29541	107	1.96533	
108	-0.390625	108	1.88965	
109	-0.483398	109	1.8042	
110	-0.568848	110	1.72852	
111	-0.629883	111	1.6333	
112	-0.688477	112	1.55762	
113	-0.727539	113	1.4502	
114	-0.759277	114	1.35742	
115	-0.771484	115	1.24756	
116	-0.783691	116	1.1499	
117	-0.759277	117	1.0376	
118	-0.739746	118	0.927734	
119	-0.698242	119	0.81543	
120	-0.64209	120	0.700684	
121	-0.566406	121	0.588379	
122	-0.493164	122	0.458984	
123	-0.388184	123	0.336914	
124	-0.300293	124	0.217285	
125	-0.187988	125	0.102539	
126	-0.0610352	126	-0.0146484	
127	0.0610352	127	-0.131836	
128	0.205078	128	-0.26123	
129	0.332031	129	-0.388184	
130	0.46875	130	-0.507812	
131	0.610352	131	-0.622559	
132	0.754395	132	-0.739746	
133	0.883789	133	-0.842285	
134	1.02051	134	-0.961914	
135	1.16455	135	-1.06689	
136	1.28906	136	-1.1792	
137	1.41602	137	-1.2793	
138	1.51123	138	-1.37939	
139	1.63086	139	-1.47217	
140	1.72607	140	-1.56494	
141	1.81396	141	-1.65039	
142	1.88721	142	-1.74561	
