Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	
0	1.18652	0	-0.268555	0	-0.3125	
1	1.15723	1	-0.195312	1	-0.209961	
2	1.12793	2	-0.107422	2	-0.107422	
3	1.08887	3	-0.0341797	3	-0.00488281	
4	1.0498	4	0.0537109	4	0.078125	
5	1.01074	5	0.131836	5	0.151367	
6	0.961914	6	0.214844	6	0.224609	
7	0.908203	7	0.292969	7	0.292969	
8	0.854492	8	0.375977	8	0.341797	
9	0.786133	9	0.449219	9	0.371094	
10	0.727539	10	0.527344	10	0.405273	
11	0.65918	11	0.600586	11	0.405273	
12	0.581055	12	0.668945	12	0.390625	
13	0.512695	13	0.732422	13	0.375977	
14	0.43457	14	0.800781	14	0.341797	
15	0.356445	15	0.864258	15	0.292969	
16	0.273437	16	0.917969	16	0.239258	
17	0.195312	17	0.97168	17	0.161133	
18	0.112305	18	1.02051	18	0.078125	
19	0.0292969	19	1.06445	19	-0.0146484	
20	-0.0585937	20	1.09863	20	-0.117187	
21	-0.136719	21	1.1377	21	-0.224609	
22	-0.224609	22	1.16699	22	-0.322266	
23	-0.302734	23	1.18652	23	-0.439453	
24	-0.385742	24	1.21094	24	-0.556641	
25	-0.463867	25	1.23047	25	-0.649414	
26	-0.541992	26	1.23535	26	-0.751953	
27	-0.615234	27	1.23535	27	-0.854492	
28	-0.683594	28	1.23535	28	-0.947266	
29	-0.756836	29	1.22559	29	-1.03516	
30	-0.825195	30	1.21582	30	-1.10352	
31	-0.883789	31	1.19629	31	-1.15723	
32	-0.942383	32	1.16699	32	-1.20117	
33	-0.996094	33	1.1377	33	-1.22559	
34	-1.04492	34	1.09863	34	-1.24512	
35	-1.08887	35	1.06445	35	-1.25488	
36	-1.12793	36	1.02539	36	-1.23047	
37	-1.16699	37	0.976562	37	-1.21094	
38	-1.19629	38	0.922852	38	-1.17188	
39	-1.21582	39	0.869141	39	-1.11816	
40	-1.23535	40	0.805664	40	-1.0498	
