Time - Plot 0	Amplitude - Plot 0	
0	-0.0125244	
1	-0.0128418	
2	-0.0127686	
3	-0.0127686	
4	-0.0130615	
5	-0.0134766	
6	-0.0134521	
7	-0.0133789	
8	-0.0137695	
9	-0.0141357	
10	-0.0140869	
11	-0.0140869	
12	-0.0140625	
13	-0.0140625	
14	-0.0140137	
15	-0.0134521	
16	-0.0132324	
17	-0.0134766	
18	-0.0131348	
19	-0.0130371	
20	-0.0126709	
21	-0.0125	
22	-0.0125244	
23	-0.0119873	
24	-0.0116211	
25	-0.0115234	
26	-0.0115723	
27	-0.011499	
28	-0.0107178	
29	-0.0107666	
30	-0.0110107	
31	-0.010376	
32	-0.010498	
33	-0.0100098	
34	-0.0102783	
35	-0.0101563	
36	-0.00939941	
37	-0.00927734	
38	-0.00935059	
39	-0.00908203	
40	-0.009375	
41	-0.00878906	
42	-0.00876465	
43	-0.00925293	
44	-0.00842285	
45	-0.00830078	
46	-0.0081543	
47	-0.00822754	
48	-0.00800781	
49	-0.00742188	
50	-0.00742188	
51	-0.00754395	
52	-0.0072998	
53	-0.00722656	
54	-0.00664063	
55	-0.00683594	
56	-0.00690918	
57	-0.00629883	
58	-0.00637207	
59	-0.00620117	
60	-0.0060791	
61	-0.0060791	
62	-0.00539551	
63	-0.00534668	
64	-0.00576172	
65	-0.00510254	
66	-0.00495605	
67	-0.0046875	
68	-0.00456543	
69	-0.0045166	
70	-0.00373535	
71	-0.00385742	
72	-0.00397949	
73	-0.00351563	
74	-0.00349121	
75	-0.00332031	
76	-0.00400391	
77	-0.00466309	
78	-0.00407715	
79	-0.00444336	
80	-0.00458984	
81	-0.00500488	
82	-0.00556641	
83	-0.00495605	
84	-0.00534668	
85	-0.00593262	
86	-0.00561523	
87	-0.00578613	
88	-0.0059082	
89	-0.00625	
90	-0.00666504	
91	-0.00649414	
92	-0.0067627	
93	-0.00695801	
94	-0.00725098	
95	-0.00761719	
96	-0.00742188	
97	-0.0079834	
98	-0.00856934	
99	-0.00808105	
100	-0.00852051	
101	-0.00837402	
102	-0.00874023	
103	-0.00913086	
104	-0.00861816	
105	-0.00905762	
106	-0.00957031	
107	-0.00935059	
108	-0.0097168	
109	-0.00959473	
110	-0.0101807	
111	-0.0104248	
112	-0.0102051	
113	-0.0104736	
114	-0.0105957	
115	-0.011084	
116	-0.0112305	
117	-0.0107422	
118	-0.0111328	
119	-0.0115723	
120	-0.0114014	
121	-0.011792	
122	-0.0116943	
123	-0.0121338	
124	-0.0124512	
125	-0.0119629	
126	-0.012207	
127	-0.0126221	
128	-0.0125	
129	-0.0125977	
130	-0.0125244	
131	-0.0129395	
132	-0.0135498	
133	-0.0133057	
134	-0.0134521	
135	-0.0136475	
136	-0.0141357	
137	-0.014209	
138	-0.0133545	
139	-0.013501	
140	-0.0136719	
141	-0.0132324	
142	-0.0131348	
143	-0.0125732	
144	-0.0124023	
145	-0.0127686	
146	-0.0118652	
147	-0.0122559	
148	-0.0121094	
149	-0.0118896	
150	-0.0117432	
151	-0.0111572	
152	-0.0112793	
153	-0.011792	
154	-0.0110596	
155	-0.0110596	
156	-0.0107178	
157	-0.0106689	
158	-0.0107178	
159	-0.00983887	
160	-0.0100342	
161	-0.00996094	
162	-0.00961914	
163	-0.0095459	
164	-0.00908203	
165	-0.0092041	
166	-0.00942383	
167	-0.00869141	
168	-0.00871582	
169	-0.00856934	
170	-0.00839844	
171	-0.00837402	
172	-0.00773926	
173	-0.00766602	
174	-0.00830078	
175	-0.00744629	
176	-0.00717773	
177	-0.00683594	
178	-0.00688477	
179	-0.00703125	
180	-0.00632324	
181	-0.00646973	
182	-0.00637207	
183	-0.0060791	
184	-0.00578613	
185	-0.00524902	
186	-0.00539551	
187	-0.00568848	
188	-0.00478516	
189	-0.00490723	
190	-0.00478516	
191	-0.00463867	
192	-0.00490723	
193	-0.0041748	
194	-0.00415039	
195	-0.00449219	
196	-0.00402832	
197	-0.00390625	
198	-0.00373535	
199	-0.00375977	
200	-0.00419922	
201	-0.00371094	
202	-0.00422363	
203	-0.00424805	
204	-0.00466309	
205	-0.00493164	
206	-0.00454102	
207	-0.00510254	
208	-0.00546875	
209	-0.00529785	
210	-0.0057373	
211	-0.00585937	
212	-0.00612793	
213	-0.0067627	
214	-0.00615234	
215	-0.00683594	
216	-0.00717773	
217	-0.00705566	
218	-0.00727539	
219	-0.00725098	
220	-0.00759277	
221	-0.0081543	
222	-0.00778809	
223	-0.00808105	
224	-0.00820313	
225	-0.00876465	
226	-0.00893555	
227	-0.0083252	
228	-0.00898438	
229	-0.00944824	
230	-0.0092041	
231	-0.0095459	
232	-0.00949707	
233	-0.00974121	
234	-0.0102783	
235	-0.00981445	
236	-0.0102295	
237	-0.0106201	
238	-0.0105713	
239	-0.0107422	
240	-0.0105225	
241	-0.0108154	
242	-0.0113037	
243	-0.0109375	
244	-0.0111816	
245	-0.0111816	
246	-0.0115234	
247	-0.0116699	
248	-0.0112549	
249	-0.0120117	
250	-0.0124512	
251	-0.0123047	
252	-0.0126221	
253	-0.0125732	
254	-0.0130127	
255	-0.0135254	
256	-0.0130371	
257	-0.013208	
258	-0.013501	
259	-0.0138184	
260	-0.0138916	
261	-0.013623	
262	-0.013916	
263	-0.0140381	
264	-0.0135986	
265	-0.0133789	
266	-0.0132324	
267	-0.0132813	
268	-0.0134033	
269	-0.0124756	
270	-0.012793	
271	-0.0125977	
272	-0.0122314	
273	-0.012207	
274	-0.0115234	
275	-0.0116699	
276	-0.0119873	
277	-0.0113037	
278	-0.011084	
279	-0.0111328	
280	-0.0108398	
281	-0.0109619	
282	-0.010376	
283	-0.0102295	
284	-0.0104004	
285	-0.00993652	
286	-0.0095459	
287	-0.00944824	
288	-0.00944824	
289	-0.00959473	
290	-0.0088623	
291	-0.00900879	
292	-0.00888672	
293	-0.00866699	
294	-0.00859375	
295	-0.0081543	
296	-0.00805664	
297	-0.0083252	
298	-0.00761719	
299	-0.00756836	
300	-0.00766602	
301	-0.00739746	
302	-0.00756836	
303	-0.00671387	
304	-0.00678711	
305	-0.00703125	
306	-0.0065918	
307	-0.00649414	
308	-0.00615234	
309	-0.00615234	
310	-0.00612793	
311	-0.00561523	
312	-0.00559082	
313	-0.00561523	
314	-0.00559082	
315	-0.00554199	
316	-0.00473633	
317	-0.00488281	
318	-0.00498047	
319	-0.00441895	
320	-0.0043457	
321	-0.00422363	
322	-0.0041748	
323	-0.00437012	
324	-0.00361328	
325	-0.00397949	
326	-0.00449219	
327	-0.00439453	
328	-0.00466309	
329	-0.00432129	
330	-0.0046875	
331	-0.00500488	
332	-0.0048584	
333	-0.00498047	
334	-0.00532227	
335	-0.00556641	
336	-0.00585937	
337	-0.00544434	
338	-0.00598145	
339	-0.00661621	
340	-0.00627441	
341	-0.00661621	
342	-0.0065918	
343	-0.00683594	
344	-0.0074707	
345	-0.00710449	
346	-0.00734863	
347	-0.00783691	
348	-0.00771484	
349	-0.00817871	
350	-0.00791016	
351	-0.00827637	
352	-0.00876465	
353	-0.00864258	
354	-0.00876465	
355	-0.00895996	
356	-0.00927734	
357	-0.00959473	
358	-0.00900879	
359	-0.00974121	
360	-0.0101563	
361	-0.00991211	
362	-0.0102783	
363	-0.0101318	
364	-0.0106445	
365	-0.0110352	
366	-0.0107178	
367	-0.0108398	
368	-0.0111572	
369	-0.0113037	
370	-0.0116943	
371	-0.0113037	
372	-0.0118164	
373	-0.0122559	
374	-0.0121826	
375	-0.0121826	
376	-0.0123535	
377	-0.0129395	
378	-0.0130371	
379	-0.0126953	
380	-0.0130859	
381	-0.0134277	
382	-0.0134277	
383	-0.0137695	
384	-0.0134521	
385	-0.013916	
386	-0.0145264	
387	-0.0138916	
388	-0.0135986	
389	-0.0135986	
390	-0.013501	
391	-0.0135254	
392	-0.0128906	
393	-0.012793	
394	-0.0131104	
395	-0.0125244	
396	-0.0124512	
397	-0.012207	
398	-0.0122314	
399	-0.0121826	
400	-0.0114258	
401	-0.011499	
402	-0.0115234	
403	-0.0111572	
404	-0.0112061	
405	-0.010498	
406	-0.0105957	
407	-0.0107666	
408	-0.0100098	
409	-0.0100342	
410	-0.00993652	
411	-0.00991211	
412	-0.00974121	
413	-0.00905762	
414	-0.00908203	
415	-0.00957031	
416	-0.00908203	
417	-0.00881348	
418	-0.00861816	
419	-0.00878906	
420	-0.0090332	
421	-0.00852051	
422	-0.00808105	
423	-0.00791016	
424	-0.00793457	
425	-0.00778809	
426	-0.00708008	
427	-0.00712891	
428	-0.00732422	
429	-0.00683594	
430	-0.00651855	
431	-0.00629883	
432	-0.00639648	
433	-0.00625	
434	-0.0059082	
435	-0.00566406	
436	-0.00598145	
437	-0.00566406	
438	-0.00537109	
439	-0.00498047	
440	-0.00495605	
441	-0.00500488	
442	-0.00466309	
443	-0.00429688	
444	-0.00427246	
445	-0.00449219	
446	-0.0041748	
447	-0.00366211	
448	-0.00368652	
449	-0.00402832	
450	-0.00393066	
451	-0.00407715	
452	-0.00407715	
453	-0.00444336	
454	-0.0048584	
455	-0.00476074	
456	-0.00480957	
457	-0.00517578	
458	-0.00549316	
459	-0.00554199	
460	-0.00561523	
461	-0.00583496	
462	-0.00625	
463	-0.00627441	
464	-0.00625	
465	-0.00637207	
466	-0.00705566	
467	-0.00705566	
468	-0.00688477	
469	-0.00734863	
470	-0.0076416	
471	-0.0076416	
472	-0.00776367	
473	-0.00773926	
474	-0.00820313	
475	-0.00856934	
476	-0.00834961	
477	-0.00837402	
478	-0.00866699	
479	-0.00927734	
480	-0.00905762	
481	-0.00913086	
482	-0.00922852	
483	-0.00974121	
484	-0.00976562	
485	-0.00966797	
486	-0.00974121	
487	-0.010376	
488	-0.0105469	
489	-0.0103516	
490	-0.0105957	
491	-0.0109619	
492	-0.0110596	
493	-0.0111328	
494	-0.0111572	
495	-0.0114746	
496	-0.0118896	
497	-0.011792	
498	-0.011792	
499	-0.0121582	
