Time - Plot 0	Amplitude - Plot 0	
0	0.00532227	
1	0.00539551	
2	0.00566406	
3	0.00571289	
4	0.00522461	
5	0.00559082	
6	0.00551758	
7	0.00556641	
8	0.00527344	
9	0.00541992	
10	0.00568848	
11	0.00568848	
12	0.00563965	
13	0.00537109	
14	0.00559082	
15	0.00576172	
16	0.00561523	
17	0.00532227	
18	0.00556641	
19	0.00563965	
20	0.00556641	
21	0.00539551	
22	0.00539551	
23	0.00585937	
24	0.00563965	
25	0.00529785	
26	0.00537109	
27	0.00551758	
28	0.00561523	
29	0.00544434	
30	0.00524902	
31	0.00546875	
32	0.00551758	
33	0.00529785	
34	0.00500488	
35	0.00522461	
36	0.00549316	
37	0.00532227	
38	0.00500488	
39	0.00515137	
40	0.00529785	
41	0.00541992	
42	0.00498047	
43	0.00488281	
44	0.00529785	
45	0.00515137	
46	0.00500488	
47	0.00493164	
48	0.00505371	
49	0.00517578	
50	0.00517578	
51	0.00483398	
52	0.00522461	
53	0.00524902	
54	0.0052002	
55	0.00488281	
56	0.00505371	
57	0.00539551	
58	0.00527344	
59	0.00507813	
60	0.00522461	
61	0.00544434	
62	0.00549316	
63	0.00493164	
64	0.00495605	
65	0.00539551	
66	0.00524902	
67	0.00534668	
68	0.00512695	
69	0.00532227	
70	0.00549316	
71	0.00549316	
72	0.00493164	
73	0.00534668	
74	0.00559082	
75	0.00532227	
76	0.0050293	
77	0.00524902	
78	0.00549316	
79	0.00546875	
80	0.00532227	
81	0.00524902	
82	0.00554199	
83	0.00549316	
84	0.00539551	
85	0.0052002	
86	0.00556641	
87	0.00549316	
88	0.00527344	
89	0.0052002	
90	0.00517578	
91	0.00554199	
92	0.00539551	
93	0.00495605	
94	0.00532227	
95	0.00566406	
96	0.00541992	
97	0.00529785	
98	0.00515137	
99	0.00566406	
100	0.00544434	
101	0.00546875	
102	0.00517578	
103	0.00546875	
104	0.00566406	
105	0.00546875	
106	0.00544434	
107	0.00576172	
108	0.00578613	
109	0.00561523	
110	0.00561523	
111	0.00549316	
112	0.00598145	
