Time - Plot 0	Amplitude - Plot 0	
0	-0.810547	
1	-0.825195	
2	-0.834961	
3	-0.847168	
4	-0.861816	
5	-0.874023	
6	-0.883789	
7	-0.898437	
8	-0.908203	
9	-0.922852	
10	-0.932617	
11	-0.944824	
12	-0.957031	
13	-0.969238	
14	-0.97168	
15	-0.959473	
16	-0.947266	
17	-0.935059	
18	-0.922852	
19	-0.910645	
20	-0.898437	
21	-0.88623	
22	-0.874023	
23	-0.861816	
24	-0.849609	
25	-0.834961	
26	-0.822754	
27	-0.810547	
28	-0.79834	
29	-0.786133	
30	-0.773926	
31	-0.761719	
32	-0.749512	
33	-0.737305	
34	-0.725098	
35	-0.712891	
36	-0.700684	
37	-0.686035	
38	-0.673828	
39	-0.661621	
40	-0.649414	
41	-0.637207	
42	-0.625	
43	-0.612793	
44	-0.600586	
45	-0.588379	
46	-0.576172	
47	-0.563965	
48	-0.551758	
49	-0.539551	
50	-0.524902	
51	-0.512695	
52	-0.50293	
53	-0.488281	
54	-0.476074	
55	-0.463867	
56	-0.45166	
57	-0.439453	
58	-0.427246	
59	-0.415039	
60	-0.402832	
61	-0.390625	
62	-0.378418	
63	-0.366211	
64	-0.354004	
65	-0.341797	
66	-0.32959	
67	-0.314941	
68	-0.302734	
69	-0.292969	
70	-0.280762	
71	-0.268555	
72	-0.256348	
73	-0.244141	
74	-0.231934	
75	-0.217285	
76	-0.205078	
77	-0.219727	
78	-0.231934	
79	-0.244141	
80	-0.256348	
81	-0.268555	
82	-0.280762	
83	-0.292969	
84	-0.305176	
85	-0.317383	
86	-0.32959	
87	-0.341797	
88	-0.354004	
89	-0.366211	
90	-0.380859	
91	-0.393066	
92	-0.405273	
93	-0.41748	
94	-0.429687	
95	-0.441895	
96	-0.454102	
97	-0.466309	
98	-0.478516	
99	-0.490723	
100	-0.50293	
101	-0.515137	
102	-0.527344	
103	-0.539551	
104	-0.551758	
105	-0.566406	
106	-0.578613	
107	-0.59082	
108	-0.603027	
109	-0.615234	
110	-0.627441	
111	-0.639648	
112	-0.651855	
113	-0.664062	
114	-0.67627	
115	-0.688477	
116	-0.700684	
117	-0.712891	
118	-0.725098	
119	-0.737305	
120	-0.749512	
121	-0.761719	
122	-0.773926	
123	-0.786133	
124	-0.800781	
125	-0.810547	
126	-0.822754	
127	-0.834961	
128	-0.849609	
129	-0.859375	
130	-0.871582	
131	-0.883789	
132	-0.898437	
133	-0.910645	
134	-0.92041	
135	-0.932617	
136	-0.944824	
137	-0.957031	
138	-0.969238	
139	-0.97168	
140	-0.959473	
141	-0.947266	
142	-0.935059	
143	-0.922852	
144	-0.910645	
145	-0.898437	
146	-0.88623	
147	-0.874023	
148	-0.861816	
149	-0.849609	
150	-0.834961	
151	-0.822754	
152	-0.810547	
153	-0.79834	
154	-0.786133	
155	-0.773926	
156	-0.761719	
157	-0.749512	
158	-0.737305	
159	-0.725098	
160	-0.712891	
161	-0.700684	
162	-0.686035	
163	-0.673828	
164	-0.661621	
165	-0.649414	
166	-0.637207	
167	-0.625	
168	-0.612793	
169	-0.600586	
170	-0.588379	
171	-0.576172	
172	-0.563965	
173	-0.549316	
174	-0.539551	
175	-0.524902	
176	-0.512695	
177	-0.500488	
178	-0.488281	
179	-0.476074	
180	-0.463867	
181	-0.45166	
182	-0.439453	
183	-0.427246	
184	-0.415039	
185	-0.402832	
186	-0.390625	
187	-0.378418	
188	-0.366211	
189	-0.351562	
190	-0.339355	
191	-0.32959	
192	-0.314941	
193	-0.302734	
194	-0.292969	
195	-0.280762	
196	-0.268555	
197	-0.256348	
198	-0.244141	
199	-0.231934	
200	-0.219727	
201	-0.205078	
202	-0.219727	
203	-0.231934	
204	-0.244141	
205	-0.256348	
206	-0.268555	
207	-0.280762	
208	-0.292969	
209	-0.305176	
210	-0.317383	
211	-0.32959	
212	-0.341797	
213	-0.354004	
214	-0.366211	
215	-0.380859	
216	-0.393066	
217	-0.405273	
218	-0.41748	
219	-0.429687	
220	-0.441895	
221	-0.454102	
222	-0.466309	
223	-0.478516	
224	-0.490723	
225	-0.50293	
226	-0.515137	
227	-0.527344	
228	-0.539551	
229	-0.551758	
230	-0.566406	
231	-0.578613	
232	-0.59082	
233	-0.603027	
234	-0.615234	
235	-0.627441	
236	-0.639648	
237	-0.651855	
238	-0.664062	
239	-0.67627	
240	-0.688477	
241	-0.700684	
242	-0.712891	
243	-0.725098	
244	-0.737305	
245	-0.749512	
246	-0.761719	
247	-0.773926	
248	-0.786133	
249	-0.79834	
250	-0.810547	
251	-0.822754	
252	-0.834961	
253	-0.847168	
254	-0.861816	
255	-0.874023	
256	-0.88623	
257	-0.898437	
258	-0.910645	
259	-0.922852	
260	-0.932617	
261	-0.944824	
262	-0.957031	
263	-0.97168	
264	-0.97168	
265	-0.959473	
266	-0.947266	
267	-0.935059	
268	-0.922852	
269	-0.910645	
270	-0.898437	
271	-0.88623	
272	-0.874023	
273	-0.861816	
274	-0.847168	
275	-0.834961	
276	-0.822754	
277	-0.810547	
278	-0.79834	
279	-0.786133	
280	-0.773926	
281	-0.761719	
282	-0.749512	
283	-0.734863	
284	-0.725098	
285	-0.712891	
286	-0.698242	
287	-0.686035	
288	-0.673828	
289	-0.661621	
290	-0.649414	
291	-0.637207	
292	-0.625	
293	-0.612793	
294	-0.600586	
295	-0.588379	
296	-0.576172	
297	-0.563965	
298	-0.551758	
299	-0.537109	
300	-0.524902	
301	-0.512695	
302	-0.500488	
303	-0.488281	
304	-0.476074	
305	-0.463867	
306	-0.45166	
307	-0.439453	
308	-0.427246	
309	-0.415039	
310	-0.402832	
311	-0.390625	
312	-0.375977	
313	-0.366211	
314	-0.354004	
315	-0.339355	
316	-0.327148	
317	-0.314941	
318	-0.305176	
319	-0.292969	
320	-0.280762	
321	-0.268555	
322	-0.256348	
323	-0.244141	
324	-0.231934	
325	-0.217285	
326	-0.205078	
327	-0.219727	
328	-0.231934	
329	-0.244141	
330	-0.256348	
331	-0.268555	
332	-0.280762	
333	-0.292969	
334	-0.305176	
335	-0.317383	
336	-0.32959	
337	-0.341797	
338	-0.354004	
339	-0.366211	
340	-0.380859	
341	-0.393066	
342	-0.405273	
343	-0.41748	
344	-0.429687	
345	-0.441895	
346	-0.454102	
347	-0.466309	
348	-0.478516	
349	-0.490723	
350	-0.50293	
351	-0.515137	
352	-0.527344	
353	-0.541992	
354	-0.554199	
355	-0.563965	
356	-0.578613	
357	-0.59082	
358	-0.603027	
359	-0.612793	
360	-0.627441	
361	-0.639648	
362	-0.651855	
363	-0.664062	
364	-0.67627	
365	-0.688477	
366	-0.700684	
367	-0.712891	
368	-0.725098	
369	-0.737305	
370	-0.749512	
371	-0.761719	
372	-0.773926	
373	-0.786133	
374	-0.79834	
375	-0.810547	
376	-0.822754	
377	-0.834961	
378	-0.847168	
379	-0.861816	
380	-0.871582	
381	-0.883789	
382	-0.898437	
383	-0.908203	
384	-0.922852	
385	-0.932617	
386	-0.944824	
387	-0.957031	
388	-0.969238	
389	-0.97168	
390	-0.959473	
391	-0.947266	
392	-0.935059	
393	-0.922852	
394	-0.910645	
395	-0.898437	
396	-0.88623	
397	-0.874023	
398	-0.861816	
399	-0.847168	
400	-0.837402	
401	-0.822754	
402	-0.810547	
403	-0.79834	
404	-0.786133	
405	-0.773926	
406	-0.761719	
407	-0.749512	
408	-0.737305	
409	-0.725098	
410	-0.712891	
411	-0.700684	
412	-0.686035	
413	-0.673828	
414	-0.661621	
415	-0.649414	
416	-0.637207	
417	-0.625	
418	-0.612793	
419	-0.600586	
420	-0.588379	
421	-0.576172	
422	-0.561523	
423	-0.549316	
424	-0.539551	
425	-0.524902	
426	-0.512695	
427	-0.500488	
428	-0.488281	
429	-0.476074	
430	-0.463867	
431	-0.45166	
432	-0.439453	
433	-0.427246	
434	-0.415039	
435	-0.402832	
436	-0.390625	
437	-0.378418	
438	-0.366211	
439	-0.354004	
440	-0.339355	
441	-0.327148	
