numero campioni
 - Plot 0	frequenza - Plot 0	
0	8598.45	
1	8598.45	
2	8602.15	
3	8602.15	
4	8602.15	
5	8602.15	
6	8598.45	
7	8598.45	
8	8602.15	
9	8602.15	
10	8598.45	
11	8598.45	
12	8598.45	
13	8602.15	
14	8598.45	
15	8598.45	
16	8602.15	
17	8598.45	
18	8598.45	
19	8602.15	
20	8602.15	
21	8602.15	
22	8598.45	
23	8602.15	
24	8602.15	
25	8602.15	
26	8602.15	
27	8598.45	
28	8602.15	
29	8598.45	
30	8598.45	
31	8598.45	
32	8598.45	
33	8602.15	
34	8598.45	
35	8602.15	
36	8598.45	
37	8602.15	
38	8602.15	
39	8602.15	
40	8602.15	
41	8602.15	
42	8602.15	
43	8602.15	
44	8598.45	
45	8598.45	
46	8598.45	
47	8602.15	
48	8602.15	
49	8602.15	
50	8602.15	
51	8602.15	
52	8598.45	
53	8598.45	
54	8602.15	
55	8598.45	
56	8602.15	
57	8598.45	
58	8598.45	
59	8598.45	
60	8602.15	
61	8598.45	
62	8602.15	
63	8598.45	
64	8602.15	
65	8602.15	
66	8598.45	
67	8602.15	
68	8598.45	
69	8598.45	
70	8598.45	
71	8598.45	
72	8598.45	
73	8598.45	
74	8602.15	
75	8602.15	
76	8598.45	
77	8598.45	
78	8602.15	
79	8598.45	
80	8602.15	
81	8602.15	
82	8602.15	
83	8598.45	
84	8598.45	
85	8602.15	
86	8602.15	
87	8602.15	
88	8602.15	
89	8602.15	
90	8602.15	
91	8598.45	
92	8598.45	
93	8602.15	
94	8598.45	
95	8598.45	
96	8602.15	
97	8602.15	
98	8602.15	
99	8602.15	
