Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	5.02441	0	0.00488281	
1	5.02441	1	0.00488281	
2	5.02441	2	0.00488281	
3	5.02441	3	0.00488281	
4	5.02441	4	0.00488281	
5	5.02441	5	0.00488281	
6	5.02441	6	0.00488281	
7	5.02441	7	0.00488281	
8	5.02441	8	0.00488281	
9	0.512695	9	4.82422	
10	0.512695	10	4.82422	
11	0.512695	11	4.82422	
12	0.512695	12	4.82422	
13	0.512695	13	4.82422	
14	0.512695	14	4.82422	
15	0.512695	15	4.82422	
16	0.512695	16	4.82422	
17	0.512695	17	4.82422	
18	0.512695	18	4.82422	
19	0.512695	19	4.82422	
20	0.512695	20	4.82422	
21	0.512695	21	4.83887	
22	5.0293	22	4.83398	
23	5.02441	23	4.83398	
24	5.02441	24	4.83398	
25	5.02441	25	4.83398	
26	5.02441	26	4.83398	
27	5.02441	27	4.83398	
28	5.02441	28	4.83398	
29	5.02441	29	4.83398	
30	5.02441	30	4.83398	
31	5.02441	31	4.83398	
32	5.02441	32	4.83398	
33	5.02441	33	4.83398	
34	0.512695	34	4.82422	
35	0.512695	35	4.82422	
36	0.512695	36	4.82422	
37	0.512695	37	4.82422	
38	0.512695	38	4.82422	
39	0.512695	39	4.82422	
40	0.512695	40	4.82422	
41	0.512695	41	4.82422	
42	0.512695	42	4.82422	
43	0.512695	43	4.81934	
44	0.512695	44	4.81934	
45	0.512695	45	4.81934	
46	0.512695	46	1.47949	
47	5.02441	47	0.00488281	
48	5.02441	48	0.00488281	
49	5.02441	49	0.00488281	
50	5.0293	50	0.00488281	
51	5.02441	51	0.00488281	
52	5.02441	52	0.00488281	
53	5.02441	53	0.00488281	
54	5.02441	54	0.00488281	
55	5.02441	55	0.00488281	
56	5.02441	56	0.00488281	
57	5.02441	57	0.00488281	
58	5.02441	58	0.00488281	
59	5.02441	59	0.00488281	
60	0.512695	60	0.00488281	
61	0.512695	61	0.00488281	
62	0.512695	62	0.00488281	
63	0.512695	63	0.00488281	
64	0.512695	64	0.00488281	
65	0.512695	65	0.00488281	
66	0.512695	66	0.00488281	
67	0.512695	67	0.00488281	
68	0.512695	68	0.00488281	
69	0.512695	69	0.00488281	
70	0.512695	70	0.00488281	
71	0.517578	71	0.00488281	
72	5.0293	72	0.00488281	
73	5.02441	73	0.00488281	
74	5.02441	74	0.00488281	
75	5.02441	75	0.00488281	
76	5.02441	76	0.00488281	
77	5.02441	77	0.00488281	
78	5.02441	78	0.00488281	
79	5.02441	79	0.00488281	
80	5.02441	80	0.00488281	
81	5.02441	81	0.00488281	
82	5.02441	82	0.00488281	
83	5.02441	83	0.00488281	
84	5.02441	84	4.82422	
85	0.512695	85	4.82422	
86	0.512695	86	4.81934	
87	0.507812	87	4.82422	
88	0.512695	88	4.81934	
89	0.512695	89	4.81934	
90	0.512695	90	4.81934	
91	0.512695	91	4.81934	
92	0.512695	92	4.81934	
93	0.512695	93	4.81934	
94	0.512695	94	4.81934	
95	0.512695	95	4.81934	
96	0.512695	96	4.81934	
97	2.94434	97	4.8291	
98	5.02441	98	4.8291	
99	5.02441	99	4.8291	
