Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	5.01953	0	0	
1	5.02441	1	0	
2	5.02441	2	0	
3	5.02441	3	0	
4	5.02441	4	0	
5	0.512695	5	4.62402	
6	0.512695	6	4.62402	
7	0.512695	7	4.62402	
8	0.512695	8	4.62402	
9	0.512695	9	4.62402	
10	0.512695	10	4.62402	
11	0.512695	11	4.62891	
12	0.512695	12	4.62402	
13	0.512695	13	4.62402	
14	0.512695	14	4.62402	
15	0.512695	15	4.62402	
16	0.512695	16	4.62402	
17	0.512695	17	4.69238	
18	5.02441	18	4.69238	
19	5.02441	19	4.69238	
20	5.02441	20	4.69238	
21	5.02441	21	4.69238	
22	5.02441	22	4.69238	
23	5.02441	23	4.69238	
24	5.02441	24	4.69238	
25	5.02441	25	4.69238	
26	5.02441	26	4.69238	
27	5.02441	27	4.69238	
28	5.02441	28	4.69238	
29	5.02441	29	4.69238	
30	4.39941	30	4.62402	
31	0.512695	31	4.62402	
32	0.512695	32	4.62402	
33	0.512695	33	4.62402	
34	0.512695	34	4.62402	
35	0.512695	35	4.62402	
36	0.512695	36	4.62402	
37	0.512695	37	4.62402	
38	0.512695	38	4.62402	
39	0.512695	39	4.62402	
40	0.512695	40	4.62402	
41	0.512695	41	4.62402	
42	0.512695	42	4.62402	
43	5.02441	43	0	
44	5.02441	44	0	
45	5.02441	45	0	
46	5.02441	46	0	
47	5.02441	47	0	
48	5.02441	48	0	
49	5.02441	49	0	
50	5.02441	50	0	
51	5.02441	51	0	
52	5.02441	52	0	
53	5.01953	53	0	
54	5.02441	54	0	
55	5.01953	55	0	
56	0.512695	56	0	
57	0.512695	57	0	
58	0.512695	58	0.00488281	
59	0.512695	59	0	
60	0.512695	60	0	
61	0.512695	61	0	
62	0.512695	62	0	
63	0.512695	63	0	
64	0.512695	64	0	
65	0.512695	65	0	
66	0.512695	66	0	
67	0.512695	67	0	
68	4.70703	68	0	
69	5.02441	69	0	
70	5.02441	70	0	
71	5.02441	71	0	
72	5.02441	72	0	
73	5.02441	73	0	
74	5.02441	74	0	
75	5.02441	75	0	
76	5.02441	76	0	
77	5.02441	77	0	
78	5.02441	78	0	
79	5.01953	79	0	
80	5.01953	80	0	
81	0.512695	81	4.62402	
82	0.512695	82	4.62402	
83	0.512695	83	4.62402	
84	0.512695	84	4.62402	
85	0.512695	85	4.62402	
86	0.512695	86	4.62402	
87	0.512695	87	4.62402	
88	0.512695	88	4.62402	
89	0.512695	89	4.62402	
90	0.512695	90	4.62402	
91	0.512695	91	4.62402	
92	0.512695	92	4.62402	
93	0.512695	93	4.69238	
94	5.02441	94	4.69238	
95	5.02441	95	4.69238	
96	5.02441	96	4.69238	
97	5.02441	97	4.6875	
98	5.02441	98	4.6875	
99	5.02441	99	4.69238	
100	5.02441	100	4.6875	
101	5.01953	101	4.6875	
102	5.01953	102	4.6875	
103	5.01953	103	4.6875	
104	5.02441	104	4.6875	
105	5.01953	105	4.6875	
106	0.512695	106	4.62402	
107	0.512695	107	4.62402	
108	0.512695	108	4.62402	
109	0.507812	109	4.62402	
110	0.512695	110	4.62402	
111	0.512695	111	4.62402	
112	0.512695	112	4.62402	
113	0.512695	113	4.62402	
114	0.512695	114	4.62402	
115	0.512695	115	4.62402	
116	0.512695	116	4.62402	
117	0.512695	117	4.62402	
118	0.512695	118	0.698242	
119	5.02441	119	0	
120	5.02441	120	0	
121	5.02441	121	0	
122	5.02441	122	0	
123	5.02441	123	0	
124	5.02441	124	0	
125	5.02441	125	0	
126	5.02441	126	0	
127	5.02441	127	0	
128	5.01953	128	0	
129	5.02441	129	0	
130	5.01953	130	0	
131	5.01953	131	0	
132	0.512695	132	0	
133	0.512695	133	0	
134	0.507812	134	0.00488281	
135	0.512695	135	0	
136	0.512695	136	0	
137	0.512695	137	0	
138	0.512695	138	0	
139	0.512695	139	0	
140	0.512695	140	0	
141	0.512695	141	0	
142	0.512695	142	0.00488281	
143	0.512695	143	0	
144	5.02441	144	0	
145	5.02441	145	0	
146	5.02441	146	0	
147	5.02441	147	0	
148	5.02441	148	0	
149	5.02441	149	0	
150	5.02441	150	0	
151	5.02441	151	0	
152	5.01953	152	0	
153	5.02441	153	0	
154	5.01953	154	0	
155	5.01953	155	0	
156	5.01953	156	4.61426	
157	0.512695	157	4.62402	
158	0.512695	158	4.62402	
159	0.512695	159	4.62402	
160	0.512695	160	4.62402	
161	0.512695	161	4.62402	
162	0.512695	162	4.62402	
163	0.512695	163	4.62402	
164	0.512695	164	4.62402	
165	0.512695	165	4.62402	
166	0.512695	166	4.62402	
167	0.512695	167	4.62402	
168	0.512695	168	4.62402	
169	3.6084	169	4.6875	
170	5.02441	170	4.6875	
171	5.02441	171	4.6875	
172	5.02441	172	4.6875	
173	5.02441	173	4.6875	
174	5.02441	174	4.6875	
175	5.02441	175	4.6875	
176	5.02441	176	4.6875	
177	5.02441	177	4.6875	
178	5.02441	178	4.6875	
179	5.02441	179	4.6875	
180	5.01953	180	4.6875	
181	5.01953	181	4.6875	
182	0.512695	182	4.62402	
183	0.512695	183	4.62402	
184	0.512695	184	4.62402	
185	0.512695	185	4.62402	
186	0.512695	186	4.62402	
187	0.512695	187	4.62402	
188	0.512695	188	4.62402	
189	0.512695	189	4.62402	
190	0.512695	190	4.62402	
191	0.512695	191	4.62402	
192	0.512695	192	4.62402	
193	0.512695	193	4.62402	
194	0.512695	194	0	
195	5.02441	195	0.00488281	
196	5.0293	196	0	
197	5.02441	197	0.00488281	
198	5.02441	198	0	
199	5.02441	199	0.00488281	
200	5.02441	200	0.00488281	
201	5.02441	201	0.00488281	
202	5.02441	202	0	
203	5.02441	203	0	
204	5.02441	204	0.00488281	
205	5.02441	205	0	
206	5.02441	206	0	
207	0.527344	207	0	
208	0.512695	208	0.00488281	
209	0.512695	209	0.00488281	
210	0.512695	210	0.00488281	
211	0.512695	211	0	
212	0.512695	212	0	
213	0.512695	213	0.00488281	
214	0.512695	214	0.00488281	
215	0.512695	215	0	
216	0.512695	216	0	
217	0.512695	217	0.00488281	
218	0.512695	218	0.00488281	
219	0.512695	219	0.0195312	
220	5.02441	220	0	
221	5.02441	221	0.00488281	
222	5.02441	222	0	
223	5.02441	223	0	
224	5.02441	224	0.00488281	
225	5.02441	225	0.00488281	
226	5.02441	226	0.00488281	
227	5.02441	227	0	
228	5.02441	228	0	
229	5.02441	229	0.00488281	
230	5.02441	230	0	
231	5.02441	231	0	
232	5.02441	232	4.61914	
233	0.512695	233	4.61914	
234	0.512695	234	4.61914	
235	0.512695	235	4.61914	
236	0.512695	236	4.61914	
237	0.512695	237	4.61914	
238	0.512695	238	4.61426	
239	0.512695	239	4.61914	
240	0.512695	240	4.61914	
241	0.512695	241	4.61914	
242	0.512695	242	4.61914	
243	0.512695	243	4.61914	
244	0.512695	244	4.61426	
245	5.02441	245	4.67773	
246	5.02441	246	4.67773	
247	5.02441	247	4.67773	
248	5.02441	248	4.67773	
249	5.02441	249	4.67773	
250	5.02441	250	4.67773	
251	5.02441	251	4.67773	
252	5.02441	252	4.67773	
253	5.02441	253	4.67773	
254	5.02441	254	4.67773	
255	5.01953	255	4.67773	
256	5.02441	256	4.67773	
257	5.02441	257	4.61426	
258	0.512695	258	4.61426	
259	0.512695	259	4.61426	
260	0.512695	260	4.61426	
261	0.512695	261	4.61426	
262	0.512695	262	4.61426	
263	0.512695	263	4.61426	
264	0.512695	264	4.61426	
265	0.512695	265	4.61426	
266	0.512695	266	4.61914	
267	0.512695	267	4.61914	
268	0.512695	268	4.61914	
269	0.512695	269	4.61914	
270	0.50293	270	0	
271	5.02441	271	0	
272	5.02441	272	0	
273	5.02441	273	0	
274	5.02441	274	0	
275	5.02441	275	0.00488281	
276	5.02441	276	0	
277	5.02441	277	0.00488281	
278	5.02441	278	0	
279	5.02441	279	0	
280	5.02441	280	0.00488281	
281	5.02441	281	0	
282	5.02441	282	0	
283	0.512695	283	0	
284	0.512695	284	0	
285	0.512695	285	0	
286	0.512695	286	0	
287	0.512695	287	0	
288	0.512695	288	0.00488281	
289	0.512695	289	0.00488281	
290	0.512695	290	0	
291	0.512695	291	0	
292	0.512695	292	0	
293	0.512695	293	0.00488281	
294	0.512695	294	0	
295	0.512695	295	0	
296	5.02441	296	0	
297	5.02441	297	0	
298	5.02441	298	0	
299	5.02441	299	0	
