numero campioni
 - Plot 0	frequenza - Plot 0	
0	25740	
1	25740	
2	25740	
3	25740	
4	25740	
5	25740	
6	25740	
7	25740	
8	25773.2	
9	25740	
10	25740	
11	25706.9	
12	25740	
13	25740	
14	25740	
15	25740	
16	25740	
17	25740	
18	25740	
19	25740	
20	25740	
21	25740	
22	25773.2	
23	25740	
24	25740	
25	25740	
26	25740	
27	25740	
28	25773.2	
29	25773.2	
30	25740	
31	25740	
32	25740	
33	25740	
34	25740	
35	25740	
36	25740	
37	25706.9	
38	25706.9	
39	25740	
40	25740	
41	25740	
42	25740	
43	25740	
44	25706.9	
45	25773.2	
46	25740	
47	25740	
48	25740	
49	25740	
50	25740	
51	25740	
52	25706.9	
53	25740	
54	25740	
55	25740	
56	25740	
57	25740	
58	25740	
59	25740	
60	25740	
61	25740	
62	25740	
63	25740	
64	25740	
65	25740	
66	25740	
67	25740	
68	25740	
69	25740	
70	25740	
71	25740	
72	25740	
73	25740	
74	25740	
75	25740	
76	25740	
77	25740	
78	25740	
79	25740	
80	25773.2	
81	25740	
82	25740	
83	25740	
84	25740	
85	25740	
86	25740	
87	25740	
88	25740	
89	25740	
90	25740	
91	25740	
92	25740	
93	25740	
94	25740	
95	25740	
96	25740	
97	25740	
98	25740	
99	25740	
100	25740	
101	25740	
102	25740	
103	25740	
104	25773.2	
105	25773.2	
106	25740	
107	25740	
108	25740	
109	25740	
110	25706.9	
111	25740	
112	25740	
113	25740	
114	25740	
115	25740	
116	25740	
117	25740	
118	25740	
119	25740	
120	25740	
121	25740	
122	25773.2	
123	25773.2	
124	25773.2	
125	25740	
126	25740	
127	25740	
128	25740	
129	25740	
130	25740	
131	25706.9	
132	25740	
133	25740	
134	25740	
135	25740	
136	25740	
137	25740	
138	25740	
139	25740	
140	25773.2	
141	25740	
142	25740	
143	25740	
144	25740	
145	25773.2	
146	25740	
147	25740	
148	25740	
149	25773.2	
150	25773.2	
151	25740	
152	25740	
153	25740	
154	25740	
155	25740	
156	25740	
157	25740	
158	25740	
159	25706.9	
160	25706.9	
161	25740	
162	25740	
163	25740	
164	25773.2	
165	25740	
166	25740	
167	25740	
168	25740	
169	25740	
170	25740	
171	25740	
172	25740	
173	25740	
174	25740	
175	25740	
176	25740	
177	25740	
178	25740	
179	25740	
180	25773.2	
181	25773.2	
182	25740	
183	25740	
184	25740	
185	25740	
186	25740	
187	25740	
188	25740	
189	25773.2	
190	25740	
191	25740	
192	25740	
193	25740	
194	25740	
195	25740	
196	25773.2	
197	25740	
198	25740	
199	25740	
200	25740	
201	25740	
202	25740	
203	25740	
204	25740	
205	25740	
206	25740	
207	25740	
208	25740	
209	25773.2	
210	25740	
211	25740	
212	25740	
213	25740	
214	25740	
215	25740	
216	25740	
217	25740	
218	25740	
219	25740	
220	25740	
221	25740	
222	25740	
223	25740	
224	25740	
225	25740	
226	25706.9	
227	25740	
228	25740	
229	25740	
230	25740	
231	25740	
232	25740	
233	25740	
234	25740	
235	25740	
236	25740	
237	25740	
238	25740	
239	25740	
240	25740	
241	25740	
242	25740	
243	25740	
244	25706.9	
245	25740	
246	25740	
247	25740	
248	25740	
249	25740	
250	25740	
251	25740	
252	25773.2	
253	25773.2	
254	25740	
255	25740	
256	25740	
257	25740	
258	25740	
259	25740	
260	25740	
261	25740	
262	25740	
263	25773.2	
264	25740	
265	25740	
266	25740	
