#led	log_e(ch1/ch2)	delta
645	-0.538917704436	0.00618757063637
637	-0.522106511191	0.00300857465504
585	0.172394240297	0.00598271349268
615	-0.10075389388	0.00292067037477
470	2.25759667861	0.0212457991192
#365	2.75174090021	0.0241410229932
450	2.87034018391	0.0156478214997
#ledbianco.txt	0.611535666365	0.00118511437952
606	-0.101209629807	0.00205631592276
560	0.65185886128	0.043191521935
633	-0.331538600773	0.00141754710773
528	0.907553255255	0.0102624385495
587	0.208502040063	0.00123625534701
880	-2.43850607814	0.00404077836346
660	-0.577848600071	0.0161526625844
#tl4405708.txt	0.414390006697	0.0367633047007
830	-1.96410211592	0.00718896957841
#vp9294.txt	2.30063691986	0.0188814343711
