#time	ch1	delta1	ch2	delta2
102	0.0016113275	0.00115135086463	-0.006958006	0.00388060063682
112	0.001440429	0.0015801384293	-0.007568355	0.00303756201918
122	0.0001464844	0.00211770159205	-0.006665033	0.00333508127807
132	0.0010742187	0.00156402678453	-0.008300788	0.00382453264563
142	0.0011474603	0.00157484775537	-0.006713874	0.00348575531778
152	0.0015869144	0.000854493828575	-0.007226566	0.00407386083267
162	0.0011230485	0.00150181270272	-0.008105459	0.00379447400378
#172	-0.0256103528	0.0228884788513	-0.037988278	0.0245409736882
182	-0.04916993	0.00201973972138	-0.06462402	0.00301600512592
192	-0.05075684	0.00186395778289	-0.06557616	0.00321894044313
202	-0.05119629	0.00135953961138	-0.06516113	0.00352520940401
212	-0.05007323	0.00162477655636	-0.06582032	0.00333178517939
222	-0.05043945	0.00107643507212	-0.06499023	0.00391051296304
232	-0.05283203	0.00150578203871	-0.06513672	0.00326054052936
242	-0.05354004	0.0013941694841	-0.06547853	0.00363728236024
252	-0.0541748	0.00183494561609	-0.06538086	0.00325321035201
262	-0.05507812	0.0011616693366	-0.06740722	0.00382210209304
272	-0.05590819	0.0015594425167	-0.06665038	0.00292358799963
282	-0.05710449	0.000805654242774	-0.0684082	0.00326236941501
292	-0.05874022	0.00139052967807	-0.0703125	0.00361295895963
302	-0.06069335	0.00171316533251	-0.07006835	0.00355642228883
312	-0.06137695	0.00186955157311	-0.06989746	0.00376967357558
322	-0.06215822	0.00145339146193	-0.07004395	0.00330709415628
332	-0.06301268	0.00243027020094	-0.07060547	0.00293942535814
342	-0.06323242	0.00143191361038	-0.0709961	0.00373591336168
352	-0.06586914	0.001243907553	-0.07077636	0.00355044600049
362	-0.06721191	0.00159740037276	-0.07282714	0.00346139454417
372	-0.06884765	0.00147294623748	-0.07290039	0.00321711100102
382	-0.07033692	0.000948376229985	-0.07309571	0.00329941505587
392	-0.07150878	0.00128003851098	-0.07441406	0.004273224747
402	-0.07121582	0.00105318469017	-0.07224121	0.0026709935771
412	-0.07370605	0.00192376168807	-0.0751953	0.00332604541851
422	-0.07375489	0.00191132285418	-0.07441405	0.00332926584677
432	-0.07661133	0.00161503239971	-0.07683106	0.00319637900419
442	-0.07832032	0.00201855497314	-0.07873533	0.00356352609421
