Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	0.000976562	0	-0.010498	
1	0.000244141	1	-0.000488281	
2	-0.000488281	2	-0.00732422	
3	-0.00219727	3	-0.012207	
4	0.000244141	4	-0.00708008	
5	0.00195312	5	-0.0144043	
6	0.000732422	6	-0.0102539	
7	-0.00244141	7	-0.00732422	
8	0.00390625	8	-0.0012207	
9	0.00317383	9	0.00268555	
10	0.00268555	10	-0.00341797	
11	0.00244141	11	-0.00830078	
12	0.00292969	12	-0.00415039	
13	0.0012207	13	-0.0153809	
14	0.00341797	14	-0.00439453	
15	0.00463867	15	-0.0102539	
16	0.00195312	16	-0.00146484	
17	-0.000244141	17	-0.0170898	
18	0.000488281	18	-0.00439453	
19	0.00244141	19	-0.00463867	
20	0.00146484	20	-0.00439453	
21	-0.00219727	21	-0.00512695	
22	0.00268555	22	-0.0124512	
23	0.00415039	23	0.000488281	
24	0.00219727	24	-0.013916	
25	0.00488281	25	-0.00463867	
26	0.00390625	26	-0.0126953	
27	0.000488281	27	-0.00415039	
28	0	28	-0.00439453	
29	-0.000732422	29	0.000244141	
30	0.000732422	30	-0.00610352	
31	0.000488281	31	-0.0112305	
32	0.00146484	32	-0.00708008	
33	0.000732422	33	-0.013916	
34	0.00219727	34	-0.0107422	
35	0.00170898	35	-0.00805664	
36	0.0012207	36	-0.00317383	
37	0.00170898	37	0.00317383	
38	0.00195312	38	-0.00195312	
39	0.000488281	39	-0.00878906	
40	-0.000488281	40	-0.00268555	
41	0.00268555	41	-0.0144043	
42	0.00244141	42	-0.00830078	
43	0.00512695	43	-0.00292969	
44	0.00268555	44	-0.00195312	
45	-0.0012207	45	-0.0012207	
46	0	46	-0.00439453	
47	-0.000732422	47	-0.00439453	
48	-0.000732422	48	-0.0114746	
49	0.00268555	49	-0.00512695	
50	0.000488281	50	-0.0124512	
51	0.000244141	51	0	
52	0	52	-0.0114746	
53	0.000488281	53	-0.00170898	
54	0.0012207	54	-0.0119629	
55	0.00268555	55	-0.00317383	
56	-0.0012207	56	-0.00708008	
57	-0.000244141	57	0.000976562	
58	0.000976562	58	-0.00512695	
59	0.000976562	59	-0.0117187	
60	-0.000244141	60	-0.00927734	
61	0.00170898	61	-0.0131836	
62	0.000244141	62	-0.00292969	
63	0.00195312	63	-0.00415039	
64	0.00292969	64	-0.00439453	
65	0.000488281	65	-0.00756836	
66	0.000732422	66	-0.000976562	
67	0.00366211	67	-0.00805664	
68	0.000976562	68	-0.0100098	
69	0.000976562	69	-0.0124512	
70	0.000976562	70	-0.0078125	
71	0.00244141	71	-0.00219727	
72	-0.00170898	72	-0.00292969	
73	0.000976562	73	-0.000244141	
74	-0.0012207	74	-0.00512695	
75	0.000976562	75	-0.00415039	
76	0.00170898	76	-0.00952148	
77	0.000244141	77	-0.00390625	
78	0.00146484	78	-0.0126953	
79	0.00268555	79	0.000244141	
80	0.0012207	80	-0.00561523	
81	0.00463867	81	-0.00415039	
82	0.000732422	82	-0.00244141	
83	0.00195312	83	-0.00610352	
84	0.0012207	84	-0.00732422	
85	0.00146484	85	-0.0168457	
86	0.000976562	86	-0.00708008	
87	0.00390625	87	-0.0126953	
88	-0.000732422	88	-0.00512695	
89	0.000732422	89	-0.0134277	
90	0.00146484	90	-0.00292969	
91	0.00146484	91	-0.00756836	
92	0.00317383	92	-0.00439453	
93	0.00244141	93	-0.00805664	
94	-0.00268555	94	-0.0012207	
95	0.0012207	95	-0.0090332	
96	-0.0012207	96	-0.0119629	
97	0.0012207	97	-0.013916	
98	-0.000244141	98	-0.00976562	
99	-0.000732422	99	-0.00341797	
100	-0.00219727	100	-0.00805664	
101	-0.000976562	101	0.000244141	
102	-0.000976562	102	-0.00805664	
103	0	103	-0.00366211	
104	0	104	-0.00854492	
105	0.000244141	105	-0.00708008	
106	0.000244141	106	-0.0131836	
107	0.000732422	107	-0.0012207	
108	0.000244141	108	-0.00537109	
109	0.000488281	109	-0.00195312	
110	0.00170898	110	-0.00195312	
111	0.00317383	111	-0.00463867	
112	-0.000732422	112	-0.00512695	
113	0.00390625	113	-0.0153809	
114	-0.000244141	114	-0.00585937	
115	0.0012207	115	-0.0114746	
116	0.00170898	116	-0.0065918	
117	-0.00244141	117	0.000488281	
118	-0.00219727	118	-0.00219727	
119	0.00317383	119	-0.00488281	
120	-0.000244141	120	-0.0112305	
121	0	121	-0.00830078	
122	0.00244141	122	-0.0141602	
123	0.000488281	123	-0.0100098	
124	0.000732422	124	-0.010498	
125	-0.00146484	125	0.000244141	
126	0.0012207	126	-0.00878906	
127	0.00146484	127	-0.00292969	
128	0.0012207	128	-0.0065918	
129	0.00219727	129	-0.000488281	
130	0.00146484	130	-0.0102539	
131	0.0012207	131	-0.00366211	
132	0.000976562	132	-0.00976562	
133	0.00219727	133	-0.00805664	
134	0.000732422	134	-0.0131836	
135	0.00292969	135	-0.000976562	
136	0.00244141	136	-0.0065918	
137	0.00317383	137	-0.010498	
138	0.000244141	138	-0.000976562	
139	0.000976562	139	-0.0112305	
140	0.00219727	140	-0.0078125	
141	0.000732422	141	-0.0144043	
142	-0.000488281	142	0	
143	0.000976562	143	-0.0117187	
144	0.000244141	144	-0.00634766	
145	0.000732422	145	-0.00219727	
146	-0.00268555	146	-0.00341797	
147	0.000976562	147	-0.00537109	
148	0.000732422	148	-0.0102539	
149	0.000976562	149	-0.00756836	
150	-0.000244141	150	-0.013916	
151	0.000732422	151	-0.00854492	
152	0.00195312	152	-0.0102539	
153	0.000244141	153	-0.000244141	
154	0.00219727	154	-0.00805664	
155	0	155	-0.00463867	
156	0.000244141	156	-0.00610352	
157	0.000732422	157	-0.0158691	
158	0.00244141	158	-0.0107422	
159	0.00317383	159	-0.0119629	
160	0.00170898	160	-0.00390625	
161	0	161	-0.00927734	
162	0.00292969	162	-0.000976562	
163	-0.00146484	163	-0.00170898	
164	-0.00195312	164	-0.00488281	
165	0.00195312	165	-0.0100098	
166	0.00244141	166	-0.00244141	
167	0.00244141	167	-0.0100098	
168	0.0012207	168	-0.0090332	
169	0.0012207	169	-0.015625	
170	-0.029541	170	-0.0332031	
171	-0.0405273	171	-0.0593262	
172	-0.0461426	172	-0.0568848	
173	-0.046875	173	-0.0546875	
174	-0.0490723	174	-0.0568848	
175	-0.0490723	175	-0.0605469	
176	-0.0500488	176	-0.0646973	
177	-0.0483398	177	-0.052002	
178	-0.046875	178	-0.0698242	
179	-0.0471191	179	-0.0598145	
180	-0.0510254	180	-0.059082	
181	-0.0473633	181	-0.0576172	
182	-0.0507812	182	-0.059082	
183	-0.0493164	183	-0.0583496	
184	-0.0458984	184	-0.0617676	
185	-0.0458984	185	-0.0705566	
186	-0.0490723	186	-0.0646973	
187	-0.0476074	187	-0.065918	
188	-0.0478516	188	-0.0588379	
189	-0.0490723	189	-0.0625	
190	-0.0476074	190	-0.0581055	
191	-0.0444336	191	-0.0554199	
192	-0.0461426	192	-0.057373	
193	-0.0454102	193	-0.0632324	
194	-0.0454102	194	-0.0554199	
195	-0.0480957	195	-0.0644531	
196	-0.048584	196	-0.060791	
