#time	ch1	ch2	lambda	delta
182.0	-0.04916993	-0.05862402	624.0	18.0
192.0	-0.05075684	-0.05957616	623.0	18.0
202.0	-0.05119629	-0.05916113	620.0	18.0
212.0	-0.05007323	-0.05982032	624.0	16.0
222.0	-0.05043945	-0.05899023	622.0	18.0
232.0	-0.05283203	-0.05913672	617.0	19.0
242.0	-0.05354004	-0.05947853	616.0	18.0
252.0	-0.0541748	-0.05938086	615.0	18.0
262.0	-0.05507812	-0.06140722	617.0	18.0
272.0	-0.05590819	-0.06065038	614.0	16.0
282.0	-0.05710449	-0.0624082	615.0	15.0
292.0	-0.05874022	-0.0643125	615.0	17.0
302.0	-0.06069335	-0.06406835	610.0	17.0
312.0	-0.06137695	-0.06389746	608.0	18.0
322.0	-0.06215822	-0.06404395	608.0	15.0
332.0	-0.06301268	-0.06460547	607.0	17.0
342.0	-0.06323242	-0.0649961	607.0	16.0
352.0	-0.06586914	-0.06477636	604.0	13.0
362.0	-0.06721191	-0.06682714	605.0	14.0
372.0	-0.06884765	-0.06690039	603.0	13.0
382.0	-0.07033692	-0.06709571	601.0	11.0
392.0	-0.07150878	-0.06841406	601.0	15.0
402.0	-0.07121582	-0.06624121	599.0	11.0
412.0	-0.07370605	-0.0691953	600.0	14.0
422.0	-0.07375489	-0.06841405	599.0	14.0
432.0	-0.07661133	-0.07083106	598.0	12.0
442.0	-0.07832032	-0.07273533	599.0	13.0
452.0	-0.0782959	-0.07058691	596.0	13.0
462.0	-0.0791504	-0.07271092	598.0	13.0
472.0	-0.08054199	-0.07229588	595.0	12.0
482.0	-0.08186036	-0.07322365	595.0	13.0
492.0	-0.08376465	-0.0738584	593.0	13.0
502.0	-0.0852295	-0.07319923	591.0	12.0
512.0	-0.08637694	-0.07505469	592.0	11.0
522.0	-0.08886718	-0.0745664	589.0	12.0
532.0	-0.09001464	-0.07647071	590.0	10.0
542.0	-0.09145508	-0.07681251	589.0	12.0
552.0	-0.09370116	-0.07793555	588.0	10.0
562.0	-0.0954834	-0.07844824	587.0	10.0
572.0	-0.09667968	-0.08152441	589.0	10.0
582.0	-0.09899902	-0.08093847	586.0	12.0
592.0	-0.1012452	-0.08135351	585.0	9.0
602.0	-0.1032225	-0.082916	585.0	9.0
612.0	-0.1049316	-0.08179296	582.0	11.0
622.0	-0.1070801	-0.08311133	581.0	9.0
632.0	-0.110498	-0.08582129	581.0	11.0
642.0	-0.1133056	-0.08694434	580.0	9.0
652.0	-0.1159668	-0.08772558	579.0	10.0
662.0	-0.11687	-0.0882871	579.0	8.0
672.0	-0.1216064	-0.09136328	578.0	8.0
682.0	-0.1225342	-0.09043558	577.0	9.0
692.0	-0.1226073	-0.09099707	577.0	8.0
702.0	-0.1191406	-0.08845802	577.0	9.0
712.0	-0.1172363	-0.08425878	574.0	8.0
722.0	-0.1145752	-0.08286719	575.0	11.0
732.0	-0.1120118	-0.08045019	574.0	10.0
742.0	-0.1107177	-0.07737402	572.0	10.0
752.0	-0.1069092	-0.07520119	572.0	14.0
762.0	-0.106787	-0.07285744	569.0	11.0
772.0	-0.1045165	-0.07112402	569.0	11.0
782.0	-0.1026366	-0.06956153	569.0	12.0
792.0	-0.10187982	-0.06714453	566.0	13.0
802.0	-0.09848636	-0.06614357	568.0	15.0
812.0	-0.09785155	-0.06314063	565.0	13.0
822.0	-0.09592284	-0.06277442	566.0	14.0
832.0	-0.09499513	-0.06248145	566.0	13.0
842.0	-0.09433593	-0.05940528	563.0	12.0
852.0	-0.09421386	-0.06052832	564.0	15.0
862.0	-0.09187012	-0.05774511	562.0	11.0
872.0	-0.09233398	-0.05662207	560.0	15.0
882.0	-0.09077149	-0.05652441	562.0	12.0
892.0	-0.08952635	-0.05400976	559.0	12.0
902.0	-0.08798827	-0.05361914	560.0	16.0
912.0	-0.08781739	-0.05239845	558.0	14.0
922.0	-0.08623047	-0.05203222	559.0	17.0
932.0	-0.08623048	-0.0513242	558.0	14.0
942.0	-0.08591308	-0.049542	555.0	15.0
952.0	-0.08459472	-0.04990818	557.0	17.0
962.0	-0.08269043	-0.04727148	554.0	17.0
972.0	-0.08227539	-0.04663671	554.0	16.0
982.0	-0.08098144	-0.04668553	555.0	15.0
992.0	-0.08098145	-0.04497657	552.0	18.0
1002.0	-0.07888183	-0.04492772	554.0	19.0
1012.0	-0.07844239	-0.04243751	550.0	15.0
1022.0	-0.07819824	-0.04243749	550.0	15.0
1032.0	-0.07756348	-0.03977636	546.0	17.0
1042.0	-0.07678221	-0.04016699	547.0	16.0
1052.0	-0.07570801	-0.03899512	546.0	18.0
1062.0	-0.07543946	-0.03645605	542.0	16.0
1072.0	-0.07416993	-0.03750586	545.0	21.0
1082.0	-0.07326659	-0.03694433	545.0	19.0
1092.0	-0.07131346	-0.0351377	543.0	21.0
1102.0	-0.0720459	-0.03679785	546.0	18.0
1112.0	-0.0717041	-0.03540625	543.0	17.0
1122.0	-0.07236327	-0.03416115	540.0	19.0
1132.0	-0.07106935	-0.03452735	542.0	15.0
1142.0	-0.0701416	-0.03411233	542.0	18.0
1152.0	-0.07028809	-0.03342872	541.0	20.0
1162.0	-0.06921388	-0.03298925	541.0	19.0
1172.0	-0.06987305	-0.03311133	541.0	20.0
1182.0	-0.06999512	-0.03284277	540.0	20.0
1192.0	-0.07004394	-0.03294042	540.0	20.0
1202.0	-0.07121583	-0.03420996	541.0	20.0
1212.0	-0.07138672	-0.03250096	538.0	15.0
1222.0	-0.07075196	-0.03294043	539.0	19.0
1232.0	-0.07109374	-0.03340429	540.0	18.0
1242.0	-0.07121581	-0.03316015	539.0	19.0
1252.0	-0.07141113	-0.03430762	541.0	22.0
1262.0	-0.07265624	-0.03301366	537.0	16.0
1272.0	-0.07272948	-0.03521094	542.0	15.0
1282.0	-0.072583	-0.03364843	539.0	18.0
1292.0	-0.07277832	-0.03350195	538.0	17.0
1302.0	-0.07426756	-0.0351377	540.0	14.0
1312.0	-0.07451171	-0.03235448	534.0	17.0
1322.0	-0.07568359	-0.03469825	538.0	16.0
1332.0	-0.07526856	-0.03342871	536.0	16.0
1342.0	-0.07785644	-0.03384373	534.0	16.0
1352.0	-0.0782959	-0.03435645	535.0	17.0
1362.0	-0.07963866	-0.0341123	533.0	14.0
1372.0	-0.07968749	-0.03533299	536.0	16.0
1382.0	-0.08127441	-0.03550391	535.0	17.0
1392.0	-0.08156737	-0.03596777	535.0	14.0
1402.0	-0.082959	-0.03535741	533.0	15.0
1412.0	-0.0845215	-0.03408789	530.0	18.0
1422.0	-0.08479005	-0.0351377	531.0	14.0
1432.0	-0.08503417	-0.03506446	531.0	15.0
1442.0	-0.08562013	-0.0349424	530.0	12.0
1452.0	-0.08686522	-0.03574805	531.0	15.0
1462.0	-0.08666993	-0.03528417	530.0	13.0
1472.0	-0.08867188	-0.0349668	528.0	15.0
1482.0	-0.08930662	-0.03543067	529.0	14.0
1492.0	-0.09008787	-0.03518651	528.0	12.0
1502.0	-0.08940428	-0.03577247	529.0	15.0
1512.0	-0.09199218	-0.0361875	528.0	13.0
1522.0	-0.09245606	-0.03701758	529.0	12.0
1532.0	-0.09282228	-0.03589454	527.0	15.0
1542.0	-0.09470213	-0.03679785	528.0	13.0
1552.0	-0.0942871	-0.03626075	527.0	14.0
1562.0	-0.09675292	-0.03591893	525.0	14.0
1572.0	-0.0979004	-0.03726171	526.0	13.0
1582.0	-0.09809574	-0.03599219	524.0	12.0
1592.0	-0.09853507	-0.03638281	524.0	15.0
1602.0	-0.09948733	-0.03599217	523.0	13.0
1612.0	-0.10046384	-0.037042	524.0	12.0
1622.0	-0.10241702	-0.03591895	521.0	12.0
1632.0	-0.1047364	-0.03704199	522.0	11.0
