#time	ch1	ch2	lambda	delta
102.0	0.0016113275	-0.006958006	763.0	35.0
112.0	0.001440429	-0.007568355	783.0	147.0
122.0	0.0001464844	-0.006665033	950.0	61.0
132.0	0.0010742187	-0.008300788	823.0	192.0
142.0	0.0011474603	-0.006713874	793.0	177.0
152.0	0.0015869144	-0.007226566	767.0	4.0
162.0	0.0011230485	-0.008105459	815.0	172.0
182.0	-0.04916993	-0.06462402	632.0	17.0
192.0	-0.05075684	-0.06557616	630.0	17.0
202.0	-0.05119629	-0.06516113	629.0	15.0
212.0	-0.05007323	-0.06582032	632.0	16.0
222.0	-0.05043945	-0.06499023	630.0	16.0
232.0	-0.05283203	-0.06513672	627.0	15.0
242.0	-0.05354004	-0.06547853	626.0	16.0
252.0	-0.0541748	-0.06538086	625.0	16.0
262.0	-0.05507812	-0.06740722	626.0	15.0
272.0	-0.05590819	-0.06665038	624.0	14.0
282.0	-0.05710449	-0.0684082	624.0	11.0
292.0	-0.05874022	-0.0703125	624.0	14.0
302.0	-0.06069335	-0.07006835	620.0	17.0
312.0	-0.06137695	-0.06989746	619.0	18.0
322.0	-0.06215822	-0.07004395	618.0	16.0
332.0	-0.06301268	-0.07060547	617.0	17.0
342.0	-0.06323242	-0.0709961	617.0	17.0
352.0	-0.06586914	-0.07077636	613.0	15.0
362.0	-0.06721191	-0.07282714	614.0	15.0
372.0	-0.06884765	-0.07290039	610.0	14.0
382.0	-0.07033692	-0.07309571	608.0	12.0
392.0	-0.07150878	-0.07441406	608.0	15.0
402.0	-0.07121582	-0.07224121	606.0	9.0
412.0	-0.07370605	-0.0751953	607.0	14.0
422.0	-0.07375489	-0.07441405	606.0	14.0
432.0	-0.07661133	-0.07683106	605.0	11.0
442.0	-0.07832032	-0.07873533	606.0	14.0
452.0	-0.0782959	-0.07658691	603.0	12.0
462.0	-0.0791504	-0.07871092	605.0	12.0
472.0	-0.08054199	-0.07829588	603.0	11.0
482.0	-0.08186036	-0.07922365	602.0	10.0
492.0	-0.08376465	-0.0798584	601.0	11.0
502.0	-0.0852295	-0.07919923	599.0	11.0
512.0	-0.08637694	-0.08105469	600.0	10.0
522.0	-0.08886718	-0.0805664	596.0	11.0
532.0	-0.09001464	-0.08247071	597.0	10.0
542.0	-0.09145508	-0.08281251	596.0	12.0
552.0	-0.09370116	-0.08393555	595.0	10.0
562.0	-0.0954834	-0.08444824	594.0	10.0
572.0	-0.09667968	-0.08752441	596.0	9.0
582.0	-0.09899902	-0.08693847	593.0	11.0
592.0	-0.1012452	-0.08735351	592.0	9.0
602.0	-0.1032225	-0.088916	592.0	9.0
612.0	-0.1049316	-0.08779296	588.0	11.0
622.0	-0.1070801	-0.08911133	588.0	9.0
632.0	-0.110498	-0.09182129	588.0	11.0
642.0	-0.1133056	-0.09294434	586.0	10.0
652.0	-0.1159668	-0.09372558	585.0	10.0
662.0	-0.11687	-0.0942871	585.0	8.0
672.0	-0.1216064	-0.09736328	584.0	8.0
682.0	-0.1225342	-0.09643558	582.0	9.0
692.0	-0.1226073	-0.09699707	583.0	8.0
702.0	-0.1191406	-0.09445802	583.0	9.0
712.0	-0.1172363	-0.09025878	580.0	8.0
