#time	ch1	ch2	lambda	delta
102.0	0.0006113275	4.1994e-05	500.0	0.0
112.0	0.000440429	-0.000568355	630.0	198.0
122.0	-0.0008535156	0.000334967	528.0	111.0
132.0	7.42187e-05	-0.001300788	895.0	146.0
142.0	0.0001474603	0.000286126	672.0	209.0
152.0	0.0005869144	-0.000226566	527.0	109.0
162.0	0.0001230485	-0.001105459	837.0	188.0
182.0	-0.05016993	-0.05762402	619.0	19.0
192.0	-0.05175684	-0.05857616	618.0	19.0
202.0	-0.05219629	-0.05816113	617.0	19.0
212.0	-0.05107323	-0.05882032	620.0	19.0
222.0	-0.05143945	-0.05799023	618.0	19.0
232.0	-0.05383203	-0.05813672	614.0	18.0
242.0	-0.05454004	-0.05847853	612.0	18.0
252.0	-0.0551748	-0.05838086	610.0	18.0
262.0	-0.05607812	-0.06040722	613.0	18.0
272.0	-0.05690819	-0.05965038	609.0	15.0
282.0	-0.05810449	-0.0614082	610.0	14.0
292.0	-0.05974022	-0.0633125	610.0	16.0
302.0	-0.06169335	-0.06306835	607.0	17.0
312.0	-0.06237695	-0.06289746	606.0	17.0
322.0	-0.06315822	-0.06304395	605.0	15.0
332.0	-0.06401268	-0.06360547	605.0	17.0
342.0	-0.06423242	-0.0639961	605.0	16.0
352.0	-0.06686914	-0.06377636	601.0	13.0
362.0	-0.06821191	-0.06582714	602.0	13.0
372.0	-0.06984765	-0.06590039	600.0	13.0
382.0	-0.07133692	-0.06609571	599.0	12.0
392.0	-0.07250878	-0.06741406	599.0	15.0
402.0	-0.07221582	-0.06524121	596.0	10.0
412.0	-0.07470605	-0.0681953	597.0	14.0
422.0	-0.07475489	-0.06741405	596.0	15.0
432.0	-0.07761133	-0.06983106	595.0	13.0
442.0	-0.07932032	-0.07173533	596.0	14.0
452.0	-0.0792959	-0.06958691	593.0	14.0
462.0	-0.0801504	-0.07171092	595.0	14.0
472.0	-0.08154199	-0.07129588	593.0	12.0
482.0	-0.08286036	-0.07222365	592.0	13.0
492.0	-0.08476465	-0.0728584	591.0	13.0
502.0	-0.0862295	-0.07219923	588.0	11.0
512.0	-0.08737694	-0.07405469	590.0	11.0
522.0	-0.08986718	-0.0735664	586.0	12.0
532.0	-0.09101464	-0.07547071	588.0	10.0
542.0	-0.09245508	-0.07581251	586.0	13.0
552.0	-0.09470116	-0.07693555	585.0	10.0
562.0	-0.0964834	-0.07744824	584.0	9.0
572.0	-0.09767968	-0.08052441	587.0	10.0
582.0	-0.09999902	-0.07993847	584.0	12.0
592.0	-0.1022452	-0.08035351	582.0	9.0
602.0	-0.1042225	-0.081916	582.0	9.0
612.0	-0.1059316	-0.08079296	579.0	10.0
622.0	-0.1080801	-0.08211133	579.0	9.0
632.0	-0.111498	-0.08482129	579.0	11.0
642.0	-0.1143056	-0.08594434	578.0	9.0
652.0	-0.1169668	-0.08672558	577.0	10.0
662.0	-0.11787	-0.0872871	577.0	8.0
672.0	-0.1226064	-0.09036328	576.0	7.0
682.0	-0.1235342	-0.08943558	575.0	9.0
692.0	-0.1236073	-0.08999707	576.0	7.0
702.0	-0.1201406	-0.08745802	576.0	9.0
712.0	-0.1182363	-0.08325878	573.0	8.0
722.0	-0.1155752	-0.08186719	573.0	10.0
732.0	-0.1130118	-0.07945019	572.0	11.0
742.0	-0.1117177	-0.07637402	570.0	10.0
752.0	-0.1079092	-0.07420119	570.0	14.0
762.0	-0.107787	-0.07185744	568.0	11.0
772.0	-0.1055165	-0.07012402	567.0	11.0
782.0	-0.1036366	-0.06856153	567.0	12.0
792.0	-0.10287982	-0.06614453	564.0	13.0
802.0	-0.09948636	-0.06514357	566.0	14.0
812.0	-0.09885155	-0.06214063	562.0	13.0
822.0	-0.09692284	-0.06177442	564.0	13.0
832.0	-0.09599513	-0.06148145	564.0	12.0
842.0	-0.09533593	-0.05840528	560.0	11.0
852.0	-0.09521386	-0.05952832	562.0	14.0
862.0	-0.09287012	-0.05674511	560.0	10.0
872.0	-0.09333398	-0.05562207	558.0	16.0
882.0	-0.09177149	-0.05552441	559.0	12.0
