Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	-7.02637	0	-0.961914	
1	-7.02637	1	-0.961914	
2	-7.03613	2	-0.961914	
3	-7.03125	3	-0.961914	
4	-7.02637	4	-0.961914	
5	-7.02148	5	-0.961914	
6	-7.03125	6	-0.961914	
7	-7.03125	7	-0.961914	
8	-7.02637	8	-0.961914	
9	-7.03125	9	-0.961914	
10	-7.02148	10	-0.961914	
11	-7.02637	11	-0.961914	
12	-7.03125	12	-0.961914	
13	-7.03125	13	-0.961914	
14	-7.02637	14	-0.961914	
15	-7.03125	15	-0.961914	
16	-7.02637	16	-0.961914	
17	-7.02637	17	-0.961914	
18	-7.03125	18	-0.961914	
19	-7.02637	19	-0.961914	
20	-7.03125	20	-0.961914	
21	-7.03125	21	-0.961914	
22	-7.02637	22	-0.961914	
23	-7.03125	23	-0.961914	
24	-7.03613	24	-0.961914	
25	-7.03125	25	-0.961914	
26	-7.02637	26	-0.961914	
27	-7.02637	27	-0.961914	
28	-7.03613	28	-0.961914	
29	-7.03125	29	-0.961914	
30	-7.03125	30	-0.961914	
31	-7.03125	31	-0.961914	
32	-7.03613	32	-0.961914	
33	-7.03125	33	-0.961914	
34	-7.03125	34	-0.961914	
35	-7.03613	35	-0.961914	
36	-7.03125	36	-0.961914	
37	-7.03125	37	-0.961914	
38	-7.02637	38	-0.961914	
39	-7.03125	39	-0.961914	
40	-7.02637	40	-0.961914	
41	-7.04102	41	-0.961914	
42	-7.03125	42	-0.961914	
43	-7.03613	43	-0.961914	
44	-7.03125	44	-0.961914	
45	-7.03125	45	-0.961914	
46	-7.03125	46	-0.961914	
47	-7.03125	47	-0.961914	
48	-7.03613	48	-0.961914	
49	-7.04102	49	-0.961914	
50	-7.04102	50	-0.961914	
51	-7.03613	51	-0.961914	
52	-7.03125	52	-0.961914	
53	-7.03613	53	-0.961914	
54	-7.03125	54	-0.961914	
55	-7.04102	55	-0.961914	
56	-7.03125	56	-0.961914	
57	-7.03613	57	-0.957031	
58	-7.04102	58	-0.961914	
59	-7.03125	59	-0.961914	
60	-7.03125	60	-0.961914	
61	-7.04102	61	-0.961914	
62	-7.04102	62	-0.961914	
63	-7.04102	63	-0.961914	
64	-7.03613	64	-0.961914	
65	-7.04102	65	-0.961914	
66	-7.04102	66	-0.961914	
67	-7.03613	67	-0.961914	
68	-7.03613	68	-0.961914	
69	-7.0459	69	-0.961914	
70	-7.03613	70	-0.957031	
71	-7.0459	71	-0.961914	
72	-7.0459	72	-0.961914	
73	-7.04102	73	-0.961914	
74	-7.03613	74	-0.961914	
75	-7.03613	75	-0.961914	
76	-7.04102	76	-0.961914	
77	-7.04102	77	-0.961914	
78	-7.03613	78	-0.957031	
79	-7.03613	79	-0.961914	
80	-7.04102	80	-0.961914	
81	-7.03613	81	-0.957031	
82	-7.04102	82	-0.961914	
83	-7.04102	83	-0.961914	
84	-7.03613	84	-0.961914	
85	-7.03613	85	-0.961914	
86	-7.03613	86	-0.957031	
87	-7.03613	87	-0.961914	
88	-7.03125	88	-0.961914	
89	-7.0459	89	-0.957031	
90	-7.03613	90	-0.961914	
91	-7.04102	91	-0.961914	
92	-7.03613	92	-0.961914	
93	-7.0459	93	-0.961914	
94	-7.04102	94	-0.961914	
95	-7.04102	95	-0.957031	
96	-7.04102	96	-0.961914	
97	-7.04102	97	-0.961914	
98	-7.04102	98	-0.961914	
99	-7.04102	99	-0.961914	
