Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	-6.94336	0	-1.07422	
1	-6.93359	1	-1.07422	
2	-6.94336	2	-1.07422	
3	-6.93359	3	-1.06934	
4	-6.94824	4	-1.07422	
5	-6.93848	5	-1.06934	
6	-6.94336	6	-1.07422	
7	-6.93359	7	-1.06934	
8	-6.94824	8	-1.06934	
9	-6.93359	9	-1.06934	
10	-6.94824	10	-1.07422	
11	-6.93848	11	-1.06934	
12	-6.93848	12	-1.07422	
13	-6.93848	13	-1.06934	
14	-6.94824	14	-1.07422	
15	-6.93848	15	-1.06934	
16	-6.94824	16	-1.07422	
17	-6.93848	17	-1.06934	
18	-6.94824	18	-1.07422	
19	-6.93359	19	-1.06934	
20	-6.94824	20	-1.07422	
21	-6.94336	21	-1.06934	
22	-6.95313	22	-1.07422	
23	-6.93848	23	-1.07422	
24	-6.94824	24	-1.06934	
25	-6.93848	25	-1.06934	
26	-6.95313	26	-1.06934	
27	-6.94336	27	-1.07422	
28	-6.95313	28	-1.07422	
29	-6.94336	29	-1.07422	
30	-6.94824	30	-1.07422	
31	-6.94824	31	-1.07422	
32	-6.95313	32	-1.07422	
33	-6.95313	33	-1.07422	
34	-6.94824	34	-1.06934	
35	-6.95313	35	-1.07422	
36	-6.94824	36	-1.07422	
37	-6.96289	37	-1.07422	
38	-6.94336	38	-1.06934	
39	-6.95313	39	-1.07422	
40	-6.94336	40	-1.07422	
41	-6.95313	41	-1.07422	
42	-6.94824	42	-1.07422	
43	-6.95313	43	-1.07422	
44	-6.96289	44	-1.07422	
45	-6.94336	45	-1.07422	
46	-6.96289	46	-1.07422	
47	-6.94336	47	-1.07422	
48	-6.95801	48	-1.07422	
49	-6.95313	49	-1.07422	
50	-6.95313	50	-1.07422	
51	-6.96777	51	-1.07422	
52	-6.94824	52	-1.07422	
53	-6.96289	53	-1.07422	
54	-6.95313	54	-1.07422	
55	-6.95801	55	-1.07422	
56	-6.95801	56	-1.07422	
57	-6.95313	57	-1.07422	
58	-6.96777	58	-1.07422	
59	-6.95801	59	-1.07422	
60	-6.95313	60	-1.07422	
61	-6.96289	61	-1.07422	
62	-6.94824	62	-1.07422	
63	-6.96777	63	-1.07422	
64	-6.95801	64	-1.07422	
65	-6.95313	65	-1.07422	
66	-6.96777	66	-1.07422	
67	-6.95313	67	-1.07422	
68	-6.95801	68	-1.07422	
69	-6.97266	69	-1.07422	
70	-6.95313	70	-1.07422	
71	-6.96289	71	-1.07422	
72	-6.96777	72	-1.07422	
73	-6.95313	73	-1.07422	
74	-6.97266	74	-1.07422	
75	-6.95801	75	-1.07422	
76	-6.95801	76	-1.07422	
77	-6.97266	77	-1.07422	
78	-6.96289	78	-1.07422	
79	-6.95313	79	-1.07422	
80	-6.97754	80	-1.07422	
81	-6.95801	81	-1.07422	
82	-6.95801	82	-1.07422	
83	-6.97754	83	-1.07422	
84	-6.96289	84	-1.07422	
85	-6.96289	85	-1.07422	
86	-6.97266	86	-1.07422	
87	-6.96777	87	-1.0791	
88	-6.95801	88	-1.07422	
89	-6.97266	89	-1.07422	
90	-6.97266	90	-1.07422	
91	-6.95801	91	-1.07422	
92	-6.97266	92	-1.07422	
93	-6.97266	93	-1.0791	
94	-6.96289	94	-1.07422	
95	-6.96777	95	-1.07422	
96	-6.97754	96	-1.0791	
97	-6.96289	97	-1.0791	
98	-6.96289	98	-1.07422	
99	-6.98242	99	-1.0791	
