j1	k1	q1	j2	k2	q2	j3	k3	q3
1	1	1	1	0	0	0	0	1
1	1	1	1	0	0	0	0	1
1	1	0	0	0	0	0	1	0
1	1	0	0	0	0	0	1	0
1	1	1	1	1	1	0	1	1
1	1	1	1	1	1	0	1	1
1	1	0	0	0	0	1	0	0
1	1	0	0	0	0	1	0	0
1	1	1	1	0	0	1	0	1
1	1	1	1	0	0	1	0	1
1	1	0	0	0	0	1	1	0
1	1	0	0	0	0	1	1	0
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0
1	1	1	1	0	0	0	0	1
1	1	1	1	0	0	0	0	1
1	1	0	0	0	0	0	1	0
1	1	0	0	0	0	0	1	0
1	1	1	1	1	1	0	1	1
1	1	1	1	1	1	0	1	1
1	1	0	0	0	0	1	0	0
1	1	0	0	0	0	1	0	0
1	1	1	1	0	0	1	0	1
1	1	1	1	0	0	1	0	1
1	1	0	0	0	0	1	1	0
1	1	0	0	0	0	1	1	0
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0
1	1	1	1	0	0	0	0	1
1	1	1	1	0	0	0	0	1
1	1	0	0	0	0	0	1	0
1	1	0	0	0	0	0	1	0
1	1	1	1	1	1	0	1	1
1	1	1	1	1	1	0	1	1
