a10	a11	a20	a21	a30	a31	a40	a41	a42	a32	a22	a12
1	1	1	1	0	0	0	0	0	0	0	1
1	1	1	1	0	0	0	0	0	0	0	1
1	1	0	0	0	0	0	0	0	0	1	0
1	1	0	0	0	0	0	0	0	0	1	0
1	1	1	1	1	1	0	0	0	0	1	1
1	1	1	1	1	1	0	0	0	0	1	1
1	1	0	0	0	0	0	0	0	1	0	0
1	1	0	0	0	0	0	0	0	1	0	0
1	1	1	1	0	0	0	0	0	1	0	1
1	1	1	1	0	0	0	0	0	1	0	1
1	1	0	0	0	0	0	0	0	1	1	0
1	1	0	0	0	0	0	0	0	1	1	0
1	1	1	1	1	1	1	1	0	1	1	1
1	1	1	1	1	1	1	1	0	1	1	1
1	1	0	0	0	0	0	0	1	0	0	0
1	1	0	0	0	0	0	0	1	0	0	0
1	1	1	1	0	0	0	0	1	0	0	1
1	1	1	1	0	0	0	0	1	0	0	1
1	1	0	0	0	0	0	0	1	0	1	0
1	1	0	0	0	0	0	0	1	0	1	0
1	1	1	1	1	1	0	0	1	0	1	1
1	1	1	1	1	1	0	0	1	0	1	1
1	1	0	0	0	0	0	0	1	1	0	0
1	1	0	0	0	0	0	0	1	1	0	0
1	1	1	1	0	0	0	0	1	1	0	1
1	1	1	1	0	0	0	0	1	1	0	1
1	1	0	0	0	0	0	0	1	1	1	0
1	1	0	0	0	0	0	0	1	1	1	0
1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1
1	1	0	0	0	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0	0	0	0
1	1	1	1	0	0	0	0	0	0	0	1
1	1	1	1	0	0	0	0	0	0	0	1
1	1	0	0	0	0	0	0	0	0	1	0
1	1	0	0	0	0	0	0	0	0	1	0
1	1	1	1	1	1	0	0	0	0	1	1
1	1	1	1	1	1	0	0	0	0	1	1
