Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	4.85107	0	0	
1	4.85107	1	-0.0219727	
2	0.00244141	2	-0.00244141	
3	-0.00244141	3	-0.00244141	
4	-0.00488281	4	-0.00244141	
5	-0.00732422	5	-0.00244141	
6	-0.00976562	6	-0.00244141	
7	-0.00976562	7	-0.00244141	
8	-0.00976562	8	-0.00244141	
9	-0.00976562	9	-0.00244141	
10	-0.00976562	10	-0.00244141	
11	-0.00976562	11	-0.00244141	
12	-0.00976562	12	-0.00244141	
13	-0.00976562	13	-0.00244141	
14	-0.012207	14	-0.00244141	
15	-0.00976562	15	-0.00244141	
16	-0.00976562	16	-0.00244141	
17	-0.00488281	17	-0.00244141	
18	-0.00976562	18	-0.00244141	
19	-0.00976562	19	-0.00244141	
20	-0.00976562	20	-0.00244141	
21	-0.00976562	21	-0.00244141	
22	-0.00732422	22	-0.00244141	
23	-0.00976562	23	-0.00244141	
24	-0.012207	24	-0.00244141	
25	-0.00976562	25	-0.00244141	
26	-0.00732422	26	-0.00244141	
27	4.84131	27	4.99756	
28	4.84619	28	4.99756	
29	4.85352	29	4.99756	
30	4.85352	30	4.99756	
31	4.85352	31	4.99756	
32	4.85352	32	4.99756	
33	4.85352	33	4.99756	
34	4.85352	34	4.99756	
35	4.85352	35	4.99756	
36	4.85352	36	4.99756	
37	4.85352	37	4.99756	
38	4.85352	38	4.99756	
39	4.85352	39	4.99756	
40	4.85352	40	4.99756	
41	4.85352	41	4.99756	
42	4.85352	42	4.99756	
43	4.85107	43	4.99756	
44	4.85107	44	4.99756	
45	4.85352	45	4.99756	
46	4.85352	46	4.99756	
47	4.85352	47	4.99756	
48	4.85352	48	4.99756	
49	4.85107	49	4.99756	
50	4.85107	50	4.99756	
51	4.85352	51	4.99756	
52	0.00488281	52	4.99756	
53	-0.00244141	53	4.99756	
54	-0.00488281	54	4.99756	
55	-0.00732422	55	4.99756	
56	-0.00732422	56	4.99756	
57	-0.00976562	57	4.99756	
58	-0.00732422	58	4.99756	
59	-0.00732422	59	4.99756	
60	-0.00976562	60	4.99756	
61	-0.00976562	61	4.99756	
62	-0.00732422	62	4.99756	
63	-0.00976562	63	4.99756	
64	-0.00976562	64	4.99756	
65	-0.00732422	65	4.99756	
66	-0.00732422	66	4.99756	
67	-0.00732422	67	4.99756	
68	-0.00732422	68	4.99756	
69	-0.00732422	69	4.99756	
70	-0.00732422	70	4.99756	
71	-0.00976562	71	4.99756	
72	-0.00732422	72	4.99756	
73	-0.00732422	73	4.99756	
74	-0.00488281	74	4.99756	
75	-0.00976562	75	4.99756	
76	-0.00732422	76	4.99756	
77	4.82178	77	-0.00244141	
78	4.84619	78	0	
79	4.84863	79	0	
80	4.85107	80	0	
81	4.85107	81	0	
82	4.85352	82	0	
83	4.85352	83	0	
84	4.85107	84	0	
85	4.85107	85	0	
86	4.85352	86	0	
87	4.85352	87	0	
88	4.85352	88	0	
89	4.85107	89	-0.00244141	
90	4.85107	90	0	
91	4.85107	91	0	
92	4.85352	92	0	
93	4.85107	93	0	
94	4.85107	94	0	
95	4.85352	95	-0.00244141	
96	4.85352	96	-0.00244141	
97	4.85107	97	0	
98	4.85107	98	0	
99	4.85107	99	0	
100	4.85352	100	0	
101	4.85107	101	0	
102	0.0244141	102	-0.00244141	
103	-0.00488281	103	-0.00244141	
104	-0.00732422	104	-0.00244141	
105	-0.00732422	105	-0.00244141	
106	-0.00976562	106	-0.00244141	
107	-0.012207	107	-0.00244141	
108	-0.00732422	108	-0.00244141	
109	-0.012207	109	-0.00244141	
