Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	4.99756	0	0.0170898	
1	4.99756	1	0.0170898	
2	4.99756	2	0.0170898	
3	4.99756	3	0.0170898	
4	4.99756	4	0.0170898	
5	4.99756	5	0.0170898	
6	4.99756	6	0.0170898	
7	4.99756	7	0.0170898	
8	4.99756	8	0.0170898	
9	4.99756	9	0.0195312	
10	4.99756	10	0.0170898	
11	4.99756	11	0.0170898	
12	4.99756	12	0.0170898	
13	4.99756	13	0.0170898	
14	4.99756	14	0.0170898	
15	4.99756	15	0.0170898	
16	0.012207	16	0.0170898	
17	0.012207	17	0.0170898	
18	0.012207	18	0.0170898	
19	0.012207	19	0.0170898	
20	0.012207	20	0.0170898	
21	0.012207	21	0.0170898	
22	0.012207	22	0.0170898	
23	0.012207	23	0.0170898	
24	0.012207	24	4.99756	
25	0.00976562	25	4.99756	
26	0.012207	26	4.99756	
27	0.00976562	27	4.99756	
28	0.00976562	28	4.99756	
29	0.00976562	29	4.99756	
30	0.012207	30	4.99756	
31	0.00976562	31	4.99756	
32	0.012207	32	4.99756	
33	0.012207	33	4.99756	
34	0.012207	34	4.99756	
35	0.012207	35	4.99756	
36	0.012207	36	4.99756	
37	0.012207	37	4.99756	
38	0.012207	38	4.99756	
39	0.012207	39	4.99756	
40	0.012207	40	4.99756	
41	0.012207	41	4.99756	
42	0.012207	42	4.99756	
43	0.012207	43	4.99756	
44	0.00976562	44	4.99756	
45	0.012207	45	4.99756	
46	0.00976562	46	4.99756	
47	0.012207	47	4.99756	
48	0.012207	48	4.99756	
49	4.99756	49	0.0170898	
50	4.99756	50	0.0170898	
51	4.99756	51	0.0170898	
52	4.99756	52	0.0170898	
53	4.99756	53	0.0170898	
54	4.99756	54	0.0170898	
55	4.99756	55	0.0170898	
56	4.99756	56	0.0170898	
57	4.99756	57	0.0170898	
58	4.99756	58	0.0170898	
59	4.99756	59	0.0170898	
60	4.99756	60	0.0170898	
61	4.99756	61	0.0170898	
62	4.99756	62	0.0170898	
63	4.99756	63	0.0170898	
64	4.99756	64	0.0170898	
65	4.99756	65	0.0170898	
66	0.012207	66	0.0170898	
67	0.012207	67	0.0170898	
68	0.012207	68	0.0195312	
69	0.012207	69	0.0170898	
70	0.012207	70	0.0195312	
71	0.012207	71	0.0170898	
72	0.012207	72	0.0195312	
73	0.012207	73	0.0170898	
74	0.012207	74	4.99756	
75	0.012207	75	4.99756	
76	0.012207	76	4.99756	
77	0.012207	77	4.99756	
78	0.012207	78	4.99756	
79	0.012207	79	4.99756	
80	0.00976562	80	4.99756	
81	0.00976562	81	4.99756	
82	0.012207	82	4.99756	
83	0.00976562	83	4.99756	
84	0.00976562	84	4.99756	
85	0.012207	85	4.99756	
86	0.00976562	86	4.99756	
87	0.00976562	87	4.99756	
88	0.012207	88	4.99756	
89	0.012207	89	4.99756	
90	0.00976562	90	4.99756	
91	0.00976562	91	4.99756	
92	0.012207	92	4.99756	
93	0.00976562	93	4.99756	
94	0.012207	94	4.99756	
95	0.00976562	95	4.99756	
96	0.00976562	96	4.99756	
97	0.00976562	97	4.99756	
98	0.012207	98	4.99756	
99	4.99756	99	0.0195312	
100	4.99756	100	0.0170898	
101	4.99756	101	0.0170898	
102	4.99756	102	0.0170898	
103	4.99756	103	0.0170898	
104	4.99756	104	0.0170898	
105	4.99756	105	0.0170898	
106	4.99756	106	0.0170898	
107	4.99756	107	0.0170898	
108	4.99756	108	0.0170898	
109	4.99756	109	0.0170898	
110	4.99756	110	0.0170898	
111	4.99756	111	0.0170898	
112	4.99756	112	0.0170898	
113	4.99756	113	0.0170898	
114	4.99756	114	0.0170898	
115	4.99756	115	0.0170898	
116	0.012207	116	0.0170898	
117	0.012207	117	0.0170898	
118	0.012207	118	0.0170898	
119	0.012207	119	0.0170898	
120	0.012207	120	0.0170898	
121	0.012207	121	0.0170898	
122	0.012207	122	0.0170898	
123	0.012207	123	0.0170898	
124	0.012207	124	4.99756	
125	0.012207	125	4.99756	
126	0.00976562	126	4.99756	
127	0.012207	127	4.99756	
128	0.012207	128	4.99756	
129	0.012207	129	4.99756	
130	0.012207	130	4.99756	
131	0.012207	131	4.99756	
132	0.012207	132	4.99756	
133	0.012207	133	4.99756	
134	0.012207	134	4.99756	
135	0.012207	135	4.99756	
136	0.012207	136	4.99756	
137	0.012207	137	4.99756	
138	0.012207	138	4.99756	
139	0.012207	139	4.99756	
140	0.012207	140	4.99756	
141	0.00976562	141	4.99756	
142	0.00976562	142	4.99756	
143	0.00976562	143	4.99756	
144	0.012207	144	4.99756	
145	0.00976562	145	4.99756	
146	0.00976562	146	4.99756	
147	0.00976562	147	4.99756	
148	0.012207	148	4.99756	
149	4.99756	149	0.0170898	
