Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	-0.012207	0	-0.00244141	
1	-0.0146484	1	-0.00244141	
2	-0.012207	2	-0.00244141	
3	-0.012207	3	-0.00244141	
4	-0.012207	4	-0.00244141	
5	-0.012207	5	-0.00244141	
6	-0.012207	6	-0.00244141	
7	-0.012207	7	-0.00244141	
8	-0.012207	8	-0.00244141	
9	-0.012207	9	-0.00244141	
10	-0.012207	10	-0.00244141	
11	-0.012207	11	-0.00244141	
12	-0.012207	12	-0.00244141	
13	-0.00976562	13	-0.00244141	
14	-0.00976562	14	-0.00244141	
15	-0.012207	15	-0.00244141	
16	-0.012207	16	-0.00244141	
17	-0.012207	17	-0.00244141	
18	-0.012207	18	-0.00244141	
19	-0.012207	19	-0.00244141	
20	-0.00976562	20	-0.00244141	
21	-0.012207	21	-0.00244141	
22	-0.00976562	22	-0.00244141	
23	-0.00976562	23	-0.00244141	
24	-0.0170898	24	4.99756	
25	4.85107	25	4.99756	
26	4.8584	26	4.99756	
27	4.8584	27	4.99756	
28	4.8584	28	4.99756	
29	4.86084	29	4.99756	
30	4.86084	30	4.99756	
31	4.8584	31	4.99756	
32	4.86084	32	4.99756	
33	4.8584	33	4.99756	
34	4.8584	34	4.99756	
35	4.8584	35	4.99756	
36	4.86084	36	4.99756	
37	4.85596	37	4.99756	
38	4.8584	38	4.99756	
39	4.8584	39	4.99756	
40	4.8584	40	4.99756	
41	0.00244141	41	4.99756	
42	-0.00732422	42	4.99756	
43	-0.00976562	43	4.99756	
44	-0.00976562	44	4.99756	
45	-0.012207	45	4.99756	
46	-0.012207	46	4.99756	
47	-0.00976562	47	4.99756	
48	-0.012207	48	4.99756	
49	-0.012207	49	4.99756	
50	-0.0146484	50	4.99756	
51	-0.00976562	51	4.99756	
52	-0.00976562	52	4.99756	
53	-0.012207	53	4.99756	
54	-0.012207	54	4.99756	
55	-0.012207	55	4.99756	
56	-0.00976562	56	4.99756	
57	-0.012207	57	4.99756	
58	-0.00976562	58	4.99756	
59	-0.00976562	59	4.99756	
60	-0.012207	60	4.99756	
61	-0.012207	61	4.99756	
62	-0.00976562	62	4.99756	
63	-0.012207	63	4.99756	
64	-0.012207	64	4.99756	
65	-0.012207	65	4.99756	
66	-0.012207	66	4.99756	
67	-0.00976562	67	4.99756	
68	-0.012207	68	4.99756	
69	-0.00976562	69	4.99756	
70	-0.00976562	70	4.99756	
71	-0.00976562	71	4.99756	
72	-0.00976562	72	4.99756	
73	-0.00976562	73	4.99756	
74	-0.00976562	74	0.00244141	
75	4.85352	75	0	
76	4.85352	76	0	
77	4.85596	77	0	
78	4.8584	78	0	
79	4.86084	79	0	
80	4.8584	80	-0.00244141	
81	4.8584	81	0	
82	4.8584	82	0	
83	4.86084	83	0	
84	4.8584	84	0	
85	4.8584	85	0	
86	4.8584	86	0	
87	4.8584	87	0	
88	4.8584	88	0	
89	4.8584	89	0	
90	4.86084	90	0	
91	0.00488281	91	-0.00244141	
92	-0.00488281	92	-0.00244141	
93	-0.00976562	93	-0.00244141	
94	-0.00976562	94	-0.00244141	
95	-0.012207	95	-0.00244141	
96	-0.012207	96	-0.00244141	
97	-0.012207	97	-0.00244141	
98	-0.012207	98	-0.00244141	
99	-0.0146484	99	-0.00244141	
100	-0.0146484	100	-0.00244141	
101	-0.012207	101	-0.00244141	
102	-0.012207	102	-0.00244141	
103	-0.00976562	103	-0.00244141	
104	-0.012207	104	-0.00244141	
105	-0.012207	105	-0.00244141	
106	-0.012207	106	-0.00244141	
107	-0.00976562	107	-0.00244141	
108	-0.012207	108	-0.00244141	
109	-0.012207	109	-0.00244141	
110	-0.0146484	110	-0.00244141	
111	-0.012207	111	-0.00244141	
112	-0.00976562	112	-0.00244141	
113	-0.012207	113	-0.00244141	
114	-0.012207	114	-0.00244141	
115	-0.012207	115	-0.00244141	
116	-0.012207	116	-0.00244141	
117	-0.00976562	117	-0.00244141	
118	-0.00976562	118	-0.00244141	
119	-0.012207	119	-0.00244141	
120	-0.012207	120	-0.00244141	
121	-0.012207	121	-0.00244141	
122	-0.00976562	122	-0.00244141	
123	-0.00976562	123	-0.00244141	
124	-0.00976562	124	0	
125	4.85107	125	0	
126	4.85596	126	0	
127	4.8584	127	0	
128	4.86084	128	0	
129	4.86084	129	-0.00244141	
130	4.86084	130	-0.00244141	
131	4.8584	131	0	
132	4.8584	132	-0.00244141	
133	4.8584	133	0	
134	4.8584	134	0	
135	4.86084	135	0	
136	4.8584	136	0	
137	4.8584	137	-0.00244141	
138	4.8584	138	0	
139	4.86084	139	-0.00244141	
140	4.8584	140	0	
141	0.0512695	141	-0.00244141	
142	-0.00488281	142	0	
143	-0.00732422	143	-0.00244141	
144	-0.00976562	144	-0.00244141	
145	-0.00976562	145	-0.00244141	
146	-0.00976562	146	-0.00244141	
147	-0.012207	147	-0.00244141	
148	-0.012207	148	-0.00244141	
149	-0.012207	149	-0.00244141	
150	-0.012207	150	-0.00244141	
151	-0.012207	151	-0.00244141	
152	-0.012207	152	-0.00244141	
153	-0.012207	153	-0.00244141	
154	-0.012207	154	-0.00244141	
155	-0.012207	155	-0.00244141	
156	-0.00976562	156	-0.00244141	
157	-0.012207	157	-0.00244141	
158	-0.00976562	158	-0.00244141	
159	-0.012207	159	-0.00244141	
160	-0.012207	160	-0.00244141	
161	-0.012207	161	-0.00244141	
162	-0.00976562	162	-0.00244141	
163	-0.012207	163	-0.00244141	
164	-0.00976562	164	-0.00244141	
165	-0.00976562	165	-0.00244141	
166	-0.012207	166	-0.00244141	
167	-0.00976562	167	-0.00244141	
168	-0.012207	168	-0.00244141	
169	-0.00976562	169	-0.00244141	
170	-0.012207	170	-0.00244141	
