Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	4.85596	0	0	
1	4.85596	1	0	
2	4.85596	2	0	
3	4.85596	3	0	
4	4.85596	4	0	
5	4.85596	5	-0.00244141	
6	4.85596	6	0	
7	4.85596	7	0	
8	4.85596	8	-0.00244141	
9	4.85352	9	0	
10	4.85352	10	0	
11	4.85352	11	0	
12	3.95264	12	-0.00244141	
13	-0.00488281	13	-0.00244141	
14	-0.00732422	14	-0.00244141	
15	-0.00976562	15	-0.00244141	
16	-0.00976562	16	-0.00244141	
17	-0.012207	17	-0.00244141	
18	-0.012207	18	-0.00244141	
19	-0.012207	19	-0.00244141	
20	-0.0146484	20	-0.00244141	
21	-0.0146484	21	-0.00244141	
22	-0.012207	22	-0.00244141	
23	-0.0146484	23	-0.00244141	
24	-0.012207	24	-0.00244141	
25	-0.012207	25	-0.00244141	
26	-0.012207	26	-0.00244141	
27	-0.012207	27	-0.00244141	
28	-0.0146484	28	-0.00244141	
29	-0.00976562	29	-0.00244141	
30	4.84619	30	0	
31	4.85352	31	0	
32	4.85596	32	0	
33	4.85596	33	0	
34	4.85596	34	0	
35	4.8584	35	0	
36	4.85596	36	0	
37	4.85596	37	0	
38	4.8584	38	-0.00244141	
39	4.85596	39	-0.00244141	
40	4.85596	40	0	
41	4.85596	41	0	
42	4.85596	42	0	
43	4.85596	43	0	
44	4.85596	44	-0.00244141	
45	4.85596	45	0	
46	4.85596	46	0	
47	4.85596	47	0	
48	4.85596	48	-0.00244141	
49	4.85352	49	0	
50	4.85596	50	0	
51	4.85352	51	0	
52	4.85596	52	0	
53	4.85596	53	0	
54	4.85596	54	0	
55	4.85596	55	0	
56	4.85596	56	0	
57	4.85596	57	0	
58	4.85352	58	-0.00244141	
59	4.85352	59	0	
60	4.85596	60	0	
61	4.85352	61	0	
62	4.85352	62	-0.00244141	
63	-0.00244141	63	-0.00244141	
64	-0.00732422	64	-0.00244141	
65	-0.00732422	65	-0.00244141	
66	-0.012207	66	-0.00244141	
67	-0.012207	67	-0.00244141	
68	-0.012207	68	-0.00244141	
69	-0.012207	69	-0.00244141	
70	-0.0146484	70	-0.00244141	
71	-0.012207	71	-0.00244141	
