Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	0.00244141	0	0	
1	0.00244141	1	0	
2	0.00244141	2	0	
3	0.00244141	3	0	
4	0.00244141	4	0	
5	0.00244141	5	0	
6	0.00244141	6	0	
7	0.00244141	7	0	
8	0.00244141	8	0	
9	0.00244141	9	0	
10	0.00244141	10	0	
11	0.00244141	11	0	
12	0.00244141	12	0	
13	0.00244141	13	0	
14	0.00244141	14	0	
15	0.00244141	15	0	
16	0.00244141	16	0	
17	0.00244141	17	0	
18	0.00244141	18	0	
19	0.00244141	19	0	
20	0.00244141	20	0	
21	0.00244141	21	0	
22	0.00244141	22	0	
23	0.00244141	23	0	
24	0.00244141	24	0	
25	0.00244141	25	0	
26	0.00244141	26	0	
27	0.00244141	27	0	
28	0.00244141	28	0	
29	0.00244141	29	0	
30	0.00244141	30	0	
31	0.00244141	31	0	
32	0.00244141	32	0	
33	0.00244141	33	0	
34	0.00244141	34	0	
35	0.00244141	35	0	
36	0.00244141	36	0	
37	0.00244141	37	0	
38	0.00244141	38	0.00244141	
39	0.00244141	39	0	
40	0.00244141	40	0	
41	0.00244141	41	0	
42	0.00244141	42	0	
43	0.00244141	43	0	
44	0.00244141	44	0	
45	0.00244141	45	0.00244141	
46	0.00244141	46	0	
47	0.00244141	47	0	
48	0.00244141	48	0	
49	0.00244141	49	0	
50	0.00244141	50	0	
51	0.00244141	51	0	
52	0.00244141	52	0	
53	0.00244141	53	0	
54	0.00244141	54	0	
55	0.00244141	55	0	
56	0.00244141	56	0	
57	0.00244141	57	0	
58	0.00244141	58	0	
59	0.00244141	59	0	
60	0.00244141	60	0	
61	0.00244141	61	0	
62	0.00244141	62	0	
63	0.00244141	63	0	
64	0.00244141	64	0	
65	0.00244141	65	0	
66	0.00244141	66	0	
67	0.00244141	67	0	
68	0.00244141	68	0	
69	0.00244141	69	0	
70	0.00244141	70	0	
71	0.00244141	71	0	
72	0.00244141	72	0.00244141	
73	0.00244141	73	0	
74	0.00244141	74	0	
75	0.00244141	75	0	
76	0.00244141	76	0	
77	0.00244141	77	0	
78	0.00244141	78	0	
79	0.00244141	79	0	
80	0.00244141	80	0	
81	0.00244141	81	0	
82	0.00244141	82	0	
83	0.00244141	83	0	
84	0.00244141	84	0	
85	0.00244141	85	0	
86	0.00244141	86	0	
87	0.00244141	87	0	
88	0.00244141	88	0	
89	0.00244141	89	0	
90	0.00244141	90	0	
91	0.00244141	91	0	
92	0.00244141	92	0	
93	0.00244141	93	0	
94	0.00244141	94	0	
95	0.00244141	95	0	
96	0.00244141	96	0	
97	0.00244141	97	0	
98	0.00244141	98	0	
99	0.00244141	99	0	
100	0.00244141	100	0	
101	0.00244141	101	0	
102	0.00244141	102	0	
103	0.00244141	103	0	
104	0.00244141	104	0	
105	0.00244141	105	0	
106	0.00244141	106	0	
107	0.00244141	107	0	
108	0.00244141	108	0	
109	0.00244141	109	0	
110	0.00244141	110	0	
111	0.00244141	111	0	
112	0.00244141	112	0	
113	0.00244141	113	0	
114	0.00244141	114	0	
115	0.00244141	115	0	
116	0.00244141	116	0	
117	0.00244141	117	0	
118	0.00244141	118	0	
119	0.00244141	119	0	
120	0.00244141	120	0	
121	0.00244141	121	0	
122	0.00244141	122	0	
123	0.00244141	123	0	
124	0.00244141	124	0	
125	0.00244141	125	0	
126	0.00244141	126	0	
127	0.00244141	127	0	
128	0.00244141	128	0	
129	0.00244141	129	0	
130	0.00244141	130	0	
131	0.00244141	131	0	
132	0.00244141	132	0	
133	0.00244141	133	0	
134	0.00244141	134	0	
135	0.00244141	135	0	
136	0.00244141	136	0	
137	0.00244141	137	0	
138	0.00244141	138	0	
139	0.00244141	139	0	
140	0.00244141	140	0	
141	0.00244141	141	0	
142	0.00244141	142	0	
143	0.00244141	143	0	
144	0.00244141	144	0	
145	0.00244141	145	0	
146	0.00244141	146	0.00244141	
147	0.00244141	147	0	
148	0.00244141	148	0	
149	0.00244141	149	0	
150	0.00244141	150	0.00244141	
151	0.00244141	151	0	
152	0.00244141	152	0	
153	0.00244141	153	0	
154	0.00244141	154	0	
155	0.00244141	155	0	
156	0.00244141	156	0	
157	0.00244141	157	0	
158	0.00244141	158	0	
159	0.00244141	159	0	
160	0.00244141	160	0	
161	0.00244141	161	0	
162	0.00244141	162	0	
163	0.00244141	163	0	
164	0.00244141	164	0	
165	0.00244141	165	0	
