Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	-0.00244141	0	-0.0146484	
1	-0.00244141	1	-0.012207	
2	0	2	-0.00976562	
3	4.99756	3	4.85352	
4	4.99756	4	4.85107	
5	4.99756	5	4.84863	
6	4.99756	6	4.84863	
7	4.99756	7	4.84863	
8	4.99756	8	4.84863	
9	4.99756	9	4.84619	
10	4.99756	10	4.84619	
11	4.99756	11	4.84863	
12	0	12	4.84863	
13	0	13	-0.00976562	
14	-0.00244141	14	-0.00976562	
15	-0.00244141	15	-0.00976562	
16	-0.00244141	16	-0.00976562	
17	0	17	-0.00976562	
18	-0.00244141	18	-0.00976562	
19	-0.00244141	19	-0.00976562	
20	0	20	-0.00976562	
21	-0.00244141	21	-0.00976562	
22	-0.00244141	22	-0.012207	
23	4.99756	23	4.85107	
24	4.99756	24	4.85107	
25	4.99756	25	4.84863	
26	4.99756	26	4.85107	
27	4.99756	27	4.84863	
28	4.99756	28	4.84863	
29	4.99756	29	4.84863	
30	4.99756	30	4.84863	
31	4.99756	31	4.85107	
32	0	32	4.84863	
33	0	33	-0.00976562	
34	0	34	-0.00976562	
35	-0.00244141	35	-0.00976562	
36	0	36	-0.00976562	
37	0	37	-0.00976562	
38	0	38	-0.012207	
39	0	39	-0.00976562	
40	-0.00244141	40	-0.00976562	
41	0	41	-0.00976562	
42	0	42	-0.00976562	
43	4.99756	43	4.85107	
44	4.99756	44	4.84863	
45	4.99756	45	4.84863	
46	4.99756	46	4.84863	
47	4.99756	47	4.84863	
48	4.99756	48	4.84863	
49	4.99756	49	4.84863	
50	4.99756	50	4.84863	
51	4.99756	51	4.84863	
52	0	52	4.84863	
53	0	53	-0.012207	
54	0	54	-0.012207	
55	0	55	-0.012207	
56	0	56	-0.012207	
57	0	57	-0.00976562	
58	0	58	-0.00976562	
59	0	59	-0.00976562	
60	-0.00244141	60	-0.00976562	
61	0	61	-0.00976562	
62	0	62	-0.00976562	
63	4.99756	63	4.85596	
64	4.99756	64	4.85107	
65	4.99756	65	4.85107	
66	4.99756	66	4.85107	
67	4.99756	67	4.84863	
68	4.99756	68	4.84863	
69	4.99756	69	4.85107	
70	4.99756	70	4.84863	
71	4.99756	71	4.84863	
72	0	72	4.84863	
73	0	73	-0.00976562	
74	-0.00244141	74	-0.00976562	
75	-0.00244141	75	-0.00976562	
76	0	76	-0.00976562	
77	0	77	-0.00976562	
78	-0.00244141	78	-0.00976562	
79	0	79	-0.00976562	
80	0	80	-0.00976562	
81	-0.00244141	81	-0.00976562	
82	-0.00244141	82	-0.012207	
83	4.99756	83	4.85596	
84	4.99756	84	4.85352	
85	4.99756	85	4.85107	
86	4.99756	86	4.85107	
87	4.99756	87	4.84863	
88	4.99756	88	4.84619	
89	4.99756	89	4.85107	
90	4.99756	90	4.84863	
91	4.99756	91	4.84863	
92	0	92	4.85107	
93	0	93	-0.00976562	
94	0	94	-0.00976562	
95	-0.00244141	95	-0.012207	
96	-0.00244141	96	-0.00976562	
97	-0.00244141	97	-0.00976562	
98	0	98	-0.00732422	
99	0	99	-0.00976562	
