Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	4.99756	0	4.84863	
1	-0.00244141	1	4.84863	
2	-0.00244141	2	-0.012207	
3	0	3	-0.00976562	
4	-0.00244141	4	-0.00976562	
5	0	5	-0.00976562	
6	-0.00244141	6	-0.012207	
7	-0.00244141	7	-0.012207	
8	-0.00244141	8	-0.00976562	
9	0	9	-0.00976562	
10	-0.00244141	10	-0.00976562	
11	-0.00244141	11	-0.00976562	
12	4.99756	12	4.85107	
13	4.99756	13	4.85107	
14	4.99756	14	4.84619	
15	4.99756	15	4.84619	
16	4.99756	16	4.84863	
17	4.99756	17	4.85107	
18	4.99756	18	4.84619	
19	4.99756	19	4.84863	
20	4.99756	20	4.84619	
21	0	21	4.85107	
22	0	22	-0.012207	
23	-0.00244141	23	-0.012207	
24	0	24	-0.0146484	
25	0	25	-0.012207	
26	0	26	-0.00732422	
27	-0.00244141	27	-0.012207	
28	0	28	-0.012207	
29	0	29	-0.012207	
30	-0.00244141	30	-0.00976562	
31	-0.00244141	31	-0.00976562	
32	4.99756	32	4.85352	
33	4.99756	33	4.84863	
34	4.99756	34	4.84863	
35	4.99756	35	4.84863	
36	4.99756	36	4.85107	
37	4.99756	37	4.84619	
38	4.99756	38	4.84863	
39	4.99756	39	4.84863	
40	4.99756	40	4.84863	
41	0	41	4.84863	
42	0	42	-0.00976562	
43	0	43	-0.00976562	
44	0	44	-0.012207	
45	0	45	-0.00976562	
46	0	46	-0.00976562	
47	0	47	-0.00976562	
48	0	48	-0.00976562	
49	0	49	-0.00976562	
50	-0.00244141	50	-0.00976562	
51	0	51	-0.00976562	
52	4.99756	52	4.84863	
53	4.99756	53	4.84863	
54	4.99756	54	4.85107	
55	4.99756	55	4.84863	
56	4.99756	56	4.84863	
57	4.99756	57	4.84863	
58	4.99756	58	4.84863	
59	4.99756	59	4.84863	
60	4.99756	60	4.84863	
61	0	61	4.84863	
62	0	62	-0.00976562	
63	-0.00244141	63	-0.00976562	
64	0	64	-0.012207	
65	0	65	-0.012207	
66	0	66	-0.012207	
67	-0.00244141	67	-0.00976562	
68	0	68	-0.00976562	
69	0	69	-0.00976562	
70	0	70	-0.00976562	
71	-0.00244141	71	-0.00976562	
72	4.99756	72	4.85107	
73	4.99756	73	4.84863	
74	4.99756	74	4.84863	
75	4.99756	75	4.84863	
76	4.99756	76	4.84863	
77	4.99756	77	4.85107	
78	4.99756	78	4.85107	
79	4.99756	79	4.84619	
80	4.99756	80	4.84863	
81	0	81	4.84863	
82	0	82	-0.00976562	
83	-0.00244141	83	-0.00976562	
84	-0.00244141	84	-0.00976562	
85	0	85	-0.00976562	
86	0	86	-0.00976562	
87	0	87	-0.00976562	
88	-0.00244141	88	-0.012207	
89	0	89	-0.00976562	
90	0	90	-0.00976562	
91	0	91	-0.00976562	
92	4.99756	92	4.85352	
93	4.99756	93	4.84863	
94	4.99756	94	4.84863	
95	4.99756	95	4.84619	
96	4.99756	96	4.84863	
97	4.99756	97	4.84863	
98	4.99756	98	4.85107	
99	4.99756	99	4.84863	
