numero campioni
 - Plot 0	frequenza - Plot 0	
276	1E-5	
277	1E-5	
278	1E-5	
279	1E-5	
280	1E-5	
281	1E-5	
282	1E-5	
283	1E-5	
284	1E-5	
285	1E-5	
286	1E-5	
287	1E-5	
288	1E-5	
289	1E-5	
290	1E-5	
291	1E-5	
292	1E-5	
293	1E-5	
294	1E-5	
295	1E-5	
296	1E-5	
297	1E-5	
298	1E-5	
299	1E-5	
300	1E-5	
301	1E-5	
302	1E-5	
303	1E-5	
304	1E-5	
305	1E-5	
306	1E-5	
307	1E-5	
308	1E-5	
309	1E-5	
310	1E-5	
311	1E-5	
312	1E-5	
313	1E-5	
314	1E-5	
315	1E-5	
316	1E-5	
317	1E-5	
318	1E-5	
319	1E-5	
320	1E-5	
321	1E-5	
322	1E-5	
323	1E-5	
324	1E-5	
325	1E-5	
326	1E-5	
327	1E-5	
328	1E-5	
329	1E-5	
330	1E-5	
331	1E-5	
332	1E-5	
333	1E-5	
334	1E-5	
335	1E-5	
336	1E-5	
337	1E-5	
338	1E-5	
339	1E-5	
340	1E-5	
341	1E-5	
342	1E-5	
343	1E-5	
344	1E-5	
345	1E-5	
346	1E-5	
347	1E-5	
348	1E-5	
349	1E-5	
350	1E-5	
351	1E-5	
352	1E-5	
353	1E-5	
354	1E-5	
355	1E-5	
356	1E-5	
357	1E-5	
358	1E-5	
359	1E-5	
360	1E-5	
361	1E-5	
362	1E-5	
363	1E-5	
364	1E-5	
365	1E-5	
366	1E-5	
367	1E-5	
368	1E-5	
369	1E-5	
370	1E-5	
371	1E-5	
372	1E-5	
373	1E-5	
374	1E-5	
375	1E-5	
376	1E-5	
377	1E-5	
378	1E-5	
379	1E-5	
380	1E-5	
381	1E-5	
382	1E-5	
383	1E-5	
384	1E-5	
385	1E-5	
386	1E-5	
387	1E-5	
388	1E-5	
389	1E-5	
390	1E-5	
391	1E-5	
392	1E-5	
393	1E-5	
394	1E-5	
395	1E-5	
396	1E-5	
397	1E-5	
398	1E-5	
399	1E-5	
400	1E-5	
401	1E-5	
402	1E-5	
403	1E-5	
404	1E-5	
405	1E-5	
406	1E-5	
407	1E-5	
408	1E-5	
409	1E-5	
410	1E-5	
411	1E-5	
412	1E-5	
413	1E-5	
414	1E-5	
415	1E-5	
416	1E-5	
417	1E-5	
418	1E-5	
419	1E-5	
420	1E-5	
421	1E-5	
422	1E-5	
423	1E-5	
424	1E-5	
425	1E-5	
426	1E-5	
427	1E-5	
428	1E-5	
429	1E-5	
430	1E-5	
431	1E-5	
432	1E-5	
433	1E-5	
434	1E-5	
435	1E-5	
436	1E-5	
437	1E-5	
438	1E-5	
439	1E-5	
440	1E-5	
441	1E-5	
442	1E-5	
443	1E-5	
444	1E-5	
445	1E-5	
446	1E-5	
447	1E-5	
448	1E-5	
449	1E-5	
450	1E-5	
451	1E-5	
452	1E-5	
453	1E-5	
454	1E-5	
455	1E-5	
456	1E-5	
457	1E-5	
458	1E-5	
459	1E-5	
460	1E-5	
461	1E-5	
462	1E-5	
463	1E-5	
464	1E-5	
465	1E-5	
466	1E-5	
467	1E-5	
468	1E-5	
469	1E-5	
470	1E-5	
471	1E-5	
472	1E-5	
473	1E-5	
474	1E-5	
475	1E-5	
476	1E-5	
477	1E-5	
478	1E-5	
479	1E-5	
480	1E-5	
481	1E-5	
482	1E-5	
483	1E-5	
484	1E-5	
485	1E-5	
486	1E-5	
487	1E-5	
488	1E-5	
489	1E-5	
490	1E-5	
491	1E-5	
492	1E-5	
493	1E-5	
494	1E-5	
495	1E-5	
496	1E-5	
497	1E-5	
498	1E-5	
499	1E-5	
500	1E-5	
501	1E-5	
502	1E-5	
503	1E-5	
504	1E-5	
505	1E-5	
506	1E-5	
507	1E-5	
508	1E-5	
509	1E-5	
510	1E-5	
511	1E-5	
512	1E-5	
513	1E-5	
514	1E-5	
515	1E-5	
516	1E-5	
517	1E-5	
518	1E-5	
519	1E-5	
520	1E-5	
521	1E-5	
522	1E-5	
523	1E-5	
524	1E-5	
525	1E-5	
526	1E-5	
527	1E-5	
528	1E-5	
529	1E-5	
530	1E-5	
531	1E-5	
532	1E-5	
533	1E-5	
534	1E-5	
535	1E-5	
536	1E-5	
537	1E-5	
538	1E-5	
539	1E-5	
540	1E-5	
541	1E-5	
542	1E-5	
543	1E-5	
544	1E-5	
545	1E-5	
546	1E-5	
547	1E-5	
548	1E-5	
549	1E-5	
550	1E-5	
551	1E-5	
552	1E-5	
553	1E-5	
554	1E-5	
555	1E-5	
556	1E-5	
557	1E-5	
558	1E-5	
559	1E-5	
560	1E-5	
561	1E-5	
562	1E-5	
563	1E-5	
564	1E-5	
565	1E-5	
566	1E-5	
567	1E-5	
