numero campioni
 - Plot 0	frequenza - Plot 0	
476	9.9E-6	
477	9.9E-6	
478	9.9E-6	
479	9.9E-6	
480	9.9E-6	
481	9.9E-6	
482	9.9E-6	
483	9.9E-6	
484	9.95E-6	
485	9.95E-6	
486	9.9E-6	
487	9.95E-6	
488	9.95E-6	
489	9.95E-6	
490	9.9E-6	
491	9.95E-6	
492	9.95E-6	
493	9.95E-6	
494	9.95E-6	
495	9.95E-6	
496	9.95E-6	
497	9.95E-6	
498	9.95E-6	
499	9.95E-6	
500	9.9E-6	
501	9.9E-6	
502	9.9E-6	
503	9.9E-6	
504	9.9E-6	
505	9.9E-6	
506	9.9E-6	
507	9.9E-6	
508	9.9E-6	
509	9.9E-6	
510	9.9E-6	
511	9.9E-6	
512	9.9E-6	
513	9.9E-6	
514	9.9E-6	
515	9.9E-6	
516	9.9E-6	
517	9.9E-6	
518	9.9E-6	
519	9.9E-6	
520	9.9E-6	
521	9.9E-6	
522	9.9E-6	
523	9.9E-6	
524	9.9E-6	
525	9.9E-6	
526	9.9E-6	
527	9.9E-6	
528	9.9E-6	
529	9.9E-6	
530	9.9E-6	
531	9.9E-6	
532	9.9E-6	
533	9.9E-6	
534	9.9E-6	
535	9.9E-6	
536	9.9E-6	
537	9.9E-6	
538	9.9E-6	
539	9.9E-6	
540	9.9E-6	
541	9.9E-6	
542	9.9E-6	
543	9.9E-6	
544	9.9E-6	
545	9.9E-6	
546	9.9E-6	
547	9.9E-6	
548	9.9E-6	
549	9.9E-6	
550	9.9E-6	
551	9.9E-6	
552	9.9E-6	
553	9.9E-6	
554	9.9E-6	
555	9.9E-6	
556	9.9E-6	
557	9.9E-6	
558	9.9E-6	
559	9.9E-6	
560	9.9E-6	
561	9.9E-6	
562	9.9E-6	
563	9.9E-6	
564	9.9E-6	
565	9.9E-6	
566	9.9E-6	
567	9.9E-6	
568	9.9E-6	
569	9.9E-6	
570	9.9E-6	
571	9.9E-6	
572	9.9E-6	
573	9.9E-6	
574	9.9E-6	
575	9.9E-6	
576	9.9E-6	
577	9.9E-6	
578	9.9E-6	
579	9.9E-6	
580	9.9E-6	
581	9.9E-6	
582	9.9E-6	
583	9.9E-6	
584	9.9E-6	
585	9.9E-6	
586	9.9E-6	
587	9.9E-6	
588	9.9E-6	
589	9.9E-6	
590	9.9E-6	
591	9.9E-6	
592	9.9E-6	
593	9.9E-6	
594	9.9E-6	
595	9.9E-6	
596	9.9E-6	
597	9.9E-6	
598	9.9E-6	
599	9.9E-6	
600	9.9E-6	
601	9.9E-6	
602	9.9E-6	
603	9.9E-6	
604	9.9E-6	
605	9.9E-6	
606	9.9E-6	
607	9.9E-6	
608	9.9E-6	
609	9.9E-6	
610	9.9E-6	
611	9.9E-6	
612	9.9E-6	
613	9.9E-6	
614	9.9E-6	
615	9.9E-6	
616	9.9E-6	
617	9.9E-6	
618	9.9E-6	
619	9.9E-6	
620	9.9E-6	
621	9.9E-6	
622	9.9E-6	
623	9.9E-6	
624	9.9E-6	
625	9.9E-6	
626	9.9E-6	
627	9.9E-6	
628	9.9E-6	
629	9.9E-6	
630	9.9E-6	
631	9.9E-6	
632	9.9E-6	
633	9.9E-6	
634	9.9E-6	
635	9.9E-6	
636	9.9E-6	
637	9.9E-6	
638	9.9E-6	
639	9.9E-6	
640	9.9E-6	
641	9.9E-6	
642	9.9E-6	
643	9.9E-6	
644	9.9E-6	
645	9.9E-6	
646	9.9E-6	
647	9.9E-6	
648	9.9E-6	
649	9.9E-6	
650	9.9E-6	
651	9.9E-6	
652	9.9E-6	
653	9.9E-6	
654	9.9E-6	
655	9.9E-6	
656	9.9E-6	
657	9.9E-6	
658	9.9E-6	
