Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	Time - Plot 3	Amplitude - Plot 3	
0	4.99756	0	4.99756	0	0	0	-0.00488281	
1	4.99756	1	4.99756	1	0.00244141	1	-0.00488281	
2	4.99756	2	4.99756	2	0	2	-0.00488281	
3	4.99756	3	4.99756	3	0	3	-0.00488281	
4	4.99756	4	4.99756	4	0	4	-0.00488281	
5	4.99756	5	4.99756	5	0	5	-0.00488281	
6	4.99756	6	4.99756	6	0	6	-0.00488281	
7	4.99756	7	4.99756	7	0	7	-0.00488281	
8	4.99756	8	4.99756	8	0.00244141	8	-0.00488281	
9	4.99756	9	4.99756	9	0	9	-0.00488281	
10	4.99756	10	4.99756	10	0	10	-0.00488281	
11	4.99756	11	4.99756	11	0.00244141	11	-0.00488281	
12	4.99756	12	4.99756	12	0	12	-0.00488281	
13	4.99756	13	4.99756	13	0	13	-0.00488281	
14	4.99756	14	4.99756	14	0	14	-0.00488281	
15	4.99756	15	4.99756	15	0	15	-0.00488281	
16	4.99756	16	4.99756	16	0	16	-0.00488281	
17	4.99756	17	4.99756	17	0	17	-0.00488281	
18	4.99756	18	4.99756	18	0.00244141	18	-0.00488281	
19	4.99756	19	4.99756	19	0.00244141	19	-0.00488281	
20	4.99756	20	4.99756	20	0	20	-0.00488281	
21	4.99756	21	4.99756	21	0	21	-0.00488281	
22	4.99756	22	4.99756	22	0	22	-0.00488281	
23	4.99756	23	4.99756	23	0	23	-0.00488281	
24	4.99756	24	4.99756	24	0	24	-0.00488281	
25	4.99756	25	4.99756	25	0	25	-0.00488281	
26	4.99756	26	4.99756	26	0	26	-0.00488281	
27	4.99756	27	4.99756	27	0	27	-0.00488281	
28	4.99756	28	4.99756	28	0	28	-0.00488281	
29	4.99756	29	4.99756	29	0	29	-0.00488281	
30	4.99756	30	4.99756	30	0	30	-0.00488281	
31	4.99756	31	4.99756	31	0	31	-0.00488281	
32	4.99756	32	4.99756	32	0	32	-0.00488281	
33	4.99756	33	4.99756	33	0	33	-0.00488281	
34	4.99756	34	4.99756	34	0.00244141	34	-0.00488281	
35	4.99756	35	4.99756	35	0.00244141	35	-0.00488281	
36	4.99756	36	4.99756	36	0	36	-0.00488281	
37	4.99756	37	4.99756	37	0	37	-0.00488281	
38	4.99756	38	4.99756	38	0	38	-0.00488281	
39	4.99756	39	4.99756	39	0	39	-0.00488281	
40	4.99756	40	4.99756	40	0.00244141	40	-0.00488281	
41	4.99756	41	4.99756	41	0	41	-0.00488281	
42	4.99756	42	4.99756	42	0	42	-0.00488281	
43	4.99756	43	4.99756	43	0	43	-0.00488281	
44	4.99756	44	4.99756	44	0	44	-0.00488281	
45	4.99756	45	4.99756	45	0.00244141	45	-0.00488281	
46	4.99756	46	4.99756	46	0.00244141	46	-0.00488281	
47	4.99756	47	4.99756	47	0	47	-0.00488281	
48	4.99756	48	4.99756	48	0	48	-0.00488281	
49	4.99756	49	4.99756	49	0	49	-0.00488281	
50	4.99756	50	4.99756	50	0	50	-0.00488281	
51	4.99756	51	4.99756	51	0	51	-0.00488281	
52	4.99756	52	4.99756	52	0	52	-0.00488281	
53	4.99756	53	4.99756	53	0.00244141	53	-0.00488281	
54	4.99756	54	4.99756	54	0.00244141	54	-0.00488281	
55	4.99756	55	4.99756	55	0.00244141	55	-0.00488281	
56	4.99756	56	4.99756	56	0	56	-0.00488281	
57	4.99756	57	4.99756	57	0.00244141	57	-0.00488281	
58	4.99756	58	4.99756	58	0	58	-0.00488281	
59	4.99756	59	4.99756	59	0	59	-0.00488281	
60	4.99756	60	4.99756	60	0	60	-0.00488281	
61	4.99756	61	4.99756	61	0.00244141	61	-0.00488281	
62	4.99756	62	4.99756	62	0.00244141	62	-0.00488281	
63	4.99756	63	4.99756	63	0.00244141	63	-0.00488281	
64	4.99756	64	4.99756	64	0	64	-0.00488281	
65	4.99756	65	4.99756	65	0	65	-0.00488281	
66	4.99756	66	4.99756	66	0.00244141	66	-0.00488281	
67	4.99756	67	4.99756	67	0.00244141	67	-0.00488281	
68	4.99756	68	4.99756	68	0	68	-0.00488281	
69	4.99756	69	4.99756	69	0	69	-0.00488281	
70	4.99756	70	4.99756	70	0.00244141	70	-0.00488281	
71	4.99756	71	4.99756	71	0	71	-0.00488281	
72	4.99756	72	4.99756	72	0	72	-0.00488281	
73	4.99756	73	4.99756	73	0.00244141	73	-0.00488281	
74	4.99756	74	4.99756	74	0	74	-0.00488281	
75	4.99756	75	4.99756	75	0	75	-0.00488281	
76	4.99756	76	4.99756	76	0	76	-0.00488281	
77	4.99756	77	4.99756	77	0	77	-0.00488281	
78	4.99756	78	4.99756	78	0	78	-0.00488281	
79	4.99756	79	4.99756	79	0	79	-0.00488281	
80	4.99756	80	4.99756	80	0	80	-0.00488281	
81	4.99756	81	4.99756	81	0	81	-0.00488281	
82	4.99756	82	4.99756	82	0	82	-0.00488281	
83	4.99756	83	4.99756	83	0	83	-0.00488281	
84	4.99756	84	4.99756	84	0.00244141	84	-0.00488281	
85	4.99756	85	4.99756	85	0	85	-0.00488281	
86	4.99756	86	4.99756	86	0	86	-0.00488281	
87	4.99756	87	4.99756	87	0	87	-0.00488281	
88	4.99756	88	4.99756	88	0.00244141	88	-0.00488281	
89	4.99756	89	4.99756	89	0	89	-0.00488281	
90	4.99756	90	4.99756	90	0.00244141	90	-0.00488281	
91	4.99756	91	4.99756	91	0	91	-0.00488281	
92	4.99756	92	4.99756	92	0	92	-0.00488281	
93	4.99756	93	4.99756	93	0.00244141	93	-0.00488281	
94	4.99756	94	4.99756	94	0	94	-0.00488281	
95	4.99756	95	4.99756	95	0	95	-0.00488281	
96	4.99756	96	4.99756	96	0	96	-0.00488281	
97	4.99756	97	4.99756	97	0	97	-0.00488281	
98	4.99756	98	4.99756	98	0	98	-0.00488281	
99	4.99756	99	4.99756	99	0	99	-0.00488281	
100	4.99756	100	4.99756	100	0	100	-0.00488281	
101	4.99756	101	4.99756	101	0	101	-0.00488281	
102	4.99756	102	4.99756	102	0	102	-0.00488281	
103	4.99756	103	4.99756	103	0	103	-0.00488281	
104	4.99756	104	4.99756	104	0	104	-0.00488281	
105	4.99756	105	4.99756	105	0	105	-0.00488281	
106	4.99756	106	4.99756	106	0	106	-0.00488281	
107	4.99756	107	4.99756	107	0	107	-0.00488281	
108	4.99756	108	4.99756	108	0.00244141	108	-0.00488281	
109	4.99756	109	4.99756	109	0	109	-0.00488281	
110	4.99756	110	4.99756	110	0	110	-0.00488281	
111	4.99756	111	4.99756	111	0.00244141	111	-0.00488281	
112	4.99756	112	4.99756	112	0	112	-0.00488281	
113	4.99756	113	4.99756	113	0	113	-0.00488281	
114	4.99756	114	4.99756	114	0.00244141	114	-0.00488281	
115	4.99756	115	4.99756	115	0.00244141	115	-0.00488281	
116	4.99756	116	4.99756	116	0	116	-0.00488281	
117	4.99756	117	4.99756	117	0.00244141	117	-0.00488281	
118	4.99756	118	4.99756	118	0	118	-0.00488281	
119	4.99756	119	4.99756	119	0	119	-0.00488281	
120	4.99756	120	4.99756	120	0.00244141	120	-0.00488281	
121	4.99756	121	4.99756	121	0	121	-0.00488281	
122	4.99756	122	4.99756	122	0.00244141	122	-0.00488281	
123	4.99756	123	4.99756	123	0	123	-0.00488281	
124	4.99756	124	4.99756	124	0.00244141	124	-0.00488281	
125	4.99756	125	4.99756	125	0	125	-0.00488281	
126	4.99756	126	4.99756	126	0	126	-0.00488281	
127	4.99756	127	4.99756	127	0	127	-0.00488281	
128	4.99756	128	4.99756	128	0	128	-0.00488281	
129	4.99756	129	4.99756	129	0	129	-0.00488281	
130	4.99756	130	4.99756	130	0	130	-0.00488281	
131	4.99756	131	4.99756	131	0	131	-0.00488281	
132	4.99756	132	4.99756	132	0.00244141	132	-0.00488281	
133	4.99756	133	4.99756	133	0	133	-0.00488281	
134	4.99756	134	4.99756	134	0.00244141	134	-0.00488281	
135	4.99756	135	4.99756	135	0	135	-0.00488281	
136	4.99756	136	4.99756	136	0	136	-0.00488281	
137	4.99756	137	4.99756	137	0	137	-0.00488281	
