Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2	Time - Plot 3	Amplitude - Plot 3	
0	4.99756	0	4.99756	0	0	0	0	
1	4.99756	1	4.99756	1	0	1	0	
2	4.99756	2	4.99756	2	0	2	0	
3	4.99756	3	4.99756	3	0	3	0	
4	4.99756	4	4.99756	4	0	4	0.00244141	
5	4.99756	5	4.99756	5	0.00244141	5	0.00244141	
6	4.99756	6	4.99756	6	0	6	0	
7	4.99756	7	4.99756	7	0.00244141	7	0	
8	4.99756	8	4.99756	8	0	8	0	
9	4.99756	9	4.99756	9	0	9	0	
10	4.99756	10	4.99756	10	0.00244141	10	0	
11	4.99756	11	4.99756	11	0.00244141	11	0	
12	4.99756	12	4.99756	12	0	12	0	
13	4.99756	13	4.99756	13	0	13	0.00244141	
14	4.99756	14	4.99756	14	0.00244141	14	0	
15	4.99756	15	4.99756	15	0	15	0	
16	4.99756	16	4.99756	16	0.00244141	16	0.00244141	
17	4.99756	17	4.99756	17	0	17	0	
18	4.99756	18	4.99756	18	0.00244141	18	0	
19	4.99756	19	4.99756	19	0	19	0	
20	4.99756	20	4.99756	20	0	20	0	
21	4.99756	21	4.99756	21	0	21	0.00244141	
22	4.99756	22	4.99756	22	0	22	0	
23	4.99756	23	4.99756	23	0	23	0.00244141	
24	4.99756	24	4.99756	24	0.00244141	24	0.00244141	
25	4.99756	25	4.99756	25	0	25	0	
26	4.99756	26	4.99756	26	0.00244141	26	0.00244141	
27	4.99756	27	4.99756	27	0.00244141	27	0	
28	4.99756	28	4.99756	28	0.00244141	28	0	
29	4.99756	29	4.99756	29	0	29	0	
30	4.99756	30	4.99756	30	0.00244141	30	0.00244141	
31	4.99756	31	4.99756	31	0	31	0	
32	4.99756	32	4.99756	32	0	32	0	
33	4.99756	33	4.99756	33	0.00244141	33	0	
34	4.99756	34	4.99756	34	0.00244141	34	0	
35	4.99756	35	4.99756	35	0.00244141	35	0	
36	4.99756	36	4.99756	36	0.00244141	36	0	
37	4.99756	37	4.99756	37	0	37	0	
38	4.99756	38	4.99756	38	0.00244141	38	0	
39	4.99756	39	4.99756	39	0.00244141	39	0	
40	4.99756	40	4.99756	40	0	40	0	
41	4.99756	41	4.99756	41	0.00244141	41	0	
42	4.99756	42	4.99756	42	0.00244141	42	0	
43	4.99756	43	4.99756	43	0.00244141	43	0	
44	4.99756	44	4.99756	44	0	44	0	
45	4.99756	45	4.99756	45	0	45	0.00244141	
46	4.99756	46	4.99756	46	0.00244141	46	0	
47	4.99756	47	4.99756	47	0.00244141	47	0.00244141	
48	4.99756	48	4.99756	48	0.00244141	48	0	
49	4.99756	49	4.99756	49	0	49	0	
50	4.99756	50	4.99756	50	0.00244141	50	0	
51	4.99756	51	4.99756	51	0.00244141	51	0	
52	4.99756	52	4.99756	52	0	52	0	
