t0	03/03/2016  18:20:48.266762
delta t	0.000200

time	Y
03/03/2016  18:20:48.266762	4.162598
03/03/2016  18:20:48.266962	4.182129
03/03/2016  18:20:48.267162	4.179687
03/03/2016  18:20:48.267362	4.196777
03/03/2016  18:20:48.267562	4.196777
03/03/2016  18:20:48.267762	4.196777
03/03/2016  18:20:48.267962	4.211426
03/03/2016  18:20:48.268162	4.213867
03/03/2016  18:20:48.268362	4.228516
03/03/2016  18:20:48.268562	4.226074
03/03/2016  18:20:48.268762	4.228516
03/03/2016  18:20:48.268962	4.243164
03/03/2016  18:20:48.269162	4.240723
03/03/2016  18:20:48.269362	4.260254
03/03/2016  18:20:48.269562	4.257812
03/03/2016  18:20:48.269762	4.257812
03/03/2016  18:20:48.269962	4.274902
03/03/2016  18:20:48.270162	4.274902
03/03/2016  18:20:48.270362	4.289551
03/03/2016  18:20:48.270562	4.289551
03/03/2016  18:20:48.270762	4.289551
03/03/2016  18:20:48.270962	4.306641
03/03/2016  18:20:48.271162	4.306641
03/03/2016  18:20:48.271362	4.323730
03/03/2016  18:20:48.271562	4.323730
03/03/2016  18:20:48.271762	4.335937
03/03/2016  18:20:48.271962	4.338379
03/03/2016  18:20:48.272162	4.338379
03/03/2016  18:20:48.272362	4.355469
03/03/2016  18:20:48.272562	4.355469
03/03/2016  18:20:48.272762	4.370117
03/03/2016  18:20:48.272962	4.370117
03/03/2016  18:20:48.273162	4.370117
03/03/2016  18:20:48.273362	4.387207
03/03/2016  18:20:48.273562	4.387207
03/03/2016  18:20:48.273762	4.399414
03/03/2016  18:20:48.273962	4.401855
03/03/2016  18:20:48.274162	4.401855
03/03/2016  18:20:48.274362	4.416504
03/03/2016  18:20:48.274562	4.414062
03/03/2016  18:20:48.274762	4.431152
03/03/2016  18:20:48.274962	4.433594
03/03/2016  18:20:48.275162	4.431152
03/03/2016  18:20:48.275362	4.448242
03/03/2016  18:20:48.275562	4.448242
03/03/2016  18:20:48.275762	4.465332
03/03/2016  18:20:48.275962	4.465332
03/03/2016  18:20:48.276162	4.482422
03/03/2016  18:20:48.276362	4.477539
03/03/2016  18:20:48.276562	4.479980
03/03/2016  18:20:48.276762	4.497070
03/03/2016  18:20:48.276962	4.497070
03/03/2016  18:20:48.277162	4.511719
03/03/2016  18:20:48.277362	4.514160
03/03/2016  18:20:48.277562	4.509277
03/03/2016  18:20:48.277762	4.526367
03/03/2016  18:20:48.277962	4.526367
03/03/2016  18:20:48.278162	4.543457
03/03/2016  18:20:48.278362	4.541016
03/03/2016  18:20:48.278562	4.538574
03/03/2016  18:20:48.278762	4.541016
03/03/2016  18:20:48.278962	4.528809
03/03/2016  18:20:48.279162	4.526367
03/03/2016  18:20:48.279362	4.509277
03/03/2016  18:20:48.279562	4.511719
03/03/2016  18:20:48.279762	4.511719
03/03/2016  18:20:48.279962	4.497070
03/03/2016  18:20:48.280162	4.497070
03/03/2016  18:20:48.280362	4.479980
03/03/2016  18:20:48.280562	4.479980
03/03/2016  18:20:48.280762	4.479980
03/03/2016  18:20:48.280962	4.465332
03/03/2016  18:20:48.281162	4.462891
03/03/2016  18:20:48.281362	4.448242
03/03/2016  18:20:48.281562	4.445801
03/03/2016  18:20:48.281762	4.448242
03/03/2016  18:20:48.281962	4.436035
03/03/2016  18:20:48.282162	4.431152
03/03/2016  18:20:48.282362	4.416504
03/03/2016  18:20:48.282562	4.414062
03/03/2016  18:20:48.282762	4.399414
03/03/2016  18:20:48.282962	4.401855
03/03/2016  18:20:48.283162	4.399414
03/03/2016  18:20:48.283362	4.384766
03/03/2016  18:20:48.283562	4.384766
03/03/2016  18:20:48.283762	4.367676
03/03/2016  18:20:48.283962	4.372559
03/03/2016  18:20:48.284162	4.370117
03/03/2016  18:20:48.284362	4.355469
03/03/2016  18:20:48.284562	4.350586
03/03/2016  18:20:48.284762	4.338379
03/03/2016  18:20:48.284962	4.338379
03/03/2016  18:20:48.285162	4.338379
03/03/2016  18:20:48.285362	4.321289
03/03/2016  18:20:48.285562	4.323730
03/03/2016  18:20:48.285762	4.309082
03/03/2016  18:20:48.285962	4.306641
03/03/2016  18:20:48.286162	4.289551
03/03/2016  18:20:48.286362	4.291992
03/03/2016  18:20:48.286562	4.291992
03/03/2016  18:20:48.286762	4.274902
03/03/2016  18:20:48.286962	4.274902
03/03/2016  18:20:48.287162	4.260254
03/03/2016  18:20:48.287362	4.260254
03/03/2016  18:20:48.287562	4.257812
03/03/2016  18:20:48.287762	4.243164
03/03/2016  18:20:48.287962	4.243164
03/03/2016  18:20:48.288162	4.226074
03/03/2016  18:20:48.288362	4.228516
03/03/2016  18:20:48.288562	4.228516
03/03/2016  18:20:48.288762	4.211426
03/03/2016  18:20:48.288962	4.213867
03/03/2016  18:20:48.289162	4.196777
03/03/2016  18:20:48.289362	4.196777
03/03/2016  18:20:48.289562	4.199219
03/03/2016  18:20:48.289762	4.182129
03/03/2016  18:20:48.289962	4.182129
03/03/2016  18:20:48.290162	4.165039
03/03/2016  18:20:48.290362	4.165039
03/03/2016  18:20:48.290562	4.147949
03/03/2016  18:20:48.290762	4.147949
03/03/2016  18:20:48.290962	4.147949
03/03/2016  18:20:48.291162	4.133301
03/03/2016  18:20:48.291362	4.130859
03/03/2016  18:20:48.291562	4.116211
03/03/2016  18:20:48.291762	4.116211
03/03/2016  18:20:48.291962	4.116211
03/03/2016  18:20:48.292162	4.101562
03/03/2016  18:20:48.292362	4.101562
03/03/2016  18:20:48.292562	4.084473
03/03/2016  18:20:48.292762	4.086914
03/03/2016  18:20:48.292962	4.086914
03/03/2016  18:20:48.293162	4.072266
03/03/2016  18:20:48.293362	4.072266
03/03/2016  18:20:48.293562	4.052734
03/03/2016  18:20:48.293762	4.055176
03/03/2016  18:20:48.293962	4.055176
03/03/2016  18:20:48.294162	4.038086
03/03/2016  18:20:48.294362	4.038086
03/03/2016  18:20:48.294562	4.020996
03/03/2016  18:20:48.294762	4.023437
03/03/2016  18:20:48.294962	4.006348
03/03/2016  18:20:48.295162	4.006348
03/03/2016  18:20:48.295362	4.006348
03/03/2016  18:20:48.295562	3.994141
03/03/2016  18:20:48.295762	3.989258
03/03/2016  18:20:48.295962	3.977051
03/03/2016  18:20:48.296162	3.977051
03/03/2016  18:20:48.296362	3.977051
03/03/2016  18:20:48.296562	3.959961
03/03/2016  18:20:48.296762	3.957520
03/03/2016  18:20:48.296962	3.945312
03/03/2016  18:20:48.297162	3.945312
03/03/2016  18:20:48.297362	3.945312
03/03/2016  18:20:48.297562	3.925781
03/03/2016  18:20:48.297762	3.928223
03/03/2016  18:20:48.297962	3.913574
03/03/2016  18:20:48.298162	3.913574
03/03/2016  18:20:48.298362	3.911133
03/03/2016  18:20:48.298562	3.898926
03/03/2016  18:20:48.298762	3.896484
03/03/2016  18:20:48.298962	3.881836
03/03/2016  18:20:48.299162	3.879395
03/03/2016  18:20:48.299362	3.867187
03/03/2016  18:20:48.299562	3.864746
03/03/2016  18:20:48.299762	3.864746
03/03/2016  18:20:48.299962	3.850098
03/03/2016  18:20:48.300162	3.850098
03/03/2016  18:20:48.300362	3.835449
03/03/2016  18:20:48.300562	3.833008
03/03/2016  18:20:48.300762	3.833008
03/03/2016  18:20:48.300962	3.818359
03/03/2016  18:20:48.301162	3.818359
03/03/2016  18:20:48.301362	3.801270
